layer,head,rho,pvalue,n_arcs
5,9,0.3509880257983606,0.0,498200
3,4,0.3466181078500392,0.0,498200
3,5,0.34406993442177525,0.0,498200
6,2,0.34278058490284075,0.0,498200
6,3,0.3405952371986525,0.0,498200
4,2,0.34009864932344563,0.0,498200
1,9,0.3393207957315545,0.0,498200
9,11,0.33889884124058794,0.0,498200
8,11,0.3373321286412073,0.0,498200
2,1,0.3364855038312662,0.0,498200
11,2,0.3361549483296108,0.0,498200
8,2,0.33590428375545095,0.0,498200
9,7,0.3356606837996423,0.0,498200
8,3,0.3353936195177372,0.0,498200
10,3,0.334533666641826,0.0,498200
7,11,0.33442153149681164,0.0,498200
9,1,0.33414016744963,0.0,498200
11,5,0.33342891817967113,0.0,498200
9,8,0.33331590238215997,0.0,498200
5,3,0.33310164858163605,0.0,498200
11,1,0.33302392571851763,0.0,498200
6,1,0.3328295363847592,0.0,498200
10,2,0.3326517651931584,0.0,498200
9,9,0.33253100678100145,0.0,498200
4,10,0.3323705258834756,0.0,498200
7,6,0.3321447556708743,0.0,498200
11,9,0.3317900452807563,0.0,498200
10,10,0.33173775249313675,0.0,498200
5,5,0.33166322046756325,0.0,498200
9,4,0.3314856532537026,0.0,498200
0,2,0.33148034440750657,0.0,498200
3,0,0.3313228531294909,0.0,498200
11,6,0.3312403541074219,0.0,498200
7,1,0.33117044375762605,0.0,498200
10,0,0.33102989230831714,0.0,498200
8,6,0.3309833858115298,0.0,498200
4,8,0.330874903884661,0.0,498200
10,6,0.33083610308636946,0.0,498200
9,6,0.3304787269770282,0.0,498200
7,7,0.3299713283307709,0.0,498200
9,2,0.3298082936947532,0.0,498200
10,4,0.32977929056111666,0.0,498200
7,4,0.3296184203100456,0.0,498200
1,5,0.3294323128223066,0.0,498200
11,4,0.3293695051512145,0.0,498200
1,6,0.32922340193149824,0.0,498200
5,8,0.32918326213262017,0.0,498200
10,1,0.3289364197234786,0.0,498200
8,1,0.3284706908001354,0.0,498200
11,7,0.328342727787718,0.0,498200
8,9,0.32795221106740163,0.0,498200
10,7,0.32775545393065353,0.0,498200
8,0,0.32733984565585394,0.0,498200
1,7,0.32706136192790725,0.0,498200
6,9,0.32682002371586955,0.0,498200
11,0,0.32680939834634926,0.0,498200
7,10,0.3264748002442867,0.0,498200
10,8,0.3263355310420205,0.0,498200
8,8,0.3262245839227109,0.0,498200
0,0,0.326106999986276,0.0,498200
5,10,0.32588151505743046,0.0,498200
0,6,0.3258189724818593,0.0,498200
7,9,0.32580566540676437,0.0,498200
3,1,0.32531468669962027,0.0,498200
6,10,0.3252836238664308,0.0,498200
0,8,0.32512029618812516,0.0,498200
0,9,0.325019699217214,0.0,498200
4,9,0.3249365890478547,0.0,498200
0,1,0.32465676043772435,0.0,498200
5,0,0.3235939449886439,0.0,498200
10,5,0.3235196667423345,0.0,498200
5,1,0.323434786416376,0.0,498200
9,0,0.3234276593591077,0.0,498200
11,8,0.3233444925363222,0.0,498200
1,11,0.32304394738305464,0.0,498200
7,5,0.3229549197130285,0.0,498200
0,5,0.32280323768929,0.0,498200
4,1,0.3217996019074271,0.0,498200
4,3,0.32157120880763135,0.0,498200
4,6,0.3214644338331984,0.0,498200
11,11,0.3214490581843335,0.0,498200
6,7,0.3213514757074148,0.0,498200
1,8,0.3213062528131652,0.0,498200
7,2,0.320991507827313,0.0,498200
8,10,0.3209346837500546,0.0,498200
5,2,0.3208929290713616,0.0,498200
11,10,0.32063669429941194,0.0,498200
9,5,0.3203190270966098,0.0,498200
8,5,0.3196562909572569,0.0,498200
2,6,0.3194001675909673,0.0,498200
11,3,0.3193813410659709,0.0,498200
5,11,0.3187526561331706,0.0,498200
6,6,0.31865357383609405,0.0,498200
6,4,0.31840477217159985,0.0,498200
0,10,0.3182549750401687,0.0,498200
10,11,0.3178560267422662,0.0,498200
0,11,0.31776827243044536,0.0,498200
8,4,0.31738808955879144,0.0,498200
6,11,0.3172241262689171,0.0,498200
6,0,0.3168891674961132,0.0,498200
7,8,0.31666259445868855,0.0,498200
7,3,0.31577678022927685,0.0,498200
3,9,0.31549500443442086,0.0,498200
9,10,0.31381189738549997,0.0,498200
10,9,0.3136425433393318,0.0,498200
5,7,0.31297398529543285,0.0,498200
2,0,0.31207130138402267,0.0,498200
6,5,0.3117776789304734,0.0,498200
3,11,0.3108090092611514,0.0,498200
4,0,0.31036287622299125,0.0,498200
4,4,0.3096509079313004,0.0,498200
5,4,0.3091240135932643,0.0,498200
9,3,0.3088468352446085,0.0,498200
3,8,0.3084553658818973,0.0,498200
2,8,0.30829132296439254,0.0,498200
2,4,0.30825219549965194,0.0,498200
8,7,0.3069480816202274,0.0,498200
4,5,0.3068327223986804,0.0,498200
6,8,0.30634397960757265,0.0,498200
3,10,0.3036109169183534,0.0,498200
0,4,0.3034901783387915,0.0,498200
2,5,0.302522282378453,0.0,498200
1,2,0.30249430048513504,0.0,498200
7,0,0.30127663769634194,0.0,498200
1,1,0.3012213901255754,0.0,498200
2,3,0.30051501577164,0.0,498200
1,10,0.2996946087690922,0.0,498200
0,3,0.29959434519568373,0.0,498200
1,3,0.29945162216851495,0.0,498200
1,0,0.2993302740383396,0.0,498200
3,6,0.29912855100493707,0.0,498200
3,3,0.2983395682749712,0.0,498200
5,6,0.2981330561895658,0.0,498200
4,7,0.297988973331277,0.0,498200
3,7,0.2974062966853647,0.0,498200
2,9,0.2969465818850593,0.0,498200
3,2,0.29614899002479517,0.0,498200
0,7,0.2954092967907797,0.0,498200
2,2,0.29386867395577554,0.0,498200
4,11,0.2930869046342628,0.0,498200
2,10,0.2923486859319668,0.0,498200
1,4,0.2915056236165211,0.0,498200
2,7,0.29138037810598794,0.0,498200
2,11,0.2903730559978011,0.0,498200
