layer,head,rho,pvalue,n_arcs
0,10,-0.578634593519002,0.0,498200
2,10,-0.5624840124964631,0.0,498200
4,10,-0.5215222447307475,0.0,498200
1,10,-0.5031574741575375,0.0,498200
8,10,-0.49836150652449746,0.0,498200
3,10,-0.4979785402787499,0.0,498200
6,10,-0.48000493584871945,0.0,498200
11,10,-0.4799073394178186,0.0,498200
1,5,-0.46237237283583743,0.0,498200
3,5,-0.45179508498838655,0.0,498200
0,5,-0.4431937745022162,0.0,498200
4,5,-0.4341361425074869,0.0,498200
9,5,-0.4335674966460198,0.0,498200
4,6,0.4291048900484451,0.0,498200
0,2,-0.4266796849363625,0.0,498200
1,9,-0.4188492287865522,0.0,498200
11,6,0.41799199832078476,0.0,498200
5,10,-0.41784916590334964,0.0,498200
9,10,-0.4174604355460464,0.0,498200
7,10,-0.41541796233812983,0.0,498200
0,9,-0.415352735053008,0.0,498200
7,6,0.4112768763112248,0.0,498200
10,10,-0.40757603958204264,0.0,498200
5,5,-0.4074699500249956,0.0,498200
2,5,-0.39760632739432517,0.0,498200
0,11,0.39202554756938085,0.0,498200
6,6,0.3909836446450609,0.0,498200
1,2,-0.3813871549838362,0.0,498200
1,6,0.37988513527678697,0.0,498200
10,5,-0.37772680338640036,0.0,498200
7,5,-0.3771558136750175,0.0,498200
6,5,-0.3708692576555523,0.0,498200
0,6,0.3708578819512572,0.0,498200
8,5,-0.36938985210052677,0.0,498200
5,6,0.3626842977022142,0.0,498200
3,9,-0.3578726399421898,0.0,498200
4,7,0.3567288537821969,0.0,498200
7,9,-0.3545442931804771,0.0,498200
9,9,-0.35200460578601545,0.0,498200
4,9,-0.3486621063394311,0.0,498200
3,2,-0.34706181523436014,0.0,498200
5,9,-0.3386414323726153,0.0,498200
2,7,0.32973491482596046,0.0,498200
2,9,-0.32791685800084164,0.0,498200
3,7,0.32550653497095794,0.0,498200
8,9,-0.3212860138229555,0.0,498200
8,7,0.32084971855149746,0.0,498200
0,7,0.3198702895457485,0.0,498200
5,2,-0.3095075065467453,0.0,498200
8,0,-0.30856472405349183,0.0,498200
10,9,-0.3074439168223602,0.0,498200
11,7,0.30509313670043564,0.0,498200
11,9,-0.3027581000748793,0.0,498200
2,2,-0.3010139234438972,0.0,498200
1,7,0.2958421077829453,0.0,498200
7,4,-0.29431754440184354,0.0,498200
1,11,0.29101743112765305,0.0,498200
0,0,-0.2907182181578006,0.0,498200
0,8,0.2901166160482762,0.0,498200
6,9,-0.2879066945632007,0.0,498200
9,0,-0.2866902343114818,0.0,498200
2,11,0.28490723389939027,0.0,498200
6,7,0.2845864457065522,0.0,498200
4,2,-0.284226170707267,0.0,498200
1,8,0.28375208981081496,0.0,498200
10,2,-0.27870113127189666,0.0,498200
7,2,-0.27455816774201475,0.0,498200
3,8,0.2730940295163005,0.0,498200
