,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.702,0.016,5.674,5.733,0.003,0.001,25.142,62.792,1.12
beta_ngram_surprisal,-0.003,0.001,-0.006,-0.001,0.0,0.0,7794.653,5475.056,1.0
u0_raw[0],-0.723,0.099,-0.917,-0.546,0.009,0.003,125.186,541.568,1.036
u0_raw[1],-0.197,0.082,-0.354,-0.051,0.013,0.004,40.453,197.629,1.074
u0_raw[2],-0.902,0.101,-1.092,-0.717,0.007,0.003,183.802,513.649,1.031
u0_raw[3],-1.109,0.111,-1.315,-0.903,0.007,0.003,239.443,581.006,1.022
u0_raw[4],-1.721,0.124,-1.952,-1.49,0.008,0.004,229.215,589.136,1.013
u0_raw[5],0.889,0.104,0.689,1.085,0.016,0.006,40.098,173.965,1.079
u0_raw[6],1.11,0.166,0.794,1.418,0.016,0.004,106.963,687.353,1.031
u0_raw[7],0.233,0.093,0.055,0.403,0.014,0.005,41.513,213.876,1.071
u0_raw[8],0.791,0.101,0.6,0.984,0.016,0.005,38.736,154.568,1.079
u0_raw[9],-0.404,0.225,-0.83,0.015,0.007,0.002,1079.436,5013.146,1.007
u0_raw[10],-0.606,0.1,-0.799,-0.423,0.01,0.003,107.04,636.602,1.035
u0_raw[11],-0.152,0.092,-0.327,0.018,0.012,0.003,56.26,294.904,1.055
u0_raw[12],0.41,0.094,0.241,0.593,0.015,0.005,38.225,159.406,1.078
u0_raw[13],1.951,0.184,1.617,2.312,0.02,0.006,83.943,472.299,1.042
u0_raw[14],0.118,0.094,-0.059,0.296,0.014,0.004,46.955,232.832,1.06
u0_raw[15],-1.759,0.13,-2.017,-1.529,0.008,0.003,241.519,650.321,1.011
u0_raw[16],-0.029,0.106,-0.236,0.163,0.012,0.003,74.197,541.599,1.042
u0_raw[17],0.58,0.098,0.397,0.762,0.016,0.005,38.467,173.179,1.077
u0_raw[18],-1.434,0.532,-2.46,-0.469,0.006,0.006,7580.929,5701.617,1.0
u0_raw[19],-0.903,0.102,-1.091,-0.71,0.008,0.003,160.506,470.893,1.029
u0_raw[20],-0.45,0.094,-0.621,-0.275,0.01,0.003,81.283,353.454,1.042
u0_raw[21],-0.083,0.097,-0.263,0.098,0.013,0.003,52.354,305.205,1.056
u0_raw[22],0.892,0.103,0.696,1.081,0.016,0.006,40.633,163.467,1.079
u0_raw[23],-1.043,0.105,-1.238,-0.849,0.007,0.003,221.101,629.551,1.024
u0_raw[24],-1.707,0.124,-1.942,-1.479,0.008,0.004,229.227,678.749,1.013
u0_raw[25],1.172,0.111,0.965,1.388,0.017,0.006,41.063,144.016,1.077
u0_raw[26],1.305,0.115,1.077,1.517,0.018,0.007,42.822,136.652,1.079
u0_raw[27],-0.554,0.13,-0.804,-0.319,0.008,0.002,255.157,975.904,1.018
u0_raw[28],-0.135,0.091,-0.307,0.028,0.012,0.003,52.978,254.396,1.057
u0_raw[29],0.633,0.1,0.445,0.822,0.015,0.005,42.442,141.262,1.071
u0_raw[30],0.9,0.104,0.708,1.102,0.017,0.006,39.634,109.266,1.079
u0_raw[31],0.595,0.104,0.396,0.787,0.016,0.005,42.119,163.908,1.068
u0_raw[32],-0.221,0.1,-0.406,-0.034,0.012,0.003,65.456,401.692,1.046
u0_raw[33],-0.776,0.098,-0.963,-0.595,0.008,0.003,152.921,496.615,1.033
u0_raw[34],0.447,0.096,0.263,0.624,0.015,0.005,42.07,154.667,1.071
u0_raw[35],0.322,0.084,0.165,0.481,0.015,0.005,31.148,115.217,1.095
u0_raw[36],-0.796,0.1,-0.973,-0.601,0.008,0.003,142.224,526.455,1.032
u0_raw[37],0.922,0.105,0.719,1.116,0.017,0.006,40.379,170.938,1.078
u0_raw[38],-0.672,0.098,-0.847,-0.486,0.009,0.003,121.422,503.657,1.037
u0_raw[39],0.041,0.093,-0.131,0.216,0.014,0.003,45.666,240.182,1.062
u0_raw[40],-1.018,0.45,-1.881,-0.195,0.006,0.005,5307.644,5753.968,1.001
u0_raw[41],-0.201,0.104,-0.407,-0.014,0.012,0.003,72.556,602.654,1.042
u0_raw[42],0.277,0.093,0.101,0.452,0.015,0.004,37.181,128.794,1.076
u0_raw[43],-0.286,0.097,-0.466,-0.103,0.012,0.003,64.764,431.109,1.047
u0_raw[44],0.345,0.094,0.166,0.516,0.014,0.004,41.788,186.146,1.072
u0_raw[45],-0.614,0.102,-0.816,-0.432,0.01,0.003,102.815,509.22,1.036
u0_raw[46],-1.733,0.127,-1.978,-1.501,0.008,0.004,234.067,587.097,1.012
u0_raw[47],0.282,0.094,0.106,0.458,0.014,0.004,43.77,207.243,1.068
u0_raw[48],-1.725,0.128,-1.974,-1.498,0.008,0.004,236.965,574.375,1.013
u0_raw[49],1.775,0.134,1.53,2.036,0.018,0.007,54.387,154.804,1.069
u0_raw[50],-0.24,0.099,-0.43,-0.055,0.013,0.003,56.889,406.99,1.051
u0_raw[51],-0.964,0.105,-1.174,-0.784,0.007,0.003,219.97,670.852,1.027
u0_raw[52],-0.198,0.091,-0.372,-0.03,0.013,0.003,51.684,323.307,1.058
u0_raw[53],0.098,0.095,-0.08,0.28,0.014,0.004,43.663,187.771,1.064
u0_raw[54],0.253,0.143,-0.016,0.526,0.014,0.002,110.283,1124.088,1.029
u0_raw[55],1.626,0.125,1.389,1.863,0.018,0.007,48.818,128.269,1.073
u0_raw[56],-0.626,0.097,-0.812,-0.453,0.01,0.003,98.98,476.01,1.038
u0_raw[57],1.357,0.119,1.13,1.58,0.018,0.007,43.311,143.76,1.077
u0_raw[58],-1.858,0.604,-3.011,-0.714,0.007,0.007,7206.183,5865.055,1.0
u0_raw[59],-0.242,0.092,-0.41,-0.066,0.013,0.003,53.512,327.917,1.055
u0_raw[60],-0.08,0.092,-0.251,0.093,0.013,0.003,54.148,352.697,1.054
u0_raw[61],-1.752,0.74,-3.138,-0.391,0.009,0.008,6923.539,6300.107,1.0
u0_raw[62],-1.328,0.118,-1.558,-1.119,0.007,0.003,249.568,767.475,1.019
u0_raw[63],-0.704,0.097,-0.889,-0.526,0.008,0.003,135.786,594.911,1.034
u0_raw[64],-0.96,0.102,-1.151,-0.771,0.007,0.003,218.967,571.432,1.025
u0_raw[65],-0.233,0.092,-0.408,-0.069,0.013,0.003,52.78,367.202,1.056
u0_raw[66],0.901,0.108,0.686,1.096,0.016,0.005,43.231,184.202,1.074
u0_raw[67],-0.507,0.101,-0.691,-0.316,0.011,0.003,91.667,570.117,1.038
u0_raw[68],0.95,0.097,0.775,1.141,0.017,0.007,33.584,102.825,1.096
u0_raw[69],-0.489,0.156,-0.787,-0.206,0.009,0.002,277.043,1634.695,1.017
u0_raw[70],-1.757,0.125,-1.987,-1.519,0.008,0.004,219.93,586.489,1.014
u0_raw[71],1.358,0.119,1.135,1.588,0.017,0.007,50.554,132.355,1.07
u0_raw[72],-0.619,0.094,-0.791,-0.441,0.01,0.003,89.792,486.843,1.041
u0_raw[73],-0.851,0.093,-1.026,-0.677,0.008,0.003,142.265,402.441,1.037
u0_raw[74],-0.776,0.089,-0.943,-0.614,0.009,0.003,104.679,347.963,1.047
u0_raw[75],0.526,0.125,0.291,0.764,0.015,0.004,71.362,404.801,1.042
u0_raw[76],1.036,0.106,0.825,1.228,0.016,0.006,41.459,134.198,1.079
u0_raw[77],-0.673,0.104,-0.863,-0.474,0.009,0.003,130.255,586.08,1.034
u0_raw[78],0.03,0.098,-0.154,0.218,0.013,0.003,53.785,297.084,1.054
u0_raw[79],0.517,0.1,0.331,0.711,0.015,0.005,46.019,164.05,1.065
u0_raw[80],0.362,0.095,0.186,0.538,0.015,0.004,42.497,186.581,1.069
u0_raw[81],0.071,0.093,-0.112,0.235,0.014,0.004,45.694,182.068,1.064
u0_raw[82],-1.058,0.106,-1.253,-0.859,0.007,0.003,227.068,616.101,1.024
u0_raw[83],-0.028,0.082,-0.181,0.122,0.014,0.004,35.162,118.755,1.083
