,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.707,0.019,5.674,5.746,0.005,0.002,18.349,67.208,1.157
beta_bert_base_uncased_surprisal,0.005,0.001,0.003,0.007,0.0,0.0,9951.963,6012.992,1.001
u0_raw[0],-0.748,0.116,-0.97,-0.539,0.027,0.005,18.642,93.186,1.147
u0_raw[1],-0.224,0.095,-0.401,-0.048,0.021,0.006,20.481,87.633,1.136
u0_raw[2],-0.932,0.119,-1.158,-0.714,0.028,0.006,17.773,85.787,1.156
u0_raw[3],-1.133,0.129,-1.367,-0.886,0.03,0.006,18.817,168.904,1.149
u0_raw[4],-1.746,0.15,-2.026,-1.46,0.035,0.008,18.546,126.153,1.156
u0_raw[5],0.867,0.109,0.666,1.068,0.013,0.004,75.048,341.858,1.033
u0_raw[6],1.089,0.168,0.777,1.398,0.012,0.002,186.611,1425.274,1.011
u0_raw[7],0.208,0.102,0.019,0.399,0.017,0.004,35.783,202.935,1.076
u0_raw[8],0.767,0.107,0.565,0.961,0.013,0.004,72.286,337.458,1.036
u0_raw[9],-0.427,0.231,-0.886,-0.013,0.019,0.003,146.859,2287.005,1.022
u0_raw[10],-0.63,0.115,-0.842,-0.415,0.025,0.005,21.043,130.49,1.128
u0_raw[11],-0.177,0.103,-0.372,0.015,0.02,0.005,25.774,111.402,1.105
u0_raw[12],0.382,0.101,0.195,0.57,0.016,0.004,42.18,184.691,1.067
u0_raw[13],1.916,0.188,1.559,2.265,0.014,0.004,169.553,876.393,1.006
u0_raw[14],0.091,0.104,-0.102,0.287,0.018,0.004,32.631,172.605,1.084
u0_raw[15],-1.788,0.155,-2.072,-1.496,0.035,0.007,19.58,144.747,1.145
u0_raw[16],-0.052,0.114,-0.266,0.162,0.02,0.005,33.849,125.827,1.079
u0_raw[17],0.559,0.105,0.368,0.76,0.013,0.004,62.553,247.074,1.049
u0_raw[18],-1.434,0.537,-2.395,-0.368,0.007,0.006,6463.06,6277.146,1.004
u0_raw[19],-0.931,0.12,-1.166,-0.723,0.028,0.006,18.475,126.605,1.149
u0_raw[20],-0.472,0.109,-0.675,-0.266,0.024,0.006,20.794,88.983,1.131
u0_raw[21],-0.11,0.107,-0.308,0.088,0.02,0.004,28.206,195.104,1.094
u0_raw[22],0.87,0.11,0.668,1.075,0.013,0.004,73.466,366.592,1.035
u0_raw[23],-1.068,0.124,-1.298,-0.833,0.029,0.006,18.476,155.284,1.15
u0_raw[24],-1.731,0.149,-1.998,-1.445,0.035,0.007,17.982,144.249,1.159
u0_raw[25],1.149,0.118,0.936,1.37,0.013,0.004,83.77,440.692,1.021
u0_raw[26],1.283,0.121,1.069,1.518,0.013,0.004,86.985,450.285,1.018
u0_raw[27],-0.577,0.142,-0.843,-0.308,0.025,0.004,32.945,247.45,1.079
u0_raw[28],-0.158,0.104,-0.348,0.038,0.021,0.005,24.206,105.835,1.11
u0_raw[29],0.609,0.107,0.416,0.809,0.013,0.003,67.189,372.941,1.044
u0_raw[30],0.88,0.109,0.683,1.085,0.012,0.004,77.127,351.127,1.032
u0_raw[31],0.57,0.113,0.367,0.791,0.014,0.004,67.671,360.593,1.046
u0_raw[32],-0.247,0.111,-0.463,-0.044,0.021,0.005,27.354,100.621,1.098
u0_raw[33],-0.797,0.114,-1.01,-0.585,0.026,0.006,18.64,110.371,1.148
u0_raw[34],0.426,0.104,0.243,0.628,0.014,0.004,54.735,254.464,1.054
u0_raw[35],0.299,0.092,0.126,0.468,0.016,0.005,32.404,159.986,1.087
u0_raw[36],-0.817,0.118,-1.048,-0.607,0.027,0.006,19.066,93.139,1.144
u0_raw[37],0.898,0.111,0.698,1.109,0.012,0.003,81.523,434.569,1.03
u0_raw[38],-0.7,0.113,-0.915,-0.491,0.026,0.006,19.745,121.46,1.138
u0_raw[39],0.017,0.103,-0.177,0.211,0.019,0.005,29.75,145.142,1.092
u0_raw[40],-1.038,0.448,-1.923,-0.248,0.007,0.005,4478.366,5041.522,1.004
u0_raw[41],-0.226,0.116,-0.44,-0.008,0.022,0.004,27.484,152.621,1.095
u0_raw[42],0.254,0.102,0.059,0.437,0.016,0.004,39.097,206.339,1.071
u0_raw[43],-0.307,0.109,-0.509,-0.1,0.022,0.005,24.215,128.876,1.11
u0_raw[44],0.319,0.102,0.138,0.514,0.015,0.004,44.35,208.659,1.065
u0_raw[45],-0.642,0.117,-0.864,-0.429,0.025,0.005,22.416,102.776,1.12
u0_raw[46],-1.758,0.151,-2.029,-1.466,0.035,0.007,18.881,160.165,1.154
u0_raw[47],0.26,0.102,0.076,0.451,0.016,0.004,38.403,208.129,1.072
u0_raw[48],-1.754,0.152,-2.034,-1.469,0.035,0.007,18.344,145.077,1.156
u0_raw[49],1.752,0.141,1.487,2.011,0.014,0.004,98.085,476.498,1.01
u0_raw[50],-0.268,0.112,-0.471,-0.056,0.022,0.005,26.298,128.629,1.102
u0_raw[51],-0.995,0.124,-1.222,-0.758,0.028,0.006,19.157,120.908,1.143
u0_raw[52],-0.221,0.102,-0.412,-0.028,0.021,0.005,22.815,91.636,1.117
u0_raw[53],0.072,0.104,-0.129,0.263,0.019,0.005,30.798,106.562,1.088
u0_raw[54],0.235,0.148,-0.035,0.52,0.015,0.003,94.876,787.154,1.031
u0_raw[55],1.606,0.133,1.37,1.858,0.014,0.004,91.589,449.158,1.012
u0_raw[56],-0.655,0.113,-0.86,-0.442,0.025,0.006,19.914,127.753,1.137
u0_raw[57],1.334,0.125,1.094,1.553,0.013,0.004,93.295,441.559,1.015
u0_raw[58],-1.85,0.608,-3.0,-0.709,0.006,0.007,9107.297,5322.123,1.002
u0_raw[59],-0.265,0.105,-0.472,-0.077,0.022,0.005,23.964,102.479,1.113
u0_raw[60],-0.103,0.104,-0.305,0.09,0.021,0.005,25.506,115.641,1.106
u0_raw[61],-1.751,0.74,-3.193,-0.38,0.008,0.008,8509.34,6124.401,1.001
u0_raw[62],-1.358,0.14,-1.619,-1.098,0.031,0.007,19.681,130.875,1.143
u0_raw[63],-0.728,0.114,-0.94,-0.52,0.026,0.005,19.633,105.51,1.138
u0_raw[64],-0.984,0.122,-1.213,-0.763,0.029,0.006,17.87,100.877,1.155
u0_raw[65],-0.255,0.104,-0.451,-0.064,0.021,0.005,24.223,108.226,1.111
u0_raw[66],0.877,0.114,0.666,1.09,0.012,0.003,86.901,456.987,1.029
u0_raw[67],-0.535,0.115,-0.747,-0.319,0.024,0.005,22.414,123.15,1.119
u0_raw[68],0.928,0.103,0.747,1.124,0.012,0.004,68.882,306.736,1.034
u0_raw[69],-0.518,0.167,-0.848,-0.221,0.023,0.003,54.076,645.166,1.049
u0_raw[70],-1.782,0.151,-2.053,-1.487,0.035,0.008,18.031,150.909,1.159
u0_raw[71],1.334,0.124,1.111,1.566,0.013,0.004,92.909,469.946,1.016
u0_raw[72],-0.645,0.11,-0.85,-0.439,0.025,0.006,18.831,84.516,1.144
u0_raw[73],-0.879,0.112,-1.093,-0.679,0.027,0.006,16.8,88.077,1.167
u0_raw[74],-0.803,0.107,-1.012,-0.616,0.027,0.006,16.074,97.899,1.175
u0_raw[75],0.505,0.13,0.257,0.745,0.013,0.003,99.493,522.038,1.032
u0_raw[76],1.015,0.111,0.807,1.216,0.013,0.004,79.547,395.01,1.025
u0_raw[77],-0.702,0.117,-0.926,-0.488,0.026,0.005,20.595,142.529,1.131
u0_raw[78],0.006,0.106,-0.19,0.203,0.019,0.005,31.351,178.252,1.087
u0_raw[79],0.495,0.108,0.296,0.696,0.013,0.004,64.418,306.468,1.047
u0_raw[80],0.339,0.104,0.14,0.527,0.016,0.004,43.044,176.88,1.065
u0_raw[81],0.045,0.101,-0.136,0.237,0.018,0.005,30.872,131.428,1.089
u0_raw[82],-1.081,0.126,-1.317,-0.847,0.029,0.006,18.329,148.153,1.153
u0_raw[83],-0.052,0.093,-0.227,0.119,0.02,0.005,22.311,106.17,1.123
u0_raw[84],-0.249,0.095,-0.428,-0.075,0.021,0.006,19.97,63.425,1.139
u0_raw[85],1.022,0.114,0.809,1.228,0.012,0.004,84.157,417.926,1.025
u0_raw[86],-1.617,0.148,-1.885,-1.333,0.034,0.007,19.437,179.892,1.146
u0_raw[87],-0.249,0.108,-0.451,-0.048,0.021,0.005,25.33,170.846,1.108
u0_raw[88],-1.095,0.126,-1.329,-0.862,0.029,0.006,18.435,95.532,1.152
u0_raw[89],0.66,0.106,0.459,0.855,0.013,0.004,68.492,301.451,1.042
u0_raw[90],0.649,0.103,0.461,0.841,0.013,0.004,65.164,289.072,1.046
u0_raw[91],0.555,0.108,0.363,0.77,0.013,0.004,67.103,297.836,1.046
u0_raw[92],1.459,0.126,1.235,1.701,0.013,0.004,91.697,446.527,1.014
u0_raw[93],0.391,0.185,0.057,0.744,0.012,0.002,224.177,1737.973,1.016
u0_raw[94],-1.588,0.143,-1.85,-1.319,0.034,0.007,18.11,128.345,1.158
u0_raw[95],-1.395,0.135,-1.651,-1.152,0.032,0.007,17.53,123.303,1.163
u0_raw[96],1.392,0.124,1.167,1.622,0.013,0.004,90.145,441.863,1.016
u0_raw[97],0.218,0.102,0.026,0.408,0.017,0.004,37.573,158.991,1.073
u0_raw[98],0.41,0.102,0.213,0.594,0.015,0.004,47.324,250.042,1.061
u0_raw[99],0.598,0.104,0.404,0.79,0.013,0.004,63.859,295.074,1.048
u0_raw[100],-0.325,0.15,-0.597,-0.034,0.022,0.003,47.838,298.656,1.053
u0_raw[101],-0.331,0.108,-0.527,-0.128,0.022,0.005,23.775,146.114,1.111
u0_raw[102],-1.032,0.129,-1.287,-0.805,0.029,0.006,19.865,175.989,1.138
u0_raw[103],-0.154,0.095,-0.332,0.022,0.021,0.006,21.756,66.023,1.126
u0_raw[104],-1.121,0.125,-1.344,-0.888,0.03,0.006,17.407,112.05,1.161
u0_raw[105],-0.045,0.128,-0.286,0.192,0.018,0.004,48.815,281.591,1.056
u0_raw[106],-1.899,0.185,-2.246,-1.557,0.036,0.007,26.708,220.017,1.103
u0_raw[107],0.134,0.103,-0.063,0.322,0.018,0.005,33.336,136.671,1.082
u0_raw[108],0.231,0.104,0.038,0.427,0.016,0.004,40.147,188.587,1.067
u0_raw[109],-0.255,0.106,-0.443,-0.046,0.022,0.005,23.424,109.155,1.115
u0_raw[110],1.611,0.126,1.39,1.852,0.014,0.005,84.045,425.503,1.014
u0_raw[111],-0.836,0.127,-1.074,-0.6,0.026,0.005,23.957,172.939,1.112
u0_raw[112],0.633,0.105,0.44,0.825,0.013,0.003,64.233,299.253,1.047
u0_raw[113],0.773,0.107,0.57,0.966,0.012,0.004,73.494,363.174,1.037
u0_raw[114],1.976,0.146,1.699,2.236,0.015,0.005,95.862,439.626,1.014
u0_raw[115],0.164,0.102,-0.024,0.356,0.017,0.004,35.449,170.324,1.078
u0_raw[116],1.284,0.115,1.084,1.505,0.013,0.004,80.147,407.461,1.019
u0_raw[117],0.468,0.104,0.275,0.662,0.014,0.004,55.598,286.982,1.055
u0_raw[118],-0.775,0.116,-0.985,-0.556,0.026,0.006,19.53,89.93,1.142
u0_raw[119],-0.964,0.12,-1.181,-0.737,0.028,0.006,18.062,93.028,1.155
u0_raw[120],0.991,0.113,0.781,1.199,0.013,0.004,80.803,363.124,1.027
u0_raw[121],-1.009,0.123,-1.241,-0.781,0.029,0.006,18.426,137.789,1.15
u0_raw[122],-1.284,0.124,-1.52,-1.053,0.031,0.007,16.147,112.067,1.182
u0_raw[123],-0.806,0.13,-1.045,-0.563,0.027,0.005,23.652,128.609,1.113
u0_raw[124],1.013,0.112,0.804,1.219,0.013,0.004,78.849,373.59,1.026
u0_raw[125],-0.406,0.105,-0.597,-0.204,0.023,0.006,20.763,81.574,1.13
u0_raw[126],0.032,0.106,-0.17,0.23,0.019,0.005,31.294,174.278,1.084
u0_raw[127],1.696,0.136,1.455,1.961,0.014,0.004,94.085,416.853,1.013
u0_raw[128],1.163,0.117,0.949,1.38,0.013,0.004,87.246,442.49,1.021
u0_raw[129],1.478,0.126,1.244,1.704,0.013,0.004,88.069,459.69,1.015
u0_raw[130],-0.251,0.416,-1.024,0.544,0.007,0.004,3379.237,5696.435,1.004
u0_raw[131],0.122,0.611,-1.009,1.294,0.007,0.007,8712.708,5190.06,1.001
u0_raw[132],2.159,0.155,1.866,2.441,0.016,0.005,97.091,401.676,1.016
u0_raw[133],1.487,0.131,1.245,1.727,0.013,0.004,96.018,572.932,1.014
u0_raw[134],-0.397,0.106,-0.594,-0.199,0.023,0.005,21.547,96.819,1.125
u0_raw[135],1.554,0.13,1.318,1.798,0.014,0.004,92.071,476.532,1.013
u0_raw[136],-0.126,0.094,-0.302,0.046,0.02,0.006,21.186,73.712,1.131
u0_raw[137],-1.612,0.147,-1.879,-1.333,0.033,0.007,19.743,154.895,1.144
u0_raw[138],-0.258,0.162,-0.567,0.043,0.02,0.003,66.814,806.617,1.041
u0_raw[139],2.181,0.154,1.913,2.479,0.016,0.006,90.736,420.342,1.017
u0_raw[140],-0.931,0.357,-1.61,-0.283,0.01,0.004,1324.1,4589.19,1.007
u0_raw[141],-0.081,0.113,-0.29,0.133,0.02,0.005,33.761,215.215,1.081
u0_raw[142],1.052,0.113,0.841,1.266,0.013,0.004,80.573,405.226,1.024
u0_raw[143],1.878,0.142,1.626,2.143,0.015,0.005,93.665,470.557,1.014
u0_raw[144],-0.736,0.118,-0.953,-0.511,0.026,0.006,20.871,102.474,1.13
u0_raw[145],-1.029,0.123,-1.268,-0.812,0.028,0.006,18.762,139.975,1.15
u0_raw[146],-0.017,0.104,-0.212,0.176,0.02,0.005,27.079,135.988,1.099
u0_raw[147],1.363,0.115,1.16,1.586,0.013,0.004,80.371,368.275,1.018
u0_raw[148],-0.63,0.116,-0.849,-0.416,0.025,0.005,21.508,116.375,1.124
u0_raw[149],0.04,0.103,-0.152,0.232,0.018,0.005,32.133,156.854,1.085
u0_raw[150],-0.408,0.1,-0.593,-0.222,0.023,0.006,19.204,87.071,1.143
u0_raw[151],-0.408,0.106,-0.609,-0.213,0.023,0.005,21.277,110.208,1.127
u0_raw[152],0.497,0.104,0.309,0.695,0.014,0.004,55.04,235.963,1.054
u0_raw[153],0.979,0.605,-0.12,2.167,0.007,0.006,8430.822,6028.976,1.002
u0_raw[154],-1.413,0.131,-1.656,-1.177,0.032,0.007,16.152,113.812,1.182
u0_raw[155],-1.057,0.123,-1.292,-0.835,0.029,0.006,17.769,137.874,1.159
u0_raw[156],-0.109,0.103,-0.305,0.078,0.02,0.005,27.014,103.603,1.1
u0_raw[157],-1.152,0.124,-1.385,-0.927,0.03,0.006,17.437,125.608,1.162
u0_raw[158],3.032,0.19,2.681,3.384,0.02,0.008,87.779,311.256,1.028
u0_raw[159],1.866,0.141,1.608,2.131,0.015,0.005,95.205,429.108,1.012
u0_raw[160],0.949,0.112,0.742,1.158,0.012,0.004,82.488,430.759,1.029
u0_raw[161],0.345,0.199,-0.027,0.717,0.012,0.002,262.547,1592.952,1.013
u0_raw[162],-0.585,0.116,-0.805,-0.366,0.024,0.005,23.897,127.107,1.114
u0_raw[163],-0.328,0.106,-0.537,-0.142,0.022,0.005,22.221,107.775,1.121
u0_raw[164],-0.218,0.136,-0.472,0.037,0.022,0.003,40.068,425.321,1.065
