,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.715,0.02,5.679,5.757,0.003,0.002,38.886,83.675,1.084
beta_gpt2_surprisal,0.01,0.002,0.007,0.013,0.0,0.0,6405.575,6437.751,1.001
u0_raw[0],-0.665,0.107,-0.878,-0.472,0.011,0.005,98.369,193.045,1.046
u0_raw[1],-0.219,0.094,-0.391,-0.034,0.013,0.006,51.432,131.599,1.063
u0_raw[2],-0.794,0.109,-0.994,-0.582,0.011,0.006,100.595,192.778,1.044
u0_raw[3],-1.044,0.117,-1.274,-0.837,0.011,0.005,113.769,213.318,1.039
u0_raw[4],-1.802,0.136,-2.057,-1.554,0.012,0.005,130.494,318.676,1.03
u0_raw[5],0.789,0.111,0.58,0.998,0.013,0.005,67.868,177.435,1.052
u0_raw[6],1.173,0.166,0.87,1.497,0.012,0.003,194.988,651.693,1.019
u0_raw[7],0.095,0.104,-0.101,0.294,0.013,0.005,63.922,157.372,1.052
u0_raw[8],0.684,0.109,0.479,0.887,0.013,0.006,68.075,183.023,1.052
u0_raw[9],-0.687,0.207,-1.069,-0.292,0.011,0.003,380.336,1765.033,1.012
u0_raw[10],-0.649,0.107,-0.849,-0.445,0.011,0.005,98.465,168.507,1.045
u0_raw[11],-0.103,0.105,-0.309,0.085,0.013,0.005,60.636,168.355,1.051
u0_raw[12],0.394,0.105,0.192,0.589,0.012,0.005,70.838,177.721,1.05
u0_raw[13],1.645,0.179,1.317,1.988,0.012,0.004,207.358,618.168,1.019
u0_raw[14],0.105,0.105,-0.095,0.295,0.013,0.005,64.138,165.485,1.05
u0_raw[15],-1.803,0.138,-2.062,-1.55,0.012,0.005,135.13,281.656,1.028
u0_raw[16],-0.125,0.113,-0.336,0.086,0.012,0.005,82.611,247.189,1.04
u0_raw[17],0.584,0.108,0.379,0.785,0.013,0.005,69.47,190.935,1.051
u0_raw[18],1.441,0.528,0.446,2.423,0.008,0.006,4429.214,5461.371,1.001
u0_raw[19],-0.811,0.11,-1.024,-0.609,0.011,0.005,102.674,199.227,1.044
u0_raw[20],-0.382,0.102,-0.573,-0.182,0.011,0.005,91.197,167.266,1.048
u0_raw[21],-0.081,0.106,-0.285,0.117,0.012,0.005,76.431,186.215,1.045
u0_raw[22],0.856,0.113,0.644,1.069,0.013,0.005,76.196,195.703,1.047
u0_raw[23],-1.089,0.116,-1.307,-0.873,0.011,0.005,108.125,215.496,1.041
u0_raw[24],-1.74,0.136,-2.005,-1.504,0.012,0.005,135.277,225.639,1.029
u0_raw[25],1.054,0.116,0.844,1.278,0.013,0.005,79.8,199.024,1.048
u0_raw[26],1.205,0.122,0.976,1.433,0.013,0.005,86.214,246.521,1.045
u0_raw[27],-0.278,0.136,-0.523,-0.006,0.011,0.004,139.761,344.81,1.027
u0_raw[28],-0.19,0.105,-0.391,0.009,0.012,0.005,70.791,161.471,1.048
u0_raw[29],0.449,0.104,0.257,0.648,0.012,0.006,71.045,166.798,1.052
u0_raw[30],0.912,0.115,0.696,1.123,0.013,0.005,72.379,179.199,1.05
u0_raw[31],0.352,0.11,0.146,0.559,0.014,0.005,64.83,210.553,1.05
u0_raw[32],-0.143,0.107,-0.35,0.055,0.013,0.005,65.891,177.053,1.047
u0_raw[33],-0.875,0.113,-1.091,-0.668,0.011,0.005,107.405,196.593,1.041
u0_raw[34],0.457,0.105,0.247,0.648,0.013,0.005,63.728,181.784,1.052
u0_raw[35],0.251,0.096,0.063,0.428,0.013,0.006,52.504,141.774,1.063
u0_raw[36],-0.844,0.108,-1.051,-0.644,0.011,0.005,98.725,183.66,1.046
u0_raw[37],0.795,0.112,0.592,1.015,0.013,0.005,76.078,206.132,1.049
u0_raw[38],-0.763,0.11,-0.976,-0.552,0.011,0.005,100.527,192.414,1.044
u0_raw[39],-0.099,0.103,-0.301,0.089,0.013,0.005,63.057,166.61,1.052
u0_raw[40],-1.917,0.383,-2.628,-1.178,0.01,0.005,1565.19,4912.058,1.003
u0_raw[41],-0.077,0.117,-0.299,0.139,0.012,0.005,89.391,248.728,1.038
u0_raw[42],0.295,0.103,0.098,0.489,0.012,0.006,68.709,161.252,1.051
u0_raw[43],-0.083,0.108,-0.296,0.116,0.012,0.005,82.494,186.647,1.045
u0_raw[44],0.347,0.104,0.156,0.544,0.013,0.006,64.89,182.893,1.051
u0_raw[45],-0.675,0.112,-0.899,-0.477,0.011,0.005,108.907,215.041,1.041
u0_raw[46],-1.704,0.134,-1.963,-1.468,0.012,0.005,134.724,316.449,1.029
u0_raw[47],0.376,0.105,0.172,0.568,0.013,0.005,65.917,172.635,1.049
u0_raw[48],-1.74,0.141,-2.008,-1.482,0.012,0.005,140.533,315.009,1.029
u0_raw[49],1.727,0.143,1.45,1.987,0.014,0.006,107.449,285.628,1.037
u0_raw[50],-0.303,0.11,-0.508,-0.096,0.012,0.005,85.978,199.31,1.042
u0_raw[51],-0.978,0.113,-1.207,-0.777,0.011,0.005,106.46,219.203,1.041
u0_raw[52],-0.341,0.106,-0.552,-0.153,0.012,0.005,78.928,166.326,1.046
u0_raw[53],0.228,0.102,0.037,0.426,0.013,0.005,62.708,159.453,1.051
u0_raw[54],0.381,0.146,0.108,0.655,0.012,0.003,153.964,669.25,1.024
u0_raw[55],1.439,0.13,1.201,1.683,0.014,0.006,90.719,229.298,1.043
u0_raw[56],-0.765,0.109,-0.973,-0.565,0.011,0.005,101.658,192.666,1.044
u0_raw[57],1.357,0.127,1.131,1.609,0.013,0.005,89.132,277.5,1.042
u0_raw[58],-2.915,0.474,-3.802,-2.053,0.008,0.005,3375.674,5212.006,1.001
u0_raw[59],-0.361,0.104,-0.567,-0.17,0.012,0.005,78.095,157.099,1.045
u0_raw[60],-0.192,0.101,-0.394,-0.008,0.013,0.006,61.945,165.759,1.054
u0_raw[61],-0.648,0.472,-1.52,0.243,0.006,0.006,6206.13,5373.0,1.001
u0_raw[62],-1.391,0.127,-1.631,-1.157,0.011,0.006,126.657,222.656,1.033
u0_raw[63],-0.681,0.107,-0.886,-0.481,0.011,0.005,97.713,179.764,1.047
u0_raw[64],-1.045,0.114,-1.27,-0.839,0.011,0.005,107.765,186.673,1.039
u0_raw[65],-0.301,0.102,-0.487,-0.101,0.013,0.006,60.765,157.399,1.054
u0_raw[66],0.888,0.115,0.677,1.111,0.013,0.005,77.261,187.668,1.047
u0_raw[67],-0.59,0.111,-0.802,-0.382,0.011,0.005,94.533,198.423,1.041
u0_raw[68],0.905,0.106,0.72,1.118,0.013,0.006,66.373,152.132,1.056
u0_raw[69],-0.549,0.159,-0.848,-0.248,0.01,0.004,231.975,683.831,1.019
u0_raw[70],-1.793,0.137,-2.048,-1.542,0.012,0.005,132.836,276.223,1.029
u0_raw[71],1.341,0.124,1.122,1.582,0.013,0.005,86.576,239.868,1.042
u0_raw[72],-0.676,0.107,-0.884,-0.478,0.011,0.006,90.496,177.119,1.046
u0_raw[73],-0.82,0.103,-1.022,-0.63,0.011,0.006,90.503,161.115,1.051
u0_raw[74],-0.89,0.102,-1.097,-0.705,0.011,0.006,88.098,152.058,1.052
u0_raw[75],0.43,0.129,0.188,0.67,0.012,0.004,109.377,287.068,1.032
u0_raw[76],0.954,0.116,0.744,1.186,0.013,0.006,80.548,212.449,1.044
u0_raw[77],-0.575,0.111,-0.79,-0.37,0.011,0.005,104.792,195.107,1.041
u0_raw[78],0.026,0.104,-0.168,0.222,0.013,0.005,67.598,179.215,1.05
u0_raw[79],0.486,0.108,0.291,0.695,0.013,0.005,65.222,184.855,1.051
u0_raw[80],0.434,0.106,0.24,0.639,0.014,0.006,59.226,182.608,1.055
u0_raw[81],-0.012,0.103,-0.209,0.18,0.013,0.006,60.374,173.707,1.052
u0_raw[82],-1.056,0.114,-1.279,-0.851,0.011,0.005,108.649,207.375,1.04
u0_raw[83],-0.041,0.093,-0.226,0.13,0.013,0.006,54.186,130.318,1.063
u0_raw[84],-0.162,0.094,-0.344,0.013,0.013,0.006,50.493,117.418,1.064
u0_raw[85],1.125,0.12,0.895,1.346,0.013,0.005,81.248,223.903,1.045
u0_raw[86],-1.66,0.135,-1.919,-1.411,0.012,0.005,136.023,276.861,1.029
