,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.701,0.019,5.666,5.737,0.003,0.001,41.197,77.055,1.091
beta_t5_base_surprisal,0.013,0.001,0.011,0.016,0.0,0.0,10437.988,5469.258,1.0
u0_raw[0],-0.716,0.109,-0.917,-0.511,0.013,0.004,70.881,246.801,1.05
u0_raw[1],-0.197,0.091,-0.378,-0.039,0.012,0.005,53.638,173.334,1.068
u0_raw[2],-0.892,0.11,-1.102,-0.696,0.013,0.004,69.328,163.043,1.054
u0_raw[3],-1.097,0.121,-1.321,-0.871,0.014,0.004,75.755,279.533,1.05
u0_raw[4],-1.709,0.137,-1.959,-1.446,0.016,0.005,74.921,324.743,1.048
u0_raw[5],0.889,0.108,0.684,1.088,0.013,0.004,70.513,261.395,1.043
u0_raw[6],1.117,0.166,0.816,1.436,0.013,0.003,162.433,695.818,1.02
u0_raw[7],0.237,0.1,0.045,0.415,0.012,0.004,65.577,273.044,1.053
u0_raw[8],0.792,0.107,0.588,0.993,0.013,0.004,67.869,254.245,1.049
u0_raw[9],-0.4,0.227,-0.798,0.056,0.012,0.003,385.817,3107.227,1.012
u0_raw[10],-0.606,0.11,-0.803,-0.403,0.013,0.004,72.148,292.598,1.05
u0_raw[11],-0.145,0.101,-0.335,0.041,0.012,0.004,69.564,254.705,1.049
u0_raw[12],0.405,0.1,0.223,0.598,0.013,0.004,63.681,199.959,1.051
u0_raw[13],1.949,0.185,1.604,2.298,0.015,0.004,148.379,700.698,1.025
u0_raw[14],0.116,0.102,-0.08,0.301,0.012,0.004,69.21,259.371,1.048
u0_raw[15],-1.745,0.141,-2.004,-1.485,0.016,0.005,80.066,257.308,1.045
u0_raw[16],-0.026,0.114,-0.235,0.19,0.012,0.004,84.341,307.023,1.04
u0_raw[17],0.583,0.104,0.382,0.772,0.013,0.004,67.08,250.185,1.05
u0_raw[18],-1.506,0.536,-2.522,-0.538,0.007,0.007,6473.731,5030.049,1.001
u0_raw[19],-0.895,0.111,-1.104,-0.689,0.013,0.004,69.137,165.167,1.054
u0_raw[20],-0.451,0.103,-0.648,-0.264,0.012,0.004,68.568,277.839,1.051
u0_raw[21],-0.086,0.104,-0.284,0.103,0.012,0.004,70.604,271.055,1.051
u0_raw[22],0.891,0.108,0.683,1.09,0.013,0.005,68.769,257.927,1.048
u0_raw[23],-1.037,0.116,-1.257,-0.826,0.014,0.004,68.899,229.781,1.054
u0_raw[24],-1.694,0.135,-1.949,-1.446,0.016,0.005,74.597,242.116,1.049
u0_raw[25],1.171,0.115,0.971,1.405,0.014,0.005,72.093,277.716,1.045
u0_raw[26],1.301,0.121,1.089,1.535,0.014,0.005,75.131,318.158,1.044
u0_raw[27],-0.554,0.138,-0.825,-0.313,0.012,0.003,123.069,535.287,1.03
u0_raw[28],-0.129,0.101,-0.325,0.051,0.013,0.004,64.38,231.72,1.054
u0_raw[29],0.635,0.107,0.429,0.83,0.013,0.004,71.531,277.607,1.045
u0_raw[30],0.904,0.11,0.692,1.107,0.013,0.005,69.553,241.569,1.047
u0_raw[31],0.592,0.112,0.38,0.801,0.013,0.004,74.726,282.057,1.043
u0_raw[32],-0.227,0.108,-0.442,-0.039,0.012,0.004,77.71,310.607,1.045
u0_raw[33],-0.769,0.107,-0.963,-0.571,0.013,0.004,67.098,284.683,1.057
u0_raw[34],0.445,0.103,0.248,0.632,0.012,0.004,70.452,261.646,1.047
u0_raw[35],0.324,0.092,0.147,0.492,0.012,0.005,53.914,179.342,1.064
u0_raw[36],-0.789,0.109,-1.002,-0.599,0.013,0.004,67.403,197.134,1.056
u0_raw[37],0.916,0.11,0.712,1.122,0.013,0.005,69.852,269.486,1.049
u0_raw[38],-0.669,0.107,-0.866,-0.466,0.013,0.004,70.76,293.03,1.05
u0_raw[39],0.043,0.102,-0.154,0.223,0.012,0.004,67.279,294.412,1.05
u0_raw[40],-1.105,0.441,-1.926,-0.267,0.006,0.005,4987.681,5626.001,1.002
u0_raw[41],-0.195,0.111,-0.412,0.001,0.012,0.003,82.361,358.041,1.043
u0_raw[42],0.28,0.102,0.097,0.475,0.012,0.004,66.803,265.683,1.05
u0_raw[43],-0.284,0.106,-0.482,-0.087,0.013,0.004,71.51,280.828,1.048
u0_raw[44],0.344,0.101,0.152,0.533,0.013,0.004,64.86,185.657,1.054
u0_raw[45],-0.608,0.11,-0.816,-0.405,0.013,0.004,73.448,318.891,1.049
u0_raw[46],-1.72,0.137,-1.979,-1.466,0.016,0.005,77.234,273.925,1.048
u0_raw[47],0.287,0.101,0.101,0.478,0.012,0.004,66.092,286.732,1.052
u0_raw[48],-1.716,0.138,-1.964,-1.451,0.016,0.005,76.87,260.26,1.048
u0_raw[49],1.763,0.138,1.504,2.013,0.015,0.005,81.845,348.15,1.041
u0_raw[50],-0.241,0.108,-0.445,-0.045,0.012,0.004,75.581,331.904,1.047
u0_raw[51],-0.962,0.114,-1.182,-0.758,0.013,0.004,71.918,218.811,1.051
u0_raw[52],-0.187,0.1,-0.38,-0.009,0.012,0.004,65.07,245.18,1.053
u0_raw[53],0.096,0.102,-0.111,0.274,0.012,0.004,69.208,273.783,1.052
u0_raw[54],0.232,0.147,-0.05,0.493,0.012,0.003,159.23,817.198,1.021
u0_raw[55],1.619,0.131,1.376,1.859,0.015,0.005,77.789,304.546,1.041
u0_raw[56],-0.62,0.107,-0.82,-0.422,0.013,0.004,70.549,216.945,1.051
u0_raw[57],1.351,0.123,1.115,1.577,0.014,0.005,76.776,321.721,1.042
u0_raw[58],-1.881,0.608,-3.052,-0.787,0.007,0.007,7881.557,5794.458,1.001
u0_raw[59],-0.234,0.102,-0.428,-0.047,0.013,0.004,65.798,177.066,1.053
u0_raw[60],-0.076,0.101,-0.268,0.106,0.012,0.004,67.539,230.556,1.053
u0_raw[61],-1.866,0.741,-3.26,-0.482,0.008,0.008,9321.541,5565.432,1.0
u0_raw[62],-1.326,0.128,-1.568,-1.091,0.015,0.004,76.353,239.918,1.048
u0_raw[63],-0.694,0.108,-0.893,-0.496,0.013,0.004,68.084,313.663,1.053
u0_raw[64],-0.955,0.112,-1.168,-0.755,0.014,0.004,67.313,218.03,1.055
u0_raw[65],-0.223,0.101,-0.407,-0.033,0.012,0.004,66.316,267.059,1.053
u0_raw[66],0.895,0.113,0.69,1.114,0.013,0.004,77.865,287.86,1.04
u0_raw[67],-0.506,0.108,-0.703,-0.306,0.013,0.003,74.896,326.162,1.046
u0_raw[68],0.946,0.102,0.756,1.137,0.013,0.005,61.101,210.287,1.054
u0_raw[69],-0.478,0.16,-0.763,-0.174,0.013,0.002,151.724,1106.972,1.025
u0_raw[70],-1.75,0.136,-2.008,-1.501,0.016,0.005,75.2,275.043,1.048
u0_raw[71],1.345,0.123,1.112,1.569,0.014,0.005,75.264,287.212,1.044
u0_raw[72],-0.613,0.104,-0.799,-0.412,0.013,0.004,66.151,204.203,1.054
u0_raw[73],-0.843,0.104,-1.031,-0.648,0.013,0.004,61.444,174.776,1.06
u0_raw[74],-0.77,0.1,-0.953,-0.58,0.013,0.005,56.924,135.561,1.065
u0_raw[75],0.522,0.13,0.272,0.764,0.012,0.003,114.784,551.488,1.03
u0_raw[76],1.037,0.111,0.829,1.241,0.013,0.005,68.605,252.831,1.048
u0_raw[77],-0.671,0.112,-0.879,-0.464,0.013,0.004,75.667,303.378,1.048
u0_raw[78],0.031,0.105,-0.165,0.228,0.012,0.004,70.538,235.732,1.05
u0_raw[79],0.514,0.107,0.302,0.703,0.013,0.004,73.283,288.225,1.047
u0_raw[80],0.358,0.102,0.167,0.549,0.012,0.004,68.695,216.626,1.05
u0_raw[81],0.071,0.1,-0.126,0.253,0.012,0.004,66.497,248.446,1.053
u0_raw[82],-1.044,0.115,-1.253,-0.832,0.014,0.004,70.38,161.668,1.053
u0_raw[83],-0.03,0.09,-0.202,0.132,0.012,0.004,54.192,157.897,1.065
u0_raw[84],-0.22,0.091,-0.4,-0.06,0.013,0.004,53.27,167.827,1.07
u0_raw[85],1.047,0.112,0.835,1.256,0.013,0.005,71.909,266.112,1.044
u0_raw[86],-1.578,0.136,-1.83,-1.322,0.015,0.004,79.315,288.803,1.045
u0_raw[87],-0.221,0.102,-0.416,-0.032,0.012,0.004,67.186,227.998,1.05
u0_raw[88],-1.061,0.117,-1.282,-0.85,0.014,0.004,70.521,184.277,1.052
u0_raw[89],0.678,0.106,0.475,0.868,0.013,0.005,70.59,252.265,1.046
u0_raw[90],0.665,0.105,0.473,0.863,0.013,0.005,65.162,249.668,1.052
u0_raw[91],0.579,0.108,0.376,0.782,0.013,0.004,73.234,295.953,1.046
u0_raw[92],1.479,0.125,1.257,1.721,0.014,0.005,78.176,300.655,1.043
u0_raw[93],0.423,0.182,0.069,0.753,0.011,0.002,250.627,1541.896,1.013
u0_raw[94],-1.546,0.13,-1.786,-1.294,0.015,0.004,75.823,215.9,1.047
u0_raw[95],-1.362,0.122,-1.598,-1.146,0.014,0.004,71.063,230.207,1.053
u0_raw[96],1.404,0.121,1.175,1.627,0.014,0.005,76.08,282.031,1.044
u0_raw[97],0.242,0.1,0.053,0.432,0.012,0.005,66.073,212.179,1.05
u0_raw[98],0.43,0.101,0.24,0.621,0.013,0.004,65.271,231.901,1.053
u0_raw[99],0.615,0.104,0.411,0.802,0.013,0.004,67.968,261.97,1.052
u0_raw[100],-0.299,0.145,-0.573,-0.035,0.012,0.003,138.275,586.416,1.022
u0_raw[101],-0.305,0.104,-0.5,-0.112,0.013,0.004,67.248,267.035,1.055
u0_raw[102],-0.996,0.118,-1.21,-0.771,0.014,0.004,76.598,307.01,1.047
u0_raw[103],-0.131,0.093,-0.306,0.036,0.012,0.004,56.789,217.786,1.062
u0_raw[104],-1.086,0.114,-1.303,-0.881,0.014,0.004,68.174,207.277,1.054
u0_raw[105],-0.03,0.127,-0.279,0.202,0.012,0.003,105.379,530.304,1.034
u0_raw[106],-1.862,0.17,-2.171,-1.534,0.016,0.003,116.48,722.201,1.032
u0_raw[107],0.157,0.101,-0.04,0.339,0.012,0.004,65.978,240.826,1.052
u0_raw[108],0.253,0.104,0.065,0.455,0.012,0.004,70.869,256.707,1.05
u0_raw[109],-0.231,0.102,-0.42,-0.041,0.013,0.004,66.01,227.513,1.054
u0_raw[110],1.626,0.124,1.402,1.852,0.015,0.005,71.079,294.924,1.046
u0_raw[111],-0.801,0.121,-1.034,-0.584,0.013,0.003,84.305,385.501,1.044
u0_raw[112],0.663,0.105,0.462,0.853,0.013,0.005,66.925,222.597,1.049
u0_raw[113],0.79,0.108,0.59,0.994,0.013,0.005,69.104,241.938,1.05
u0_raw[114],1.991,0.144,1.731,2.262,0.016,0.005,82.894,366.859,1.04
u0_raw[115],0.193,0.1,0.005,0.375,0.012,0.004,67.888,259.372,1.051
u0_raw[116],1.301,0.113,1.093,1.515,0.014,0.005,67.472,242.953,1.049
u0_raw[117],0.488,0.103,0.286,0.676,0.012,0.004,68.632,240.523,1.048
u0_raw[118],-0.748,0.108,-0.949,-0.549,0.013,0.004,70.111,209.231,1.051
u0_raw[119],-0.932,0.112,-1.147,-0.729,0.013,0.004,70.196,282.556,1.052
u0_raw[120],1.012,0.113,0.802,1.221,0.013,0.004,72.741,263.382,1.045
u0_raw[121],-0.98,0.113,-1.191,-0.772,0.013,0.004,71.357,262.937,1.049
u0_raw[122],-1.249,0.112,-1.46,-1.047,0.014,0.005,62.365,177.045,1.059
u0_raw[123],-0.777,0.123,-1.004,-0.552,0.013,0.004,84.842,357.139,1.044
u0_raw[124],1.036,0.112,0.815,1.238,0.013,0.005,71.143,277.613,1.045
u0_raw[125],-0.379,0.102,-0.574,-0.197,0.013,0.004,65.322,250.226,1.054
u0_raw[126],0.066,0.104,-0.132,0.255,0.012,0.004,72.493,249.908,1.047
u0_raw[127],1.709,0.134,1.467,1.963,0.015,0.005,81.28,353.204,1.039
u0_raw[128],1.182,0.117,0.963,1.398,0.014,0.004,74.496,322.267,1.043
u0_raw[129],1.492,0.125,1.26,1.719,0.014,0.005,75.509,309.085,1.044
u0_raw[130],-0.297,0.406,-1.032,0.479,0.006,0.005,4940.9,5556.614,1.002
u0_raw[131],0.153,0.609,-0.946,1.334,0.006,0.007,9685.655,6279.015,1.0
u0_raw[132],2.171,0.151,1.875,2.437,0.017,0.006,83.877,357.535,1.04
u0_raw[133],1.504,0.131,1.256,1.741,0.014,0.005,83.501,338.733,1.038
u0_raw[134],-0.369,0.101,-0.563,-0.189,0.012,0.004,66.024,302.891,1.055
u0_raw[135],1.565,0.128,1.346,1.821,0.015,0.005,75.803,260.542,1.042
u0_raw[136],-0.102,0.091,-0.271,0.062,0.012,0.004,53.754,185.8,1.065
u0_raw[137],-1.574,0.134,-1.822,-1.322,0.015,0.004,77.583,305.697,1.047
u0_raw[138],-0.237,0.159,-0.535,0.061,0.012,0.002,170.622,949.485,1.021
u0_raw[139],2.192,0.15,1.93,2.473,0.017,0.006,81.926,336.19,1.041
u0_raw[140],-0.912,0.349,-1.539,-0.247,0.01,0.004,1256.48,4447.749,1.005
u0_raw[141],-0.052,0.111,-0.274,0.14,0.012,0.004,83.029,308.831,1.043
u0_raw[142],1.071,0.112,0.848,1.273,0.013,0.005,70.139,260.847,1.046
u0_raw[143],1.896,0.14,1.642,2.167,0.015,0.005,84.104,352.596,1.039
u0_raw[144],-0.71,0.112,-0.911,-0.493,0.013,0.004,76.389,334.665,1.048
u0_raw[145],-0.998,0.114,-1.21,-0.787,0.014,0.004,69.427,169.701,1.053
u0_raw[146],0.009,0.099,-0.173,0.197,0.012,0.004,65.018,252.662,1.054
u0_raw[147],1.382,0.115,1.162,1.589,0.014,0.005,66.47,238.228,1.049
u0_raw[148],-0.594,0.112,-0.798,-0.386,0.013,0.004,73.935,350.284,1.047
u0_raw[149],0.063,0.101,-0.129,0.248,0.012,0.004,70.782,263.763,1.046
u0_raw[150],-0.376,0.097,-0.56,-0.204,0.013,0.004,59.166,171.357,1.062
u0_raw[151],-0.377,0.102,-0.578,-0.198,0.013,0.004,66.104,263.589,1.054
u0_raw[152],0.518,0.103,0.333,0.723,0.013,0.004,67.159,253.873,1.05
u0_raw[153],0.938,0.613,-0.207,2.105,0.006,0.007,9445.056,6053.176,1.0
u0_raw[154],-1.373,0.118,-1.594,-1.156,0.015,0.005,64.599,174.63,1.055
u0_raw[155],-1.019,0.114,-1.228,-0.814,0.014,0.004,69.397,185.387,1.053
u0_raw[156],-0.079,0.101,-0.267,0.104,0.012,0.004,65.368,260.39,1.053
u0_raw[157],-1.111,0.114,-1.316,-0.892,0.014,0.004,68.041,178.876,1.053
