,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.703,0.019,5.67,5.741,0.002,0.001,64.459,85.787,1.056
beta_ngram_surprisal,0.0,0.001,-0.002,0.003,0.0,0.0,12129.846,5754.021,1.0
beta_gpt2_surprisal,0.01,0.002,0.007,0.013,0.0,0.0,4826.226,5976.684,1.0
beta_bert_base_uncased_surprisal,0.006,0.001,0.003,0.009,0.0,0.0,7884.165,6843.797,1.0
beta_t5_base_surprisal,0.018,0.001,0.016,0.021,0.0,0.0,7503.948,6345.416,1.0
beta_gpt2_entropy,-0.001,0.001,-0.004,0.001,0.0,0.0,7686.521,6168.632,1.0
beta_bert_base_uncased_entropy,-0.002,0.001,-0.004,0.001,0.0,0.0,7368.735,6111.288,1.0
beta_t5_base_entropy,0.002,0.001,-0.0,0.004,0.0,0.0,11173.67,5523.296,1.0
beta_integration_cost,-0.001,0.001,-0.004,0.001,0.0,0.0,10349.136,5947.154,1.0
u0_raw[0],-0.759,0.104,-0.964,-0.575,0.009,0.004,124.767,261.97,1.031
u0_raw[1],-0.135,0.088,-0.296,0.033,0.009,0.005,86.441,160.753,1.04
u0_raw[2],-0.74,0.106,-0.942,-0.547,0.009,0.004,128.802,268.421,1.03
u0_raw[3],-1.083,0.117,-1.302,-0.865,0.01,0.004,145.348,343.573,1.026
u0_raw[4],-1.678,0.134,-1.932,-1.429,0.011,0.005,138.114,371.406,1.028
u0_raw[5],0.811,0.111,0.614,1.032,0.01,0.004,113.149,266.452,1.034
u0_raw[6],1.184,0.175,0.857,1.508,0.011,0.004,231.934,632.548,1.018
u0_raw[7],0.131,0.096,-0.047,0.311,0.01,0.004,99.696,230.274,1.033
u0_raw[8],0.739,0.108,0.538,0.947,0.011,0.004,103.328,231.625,1.037
u0_raw[9],-0.684,0.198,-1.056,-0.319,0.009,0.003,504.052,1741.919,1.008
u0_raw[10],-0.518,0.1,-0.713,-0.334,0.009,0.005,116.65,259.213,1.03
u0_raw[11],-0.066,0.097,-0.241,0.123,0.009,0.004,107.485,219.416,1.032
u0_raw[12],0.349,0.099,0.168,0.536,0.01,0.004,102.276,217.746,1.034
u0_raw[13],1.673,0.201,1.289,2.04,0.013,0.004,254.511,837.476,1.016
u0_raw[14],0.105,0.097,-0.076,0.287,0.009,0.004,104.722,187.793,1.032
u0_raw[15],-1.672,0.141,-1.939,-1.412,0.012,0.005,146.137,364.991,1.025
u0_raw[16],-0.243,0.109,-0.442,-0.033,0.009,0.004,140.212,296.212,1.025
u0_raw[17],0.654,0.107,0.459,0.855,0.01,0.004,108.831,224.563,1.033
u0_raw[18],-1.033,0.34,-1.683,-0.419,0.007,0.004,2469.614,4863.468,1.002
u0_raw[19],-0.684,0.102,-0.881,-0.497,0.009,0.004,121.482,259.091,1.029
u0_raw[20],-0.365,0.099,-0.554,-0.181,0.009,0.004,116.054,255.328,1.03
u0_raw[21],-0.118,0.1,-0.313,0.059,0.009,0.004,116.036,248.217,1.029
u0_raw[22],0.889,0.115,0.679,1.113,0.011,0.004,110.303,257.452,1.035
u0_raw[23],-1.016,0.11,-1.218,-0.804,0.01,0.005,128.663,278.973,1.029
u0_raw[24],-1.738,0.139,-2.0,-1.472,0.012,0.005,138.624,350.926,1.028
u0_raw[25],1.109,0.124,0.879,1.34,0.011,0.004,117.489,283.229,1.033
u0_raw[26],1.262,0.126,1.031,1.5,0.012,0.005,115.632,258.389,1.035
u0_raw[27],-0.346,0.129,-0.595,-0.108,0.01,0.003,177.545,555.091,1.02
u0_raw[28],-0.177,0.097,-0.36,-0.002,0.009,0.004,112.791,226.629,1.031
u0_raw[29],0.501,0.105,0.311,0.698,0.01,0.004,108.046,242.511,1.034
u0_raw[30],0.853,0.115,0.636,1.062,0.011,0.004,115.162,278.997,1.031
u0_raw[31],0.485,0.107,0.284,0.682,0.01,0.004,111.812,261.116,1.032
u0_raw[32],-0.065,0.1,-0.246,0.132,0.009,0.004,116.777,266.371,1.031
u0_raw[33],-0.713,0.104,-0.908,-0.516,0.009,0.004,123.664,306.857,1.03
u0_raw[34],0.421,0.1,0.235,0.613,0.01,0.004,99.798,188.385,1.036
u0_raw[35],0.308,0.091,0.141,0.48,0.01,0.004,85.616,158.844,1.043
u0_raw[36],-0.832,0.105,-1.02,-0.62,0.009,0.004,128.286,292.504,1.031
u0_raw[37],0.742,0.11,0.537,0.947,0.011,0.004,107.401,259.857,1.035
u0_raw[38],-0.669,0.105,-0.873,-0.48,0.009,0.004,131.808,269.088,1.03
u0_raw[39],0.076,0.099,-0.116,0.257,0.01,0.004,107.077,247.925,1.033
u0_raw[40],-0.939,0.326,-1.526,-0.301,0.007,0.004,2346.593,4604.714,1.001
u0_raw[41],-0.127,0.107,-0.32,0.076,0.009,0.004,129.464,292.868,1.027
u0_raw[42],0.204,0.099,0.013,0.381,0.01,0.004,105.393,244.921,1.033
u0_raw[43],-0.228,0.103,-0.42,-0.034,0.009,0.004,124.845,263.057,1.027
u0_raw[44],0.32,0.101,0.126,0.503,0.01,0.004,105.573,221.819,1.032
u0_raw[45],-0.656,0.107,-0.865,-0.46,0.009,0.004,134.992,297.858,1.028
u0_raw[46],-1.659,0.137,-1.921,-1.408,0.011,0.005,142.927,355.803,1.025
u0_raw[47],0.446,0.103,0.25,0.633,0.01,0.004,105.105,248.377,1.034
u0_raw[48],-1.728,0.141,-1.991,-1.463,0.012,0.005,140.436,336.208,1.025
u0_raw[49],1.709,0.146,1.436,1.977,0.013,0.006,123.311,304.775,1.033
u0_raw[50],-0.164,0.103,-0.354,0.032,0.009,0.004,123.387,246.833,1.029
u0_raw[51],-0.952,0.11,-1.159,-0.742,0.01,0.005,132.364,307.791,1.028
u0_raw[52],-0.271,0.1,-0.456,-0.085,0.009,0.004,114.297,247.284,1.031
u0_raw[53],0.387,0.1,0.196,0.571,0.01,0.004,97.705,202.084,1.037
u0_raw[54],0.558,0.16,0.259,0.862,0.01,0.002,237.456,1641.383,1.016
u0_raw[55],1.557,0.14,1.298,1.823,0.013,0.005,117.887,298.164,1.035
u0_raw[56],-0.77,0.106,-0.969,-0.572,0.009,0.005,129.135,287.866,1.029
u0_raw[57],1.299,0.127,1.073,1.545,0.012,0.005,115.649,259.415,1.036
u0_raw[58],-2.724,0.374,-3.416,-2.023,0.012,0.004,997.41,2423.286,1.003
u0_raw[59],-0.205,0.096,-0.386,-0.024,0.009,0.004,106.438,226.04,1.034
