,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.711,0.019,5.676,5.746,0.003,0.001,46.982,81.348,1.059
beta_gpt2_surprisal,0.008,0.002,0.005,0.011,0.0,0.0,4250.467,5084.589,1.0
beta_gpt2_entropy,0.005,0.001,0.003,0.007,0.0,0.0,6406.71,6122.148,1.0
u0_raw[0],-0.647,0.104,-0.839,-0.453,0.01,0.004,100.2,373.535,1.03
u0_raw[1],-0.201,0.088,-0.37,-0.044,0.01,0.004,74.329,180.522,1.043
u0_raw[2],-0.773,0.107,-0.97,-0.573,0.011,0.004,103.421,342.16,1.029
u0_raw[3],-1.025,0.116,-1.237,-0.806,0.011,0.004,109.128,440.882,1.026
u0_raw[4],-1.779,0.14,-2.045,-1.518,0.013,0.005,108.739,355.704,1.021
u0_raw[5],0.796,0.104,0.607,0.99,0.012,0.003,78.704,214.975,1.033
u0_raw[6],1.177,0.164,0.881,1.498,0.013,0.003,157.581,967.802,1.017
u0_raw[7],0.11,0.097,-0.068,0.294,0.012,0.004,70.001,170.778,1.038
u0_raw[8],0.694,0.102,0.497,0.878,0.012,0.004,74.673,189.838,1.034
u0_raw[9],-0.674,0.203,-1.058,-0.293,0.01,0.002,438.509,2049.737,1.008
u0_raw[10],-0.633,0.104,-0.822,-0.435,0.01,0.004,99.88,311.877,1.031
u0_raw[11],-0.09,0.098,-0.271,0.095,0.01,0.004,92.926,216.27,1.032
u0_raw[12],0.407,0.097,0.227,0.589,0.012,0.004,71.594,184.737,1.037
u0_raw[13],1.647,0.172,1.339,1.982,0.012,0.003,191.306,873.314,1.018
u0_raw[14],0.119,0.098,-0.057,0.304,0.012,0.004,69.777,177.238,1.037
u0_raw[15],-1.782,0.142,-2.037,-1.499,0.013,0.005,112.455,274.194,1.02
u0_raw[16],-0.112,0.109,-0.314,0.092,0.011,0.003,107.946,440.463,1.027
u0_raw[17],0.592,0.099,0.41,0.78,0.012,0.004,70.672,177.401,1.037
u0_raw[18],1.431,0.516,0.426,2.38,0.006,0.006,7117.498,5700.643,1.0
u0_raw[19],-0.788,0.109,-0.983,-0.579,0.011,0.004,103.692,388.731,1.029
u0_raw[20],-0.366,0.099,-0.543,-0.179,0.01,0.004,96.239,324.494,1.034
u0_raw[21],-0.065,0.101,-0.249,0.129,0.01,0.003,96.854,267.886,1.031
u0_raw[22],0.864,0.107,0.666,1.065,0.012,0.003,80.028,249.069,1.03
u0_raw[23],-1.068,0.114,-1.278,-0.853,0.011,0.004,105.78,358.105,1.025
u0_raw[24],-1.713,0.139,-1.979,-1.451,0.013,0.005,110.369,319.35,1.022
u0_raw[25],1.062,0.107,0.865,1.261,0.012,0.004,75.989,216.72,1.033
u0_raw[26],1.214,0.116,1.004,1.434,0.013,0.004,84.959,277.232,1.029
u0_raw[27],-0.262,0.134,-0.521,-0.017,0.01,0.003,184.583,756.13,1.015
u0_raw[28],-0.175,0.098,-0.35,0.011,0.01,0.004,92.896,321.33,1.033
u0_raw[29],0.46,0.097,0.273,0.638,0.011,0.003,76.231,167.199,1.033
u0_raw[30],0.92,0.11,0.717,1.127,0.012,0.003,81.602,259.329,1.032
u0_raw[31],0.363,0.103,0.165,0.555,0.011,0.003,86.749,239.436,1.031
u0_raw[32],-0.126,0.101,-0.315,0.06,0.011,0.003,93.093,336.016,1.033
u0_raw[33],-0.858,0.111,-1.064,-0.653,0.011,0.003,106.154,435.547,1.027
u0_raw[34],0.469,0.097,0.291,0.653,0.012,0.004,69.805,175.049,1.038
u0_raw[35],0.264,0.088,0.097,0.423,0.012,0.004,58.676,108.736,1.045
u0_raw[36],-0.825,0.106,-1.022,-0.629,0.011,0.004,99.073,340.704,1.029
u0_raw[37],0.805,0.104,0.609,0.998,0.012,0.004,76.905,177.601,1.033
u0_raw[38],-0.743,0.106,-0.942,-0.546,0.01,0.004,102.976,369.183,1.028
u0_raw[39],-0.085,0.095,-0.263,0.091,0.011,0.004,83.407,122.287,1.035
u0_raw[40],-1.901,0.385,-2.634,-1.191,0.01,0.004,1450.995,4039.527,1.002
