,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.704,0.017,5.671,5.734,0.004,0.001,15.781,74.83,1.191
beta_t5_base_surprisal,0.013,0.001,0.011,0.016,0.0,0.0,11541.404,5599.564,1.001
beta_t5_base_entropy,0.003,0.001,0.001,0.005,0.0,0.0,11721.79,5708.681,1.001
u0_raw[0],-0.732,0.105,-0.92,-0.529,0.019,0.004,31.097,145.264,1.092
u0_raw[1],-0.208,0.083,-0.363,-0.051,0.018,0.004,22.131,103.747,1.127
u0_raw[2],-0.91,0.107,-1.11,-0.71,0.019,0.004,32.202,113.856,1.09
u0_raw[3],-1.118,0.119,-1.341,-0.897,0.018,0.005,41.173,94.234,1.072
u0_raw[4],-1.735,0.139,-2.01,-1.487,0.021,0.007,44.575,113.658,1.069
u0_raw[5],0.889,0.106,0.69,1.093,0.018,0.005,34.785,213.868,1.081
u0_raw[6],1.118,0.164,0.811,1.432,0.017,0.003,92.651,625.676,1.033
u0_raw[7],0.231,0.095,0.045,0.398,0.018,0.004,29.219,217.983,1.095
u0_raw[8],0.791,0.104,0.595,0.983,0.018,0.005,32.481,205.366,1.086
u0_raw[9],-0.412,0.228,-0.831,0.025,0.014,0.003,283.039,4333.441,1.015
u0_raw[10],-0.623,0.104,-0.808,-0.416,0.018,0.004,33.957,114.335,1.085
u0_raw[11],-0.155,0.094,-0.324,0.027,0.018,0.003,27.74,134.787,1.1
u0_raw[12],0.401,0.094,0.224,0.574,0.017,0.004,29.204,224.561,1.094
u0_raw[13],1.962,0.189,1.615,2.32,0.018,0.005,109.26,567.05,1.031
u0_raw[14],0.105,0.098,-0.073,0.295,0.018,0.003,31.06,317.592,1.088
u0_raw[15],-1.773,0.144,-2.052,-1.514,0.021,0.007,46.6,112.154,1.068
u0_raw[16],-0.034,0.106,-0.226,0.169,0.017,0.003,37.674,218.031,1.072
u0_raw[17],0.58,0.099,0.402,0.774,0.017,0.004,32.196,173.267,1.085
u0_raw[18],-1.517,0.536,-2.567,-0.551,0.007,0.006,5867.712,5264.417,1.001
u0_raw[19],-0.914,0.11,-1.134,-0.717,0.019,0.004,32.209,117.199,1.086
u0_raw[20],-0.464,0.099,-0.648,-0.277,0.019,0.004,28.074,136.5,1.095
u0_raw[21],-0.096,0.097,-0.266,0.096,0.018,0.003,30.182,176.348,1.091
u0_raw[22],0.891,0.106,0.699,1.092,0.017,0.005,37.524,207.22,1.078
u0_raw[23],-1.057,0.114,-1.272,-0.848,0.018,0.005,38.543,128.899,1.076
