,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.702,0.019,5.664,5.737,0.002,0.001,92.409,184.405,1.031
beta_gpt2_surprisal,0.014,0.002,0.011,0.017,0.0,0.0,6336.43,6083.915,1.0
beta_integration_cost,-0.001,0.001,-0.003,0.002,0.0,0.0,14634.653,6341.865,1.0
u0_raw[0],-0.767,0.107,-0.969,-0.565,0.009,0.003,146.26,596.369,1.026
u0_raw[1],-0.141,0.09,-0.309,0.025,0.008,0.003,117.271,302.37,1.025
u0_raw[2],-0.752,0.11,-0.954,-0.546,0.009,0.003,148.523,694.028,1.025
u0_raw[3],-1.094,0.121,-1.323,-0.869,0.009,0.003,162.154,700.518,1.024
u0_raw[4],-1.699,0.139,-1.978,-1.456,0.011,0.003,163.838,590.304,1.029
u0_raw[5],0.828,0.108,0.629,1.036,0.008,0.003,189.651,574.54,1.009
u0_raw[6],1.206,0.171,0.887,1.534,0.008,0.003,471.721,1544.403,1.004
u0_raw[7],0.135,0.097,-0.051,0.313,0.008,0.003,150.262,427.411,1.017
u0_raw[8],0.765,0.106,0.57,0.965,0.008,0.003,189.677,470.703,1.009
u0_raw[9],-0.664,0.203,-1.041,-0.288,0.008,0.002,611.344,2932.058,1.008
u0_raw[10],-0.528,0.104,-0.721,-0.333,0.009,0.003,142.72,585.37,1.025
u0_raw[11],-0.061,0.1,-0.249,0.121,0.008,0.002,149.043,456.074,1.019
u0_raw[12],0.359,0.099,0.172,0.543,0.008,0.003,162.191,467.285,1.014
u0_raw[13],1.705,0.197,1.317,2.06,0.009,0.004,521.406,1410.555,1.002
u0_raw[14],0.111,0.099,-0.073,0.293,0.008,0.002,144.31,451.135,1.02
u0_raw[15],-1.695,0.142,-1.965,-1.429,0.01,0.004,192.44,621.597,1.025
u0_raw[16],-0.239,0.112,-0.44,-0.025,0.009,0.002,172.077,689.152,1.02
u0_raw[17],0.664,0.106,0.471,0.865,0.008,0.003,195.186,525.88,1.009
u0_raw[18],-0.935,0.349,-1.58,-0.283,0.006,0.004,3215.236,4881.219,1.002
u0_raw[19],-0.694,0.106,-0.884,-0.489,0.009,0.003,139.336,538.464,1.025
u0_raw[20],-0.368,0.103,-0.558,-0.174,0.009,0.002,141.417,478.219,1.025
u0_raw[21],-0.119,0.101,-0.298,0.086,0.008,0.003,148.355,388.948,1.02
u0_raw[22],0.905,0.111,0.698,1.108,0.008,0.003,206.311,624.179,1.008
u0_raw[23],-1.028,0.114,-1.236,-0.809,0.01,0.003,138.635,550.035,1.031
u0_raw[24],-1.755,0.139,-2.002,-1.483,0.011,0.004,163.096,550.919,1.029
