model,predictor,mean,hdi_2.5,hdi_97.5,sig
baseline,ngram_surprisal,-0.0033,-0.0055,-0.001,True
deep_gpt2,gpt2_surprisal,0.0099,0.007,0.0129,True
deep_bert,bert_base_uncased_surprisal,0.005,0.0028,0.0073,True
deep_t5,t5_base_surprisal,0.0134,0.0111,0.0156,True
surprisal_vs_ic,gpt2_surprisal,0.0144,0.0113,0.0175,True
surprisal_vs_ic,integration_cost,-0.0006,-0.003,0.0018,False
surprisal_vs_entropy_gpt2,gpt2_surprisal,0.0079,0.0049,0.011,True
surprisal_vs_entropy_gpt2,gpt2_entropy,0.0051,0.0027,0.0075,True
surprisal_vs_entropy_bert,bert_base_uncased_surprisal,0.0049,0.0021,0.0076,True
surprisal_vs_entropy_bert,bert_base_uncased_entropy,0.0002,-0.0026,0.0029,False
surprisal_vs_entropy_t5,t5_base_surprisal,0.0134,0.0112,0.0156,True
surprisal_vs_entropy_t5,t5_base_entropy,0.0032,0.001,0.0055,True
full,ngram_surprisal,0.0004,-0.0019,0.0027,False
full,gpt2_surprisal,0.0098,0.0065,0.0131,True
full,bert_base_uncased_surprisal,0.0061,0.0034,0.009,True
full,t5_base_surprisal,0.0181,0.0155,0.0207,True
full,gpt2_entropy,-0.0013,-0.0041,0.0016,False
full,bert_base_uncased_entropy,-0.0017,-0.0045,0.001,False
full,t5_base_entropy,0.0021,-0.0003,0.0044,False
full,integration_cost,-0.0013,-0.0037,0.0011,False
