model,predictor,mean,hdi_2.5,hdi_97.5,sig
baseline,ngram_surprisal,0.0424,0.031,0.053,True
deep_gpt2,gpt2_surprisal,0.1021,0.0779,0.125,True
deep_bert,bert_base_uncased_surprisal,0.0879,0.0762,0.0996,True
deep_t5,t5_base_surprisal,-0.0486,-0.0598,-0.0372,True
surprisal_vs_ic,gpt2_surprisal,0.13,0.1093,0.152,True
surprisal_vs_ic,integration_cost,0.0189,0.0011,0.0371,True
surprisal_vs_entropy_gpt2,gpt2_surprisal,0.1008,0.0786,0.1248,True
surprisal_vs_entropy_gpt2,gpt2_entropy,0.0248,0.0117,0.0381,True
surprisal_vs_entropy_bert,bert_base_uncased_surprisal,0.0836,0.0724,0.0949,True
surprisal_vs_entropy_bert,bert_base_uncased_entropy,0.1012,0.0904,0.112,True
surprisal_vs_entropy_t5,t5_base_surprisal,-0.0492,-0.0605,-0.0376,True
surprisal_vs_entropy_t5,t5_base_entropy,0.0267,0.0159,0.0376,True
full,ngram_surprisal,0.0141,-0.0012,0.0301,False
full,gpt2_surprisal,0.1055,0.0854,0.1259,True
full,bert_base_uncased_surprisal,0.0689,0.0519,0.0859,True
full,t5_base_surprisal,-0.0326,-0.0491,-0.0162,True
full,gpt2_entropy,0.0121,-0.0053,0.0286,False
full,bert_base_uncased_entropy,0.0976,0.0821,0.1142,True
full,t5_base_entropy,0.023,0.0076,0.0382,True
full,integration_cost,0.0102,-0.0069,0.0278,False
