model,rank,elpd_loo,p_loo,elpd_diff,se,n_obs,elpd_loo_raw,se_raw
full_psycholing,0,-17476.563858722286,20.588535276005132,0.0,115.79949487989948,6638,-7000.750159567831,46.386883532241434
spillover,1,-17478.02547302712,18.003149400548864,1.461614304833347,101.43527789731999,9753,-10286.837392941494,59.700577233272696
entropy_reduction,2,-17494.96849985547,17.757218058104627,18.40464113318376,101.60431990703674,9753,-10296.809352428361,59.800068315329746
full,3,-17678.056288410782,21.752099148616253,201.4924296884965,110.44524777085593,7849,-8373.366954784637,52.313363692803584
gpt2_controls,4,-17908.808674976546,16.97338121816756,432.2448162542605,94.54523740976195,11241,-12148.507532159276,64.13511639147512
surprisal_vs_entropy_gpt2,5,-17916.897868233536,15.978342888367479,440.33400951125077,94.83468086922579,11241,-12153.994866743902,64.33146144776822
deep_gpt2,6,-17925.329401196712,14.967890064064704,448.7655424744262,94.49165831649097,11241,-12159.714428752171,64.09877081260485
surprisal_vs_ic,7,-17970.89822869681,16.485868906600444,494.3343699745237,105.82400540123855,7849,-8512.074117255523,50.1244715704738
surprisal_vs_entropy_bert,8,-18093.957377468432,11.08468417466429,617.3935187461466,78.53448782237759,16448,-17959.6530652707,77.95155728094058
deep_bert,9,-18254.456490390356,10.223757130443119,777.89263166807,78.37912759282244,16448,-18118.96085655305,77.79735022911977
controls_only,10,-18290.280578994596,10.775682250754471,813.7167202723103,76.84381312810015,16571,-18290.280578994596,76.84381312810015
surprisal_vs_entropy_t5,11,-18318.21666041302,11.289068283986126,841.6528016907359,76.87132616507635,16571,-18318.21666041302,76.87132616507635
deep_t5,12,-18328.12148099448,10.227900332563877,851.5576222721938,76.77516500607712,16571,-18328.12148099448,76.77516500607712
baseline,13,-18336.765754485194,10.035880524272216,860.201895762908,77.19342976066079,16571,-18336.765754485194,77.19342976066079
