,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,7.022,0.013,6.997,7.044,0.0,0.0,1704.259,1691.709,1.001
beta_ngram_surprisal,0.042,0.006,0.032,0.053,0.0,0.0,3535.746,2693.202,1.003
u0_raw[0],1.332,0.605,0.2,2.457,0.012,0.009,2483.285,2992.799,1.001
u0_raw[1],0.805,0.586,-0.19,1.993,0.01,0.009,3127.575,2833.005,1.001
u0_raw[2],-0.423,0.563,-1.457,0.635,0.01,0.01,3166.308,2709.187,1.001
u0_raw[3],-1.367,0.63,-2.544,-0.189,0.012,0.011,2706.74,2639.445,1.001
u0_raw[4],0.108,0.536,-0.925,1.121,0.01,0.009,2857.614,2866.965,1.001
u0_raw[5],-0.54,0.577,-1.595,0.563,0.011,0.01,2965.418,2792.316,1.001
u0_raw[6],0.47,0.587,-0.658,1.537,0.01,0.009,3229.228,3413.361,1.001
u0_raw[7],-0.659,0.603,-1.798,0.49,0.01,0.011,3406.976,2846.512,1.001
u0_raw[8],0.385,0.553,-0.574,1.52,0.01,0.009,3297.122,3083.808,1.002
u0_raw[9],-0.143,0.57,-1.221,0.944,0.011,0.01,2852.74,2483.153,1.0
sigma_u0,0.035,0.013,0.013,0.059,0.0,0.001,1149.341,1511.329,1.004
sigma_eps,0.731,0.004,0.724,0.739,0.0,0.0,4016.66,2746.406,1.0
u0[0],0.044,0.02,0.006,0.082,0.0,0.0,2197.238,2856.098,1.002
u0[1],0.026,0.019,-0.008,0.063,0.0,0.0,2768.21,2473.631,1.0
u0[2],-0.014,0.018,-0.05,0.018,0.0,0.0,2560.284,2584.783,1.001
u0[3],-0.045,0.021,-0.083,-0.004,0.0,0.0,2388.062,2673.786,1.0
u0[4],0.004,0.018,-0.03,0.037,0.0,0.0,2555.292,2794.925,1.002
u0[5],-0.018,0.019,-0.052,0.018,0.0,0.0,2746.124,2585.493,1.001
u0[6],0.015,0.019,-0.019,0.053,0.0,0.0,2713.23,2847.032,1.0
u0[7],-0.022,0.02,-0.059,0.016,0.0,0.0,2832.251,2542.962,1.001
u0[8],0.012,0.018,-0.022,0.047,0.0,0.0,2638.859,2590.401,1.001
u0[9],-0.005,0.019,-0.038,0.031,0.0,0.0,2462.072,2597.579,1.0
