,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,7.022,0.013,7.0,7.046,0.0,0.001,1368.681,1132.429,1.001
beta_log_freq,0.036,0.008,0.021,0.05,0.0,0.0,3370.354,2813.857,1.0
beta_word_length,0.088,0.008,0.073,0.102,0.0,0.0,3500.163,2878.672,1.0
u0_raw[0],1.25,0.622,0.114,2.434,0.013,0.011,2409.398,2409.693,1.001
u0_raw[1],0.889,0.618,-0.29,1.98,0.012,0.01,2558.656,1945.687,1.001
u0_raw[2],-0.425,0.578,-1.515,0.668,0.011,0.009,2535.237,2707.408,1.001
u0_raw[3],-1.369,0.629,-2.525,-0.222,0.011,0.011,3383.971,2835.07,1.0
u0_raw[4],-0.074,0.55,-1.099,0.952,0.01,0.01,3053.126,2933.859,1.001
u0_raw[5],-0.432,0.592,-1.547,0.659,0.01,0.01,3233.167,2727.656,1.001
u0_raw[6],0.57,0.587,-0.497,1.71,0.011,0.009,2937.274,2591.353,1.0
u0_raw[7],-0.644,0.608,-1.818,0.442,0.011,0.01,3310.721,2765.699,1.0
u0_raw[8],0.31,0.576,-0.723,1.412,0.01,0.011,3010.655,2609.189,1.002
u0_raw[9],-0.133,0.582,-1.219,0.979,0.01,0.009,3121.315,2797.634,1.0
sigma_u0,0.033,0.012,0.013,0.057,0.0,0.0,1369.224,1537.146,1.001
sigma_eps,0.729,0.004,0.722,0.737,0.0,0.0,4183.704,2822.639,1.001
u0[0],0.039,0.019,0.003,0.075,0.0,0.0,2304.765,2436.427,1.001
u0[1],0.028,0.02,-0.009,0.064,0.0,0.0,2235.105,1910.595,1.0
u0[2],-0.013,0.018,-0.049,0.019,0.0,0.0,1971.841,1919.937,1.0
u0[3],-0.043,0.021,-0.083,-0.006,0.0,0.0,2319.388,1818.343,1.0
u0[4],-0.002,0.017,-0.035,0.03,0.0,0.0,2307.599,1980.836,1.001
u0[5],-0.014,0.019,-0.05,0.021,0.0,0.0,2404.965,2123.928,1.001
u0[6],0.018,0.019,-0.015,0.055,0.0,0.0,2587.386,2118.873,1.0
u0[7],-0.02,0.019,-0.059,0.014,0.0,0.0,2465.538,2219.187,1.0
u0[8],0.009,0.018,-0.024,0.041,0.0,0.0,2520.413,1945.31,1.002
u0[9],-0.004,0.018,-0.037,0.032,0.0,0.0,2403.963,1623.554,1.001
