,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,7.017,0.013,6.992,7.04,0.0,0.0,1585.039,1583.632,1.0
beta_bert_base_uncased_surprisal,0.088,0.006,0.076,0.099,0.0,0.0,3804.235,2467.348,1.0
u0_raw[0],1.302,0.62,0.179,2.428,0.012,0.01,2577.086,2893.272,1.001
u0_raw[1],0.875,0.596,-0.198,2.043,0.011,0.01,3168.477,2904.498,1.0
u0_raw[2],-0.359,0.583,-1.462,0.746,0.011,0.01,2865.72,2780.344,1.004
u0_raw[3],-1.303,0.634,-2.477,-0.14,0.012,0.011,2812.724,2889.26,0.999
u0_raw[4],0.051,0.559,-1.014,1.111,0.01,0.01,3114.562,2604.424,1.0
u0_raw[5],-0.539,0.603,-1.787,0.517,0.01,0.011,3444.894,2841.837,1.003
u0_raw[6],0.496,0.604,-0.598,1.64,0.01,0.01,3405.116,2908.241,1.0
u0_raw[7],-0.616,0.611,-1.748,0.564,0.011,0.012,3280.722,2843.964,1.001
u0_raw[8],0.349,0.596,-0.687,1.559,0.011,0.011,2887.082,2474.295,1.001
u0_raw[9],-0.138,0.591,-1.303,0.937,0.011,0.011,2924.492,2463.651,1.0
sigma_u0,0.034,0.013,0.013,0.06,0.0,0.0,1248.609,2044.107,1.001
sigma_eps,0.728,0.004,0.721,0.736,0.0,0.0,4784.863,3024.322,1.0
u0[0],0.041,0.02,0.005,0.077,0.0,0.0,2323.156,2683.192,1.0
u0[1],0.028,0.019,-0.007,0.065,0.0,0.0,2729.593,2968.701,1.0
u0[2],-0.011,0.018,-0.047,0.021,0.0,0.0,2359.564,2686.724,1.002
u0[3],-0.041,0.02,-0.078,-0.004,0.0,0.0,2299.158,2770.787,1.0
u0[4],0.002,0.018,-0.035,0.033,0.0,0.0,2426.518,2527.306,1.001
u0[5],-0.017,0.019,-0.055,0.016,0.0,0.0,2851.174,2771.748,1.001
u0[6],0.016,0.019,-0.021,0.053,0.0,0.0,2828.113,2653.59,1.001
u0[7],-0.02,0.02,-0.055,0.02,0.0,0.0,2802.651,2898.554,1.0
u0[8],0.011,0.019,-0.023,0.047,0.0,0.0,2440.392,2748.397,1.0
u0[9],-0.004,0.019,-0.04,0.03,0.0,0.0,2523.518,3088.027,1.0
