,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,7.042,0.013,7.018,7.067,0.0,0.0,1987.558,2147.264,1.002
beta_gpt2_surprisal,0.102,0.012,0.079,0.123,0.0,0.0,2351.281,2370.449,1.001
u0_raw[0],0.865,0.668,-0.288,2.202,0.01,0.013,4331.975,2871.224,1.002
u0_raw[1],1.367,0.7,0.087,2.679,0.011,0.012,3842.525,2579.279,1.002
u0_raw[2],-0.282,0.649,-1.546,0.916,0.011,0.012,3654.211,2836.869,1.002
u0_raw[3],-0.897,0.685,-2.265,0.299,0.01,0.012,4730.336,2725.145,1.0
u0_raw[4],-0.369,0.617,-1.604,0.735,0.01,0.011,4090.096,2696.71,1.002
u0_raw[5],-0.597,0.67,-1.85,0.693,0.01,0.013,4321.475,2696.074,1.001
u0_raw[6],0.181,0.687,-1.035,1.521,0.011,0.012,3735.496,2793.3,1.001
u0_raw[7],-0.493,0.696,-1.864,0.811,0.011,0.013,4392.209,2716.901,1.0
u0_raw[8],0.404,0.679,-0.835,1.676,0.01,0.013,4343.454,2814.359,1.003
u0_raw[9],-0.152,0.691,-1.402,1.19,0.011,0.014,3856.511,2732.759,1.002
u_slope_raw_gpt2_surprisal[0],-1.232,0.719,-2.546,0.205,0.012,0.015,3750.225,2032.462,1.0
u_slope_raw_gpt2_surprisal[1],0.341,0.696,-0.897,1.703,0.011,0.012,3983.791,2895.731,1.0
u_slope_raw_gpt2_surprisal[2],0.241,0.688,-1.004,1.594,0.011,0.013,4104.537,2786.815,1.002
u_slope_raw_gpt2_surprisal[3],0.9,0.731,-0.593,2.208,0.013,0.014,3433.298,2049.227,1.002
u_slope_raw_gpt2_surprisal[4],-0.873,0.69,-2.196,0.385,0.011,0.014,4135.088,2647.812,1.006
u_slope_raw_gpt2_surprisal[5],-0.048,0.7,-1.406,1.219,0.01,0.012,4442.642,2950.778,1.001
u_slope_raw_gpt2_surprisal[6],0.586,0.696,-0.713,1.888,0.012,0.012,3586.887,3025.504,1.001
u_slope_raw_gpt2_surprisal[7],0.077,0.728,-1.257,1.49,0.011,0.014,4367.455,2597.492,1.002
u_slope_raw_gpt2_surprisal[8],-0.401,0.681,-1.667,0.888,0.011,0.014,4070.561,2234.814,1.003
u_slope_raw_gpt2_surprisal[9],0.539,0.694,-0.806,1.837,0.011,0.012,3760.135,2306.927,1.005
sigma_u0,0.031,0.014,0.005,0.058,0.0,0.0,1220.968,1409.261,1.001
sigma_slope_gpt2_surprisal,0.028,0.013,0.004,0.053,0.0,0.0,914.917,661.661,1.006
sigma_eps,0.713,0.005,0.704,0.722,0.0,0.0,7084.169,2795.943,1.002
u0[0],0.026,0.021,-0.01,0.064,0.0,0.0,2629.451,2881.501,1.001
u0[1],0.042,0.024,-0.002,0.085,0.001,0.0,1865.628,1916.82,1.0
u0[2],-0.009,0.019,-0.044,0.026,0.0,0.0,3233.66,2814.586,1.001
u0[3],-0.027,0.021,-0.068,0.009,0.0,0.0,2875.783,2562.103,1.0
u0[4],-0.011,0.018,-0.047,0.022,0.0,0.0,3291.667,3243.504,1.001
u0[5],-0.018,0.02,-0.055,0.017,0.0,0.0,3488.496,2788.68,1.001
u0[6],0.006,0.02,-0.031,0.044,0.0,0.0,3226.946,2669.455,1.001
u0[7],-0.015,0.021,-0.055,0.022,0.0,0.0,3553.421,3058.202,1.001
u0[8],0.012,0.02,-0.023,0.051,0.0,0.0,3383.094,2786.989,1.001
u0[9],-0.004,0.02,-0.041,0.033,0.0,0.0,3526.786,2615.562,1.002
u_slope_gpt2_surprisal[0],-0.034,0.021,-0.073,0.003,0.0,0.0,1969.192,1775.843,1.002
u_slope_gpt2_surprisal[1],0.01,0.019,-0.025,0.047,0.0,0.0,3497.934,3167.927,1.001
u_slope_gpt2_surprisal[2],0.007,0.018,-0.028,0.041,0.0,0.0,3759.909,3479.379,1.001
u_slope_gpt2_surprisal[3],0.026,0.022,-0.01,0.068,0.0,0.0,2284.23,2586.777,1.001
u_slope_gpt2_surprisal[4],-0.024,0.02,-0.062,0.009,0.0,0.0,2774.985,3548.057,1.002
u_slope_gpt2_surprisal[5],-0.001,0.018,-0.036,0.035,0.0,0.0,4265.123,3411.627,1.0
u_slope_gpt2_surprisal[6],0.016,0.019,-0.018,0.054,0.0,0.0,2875.771,3390.514,1.001
u_slope_gpt2_surprisal[7],0.002,0.019,-0.033,0.039,0.0,0.0,4399.172,3072.443,0.999
u_slope_gpt2_surprisal[8],-0.011,0.018,-0.046,0.021,0.0,0.0,3373.789,3265.692,1.001
u_slope_gpt2_surprisal[9],0.015,0.019,-0.019,0.051,0.0,0.0,3072.016,2931.049,1.002
