,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,7.021,0.013,6.997,7.046,0.0,0.0,1089.233,982.596,1.001
beta_t5_base_surprisal,-0.049,0.006,-0.059,-0.038,0.0,0.0,3660.065,2990.987,1.0
u0_raw[0],1.367,0.624,0.289,2.631,0.013,0.009,2395.891,2779.747,1.001
u0_raw[1],0.819,0.594,-0.343,1.94,0.012,0.01,2560.832,2937.573,1.001
u0_raw[2],-0.399,0.578,-1.53,0.641,0.012,0.01,2429.852,2758.1,1.002
u0_raw[3],-1.326,0.634,-2.546,-0.191,0.013,0.01,2261.992,2492.473,1.002
u0_raw[4],0.14,0.555,-0.915,1.137,0.01,0.01,2974.375,2906.307,1.0
u0_raw[5],-0.535,0.581,-1.653,0.536,0.011,0.011,2767.75,2375.618,1.003
u0_raw[6],0.433,0.595,-0.671,1.54,0.011,0.009,3005.397,2983.338,1.001
u0_raw[7],-0.647,0.635,-1.82,0.553,0.012,0.012,2991.265,2728.774,1.0
u0_raw[8],0.427,0.561,-0.579,1.576,0.011,0.01,2606.766,3031.721,1.0
u0_raw[9],-0.119,0.601,-1.28,0.967,0.011,0.012,2682.168,2691.559,1.003
sigma_u0,0.034,0.013,0.014,0.058,0.0,0.0,1113.12,1664.497,1.004
sigma_eps,0.731,0.004,0.723,0.739,0.0,0.0,4169.073,2822.659,1.0
u0[0],0.043,0.02,0.004,0.08,0.0,0.0,2157.441,2096.559,1.001
u0[1],0.026,0.019,-0.008,0.066,0.0,0.0,2076.912,2184.775,1.004
u0[2],-0.012,0.018,-0.048,0.021,0.0,0.0,1803.967,2779.99,1.001
u0[3],-0.042,0.021,-0.081,-0.004,0.0,0.0,2068.409,2834.455,1.002
u0[4],0.005,0.018,-0.031,0.036,0.0,0.0,2274.374,2574.117,1.001
u0[5],-0.017,0.018,-0.053,0.016,0.0,0.0,2156.907,2109.536,1.001
u0[6],0.014,0.019,-0.02,0.051,0.0,0.0,2356.427,2392.925,1.0
u0[7],-0.02,0.02,-0.058,0.017,0.0,0.0,2527.825,2462.27,1.001
u0[8],0.014,0.018,-0.018,0.049,0.0,0.0,2055.498,2286.501,1.001
u0[9],-0.004,0.019,-0.039,0.033,0.0,0.0,1951.356,2486.078,1.002
