,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,7.046,0.014,7.021,7.073,0.0,0.0,1780.047,1926.182,1.001
beta_gpt2_surprisal,0.091,0.012,0.067,0.114,0.0,0.0,2326.289,2153.736,1.001
beta_gpt2_entropy_reduction,-0.011,0.007,-0.025,0.002,0.0,0.0,6782.877,3031.504,1.002
beta_log_freq,0.049,0.009,0.031,0.065,0.0,0.0,3852.641,2923.634,1.001
beta_word_length,0.053,0.01,0.035,0.072,0.0,0.0,4039.111,3290.018,1.001
u0_raw[0],0.727,0.661,-0.533,1.97,0.011,0.012,3569.432,2540.675,1.001
u0_raw[1],1.502,0.715,0.135,2.82,0.013,0.013,3021.413,2285.947,1.0
u0_raw[2],-0.05,0.654,-1.281,1.162,0.011,0.012,3547.72,2783.587,1.003
u0_raw[3],-0.932,0.689,-2.272,0.318,0.012,0.014,3505.818,2611.0,1.003
u0_raw[4],-0.349,0.623,-1.516,0.836,0.01,0.012,3645.486,2759.949,1.0
u0_raw[5],-0.686,0.66,-1.946,0.551,0.011,0.011,3628.506,2756.358,1.0
u0_raw[6],0.129,0.647,-1.103,1.327,0.01,0.012,4204.612,2817.148,1.0
u0_raw[7],-0.512,0.69,-1.857,0.709,0.011,0.013,4164.633,2964.472,1.0
u0_raw[8],0.317,0.646,-0.926,1.486,0.01,0.013,3760.327,2691.67,1.003
u0_raw[9],-0.174,0.636,-1.38,1.037,0.011,0.011,3157.51,2762.906,1.001
u_slope_raw_gpt2_surprisal[0],-1.127,0.743,-2.71,0.137,0.012,0.014,4197.793,2675.747,1.003
u_slope_raw_gpt2_surprisal[1],0.396,0.761,-1.106,1.788,0.01,0.013,5350.384,3166.697,1.001
u_slope_raw_gpt2_surprisal[2],0.179,0.712,-1.116,1.582,0.011,0.012,4310.156,2765.786,1.001
u_slope_raw_gpt2_surprisal[3],0.731,0.749,-0.616,2.193,0.011,0.015,4794.807,2828.478,1.002
u_slope_raw_gpt2_surprisal[4],-0.987,0.737,-2.369,0.415,0.012,0.016,3921.1,2484.478,1.0
u_slope_raw_gpt2_surprisal[5],0.017,0.729,-1.362,1.384,0.011,0.013,4582.522,2766.753,1.001
u_slope_raw_gpt2_surprisal[6],0.649,0.76,-0.758,2.108,0.012,0.015,4258.664,2921.409,1.003
u_slope_raw_gpt2_surprisal[7],0.017,0.758,-1.485,1.397,0.011,0.014,4930.773,2777.882,1.001
u_slope_raw_gpt2_surprisal[8],-0.248,0.703,-1.566,1.084,0.011,0.012,4229.259,2939.44,1.001
u_slope_raw_gpt2_surprisal[9],0.461,0.742,-1.011,1.783,0.011,0.015,4354.251,2557.792,1.002
sigma_u0,0.034,0.015,0.007,0.062,0.0,0.0,1212.867,1154.072,1.005
sigma_slope_gpt2_surprisal,0.027,0.013,0.003,0.051,0.0,0.0,1344.276,1592.822,1.004
sigma_eps,0.695,0.005,0.685,0.704,0.0,0.0,6147.161,2985.539,1.001
u0[0],0.024,0.021,-0.015,0.065,0.0,0.0,2605.125,2954.851,1.001
u0[1],0.049,0.026,-0.0,0.096,0.001,0.0,2019.345,1442.684,1.001
u0[2],-0.002,0.021,-0.044,0.035,0.0,0.0,3312.759,2970.375,1.002
u0[3],-0.031,0.023,-0.078,0.009,0.0,0.0,2453.364,3095.345,1.001
u0[4],-0.011,0.02,-0.05,0.024,0.0,0.0,2843.069,2533.519,1.0
u0[5],-0.022,0.022,-0.063,0.017,0.0,0.0,2849.416,2734.095,1.002
u0[6],0.004,0.021,-0.031,0.046,0.0,0.0,3590.114,3063.22,1.001
u0[7],-0.017,0.022,-0.062,0.022,0.0,0.0,3170.889,2948.43,1.001
u0[8],0.01,0.02,-0.028,0.049,0.0,0.0,3026.258,3071.949,1.003
u0[9],-0.006,0.02,-0.046,0.031,0.0,0.0,2690.361,2761.727,1.001
u_slope_gpt2_surprisal[0],-0.03,0.021,-0.07,0.007,0.0,0.0,2221.084,2854.339,1.002
u_slope_gpt2_surprisal[1],0.011,0.019,-0.026,0.048,0.0,0.0,4362.553,3223.746,1.0
u_slope_gpt2_surprisal[2],0.005,0.018,-0.03,0.037,0.0,0.0,4061.102,3175.849,1.001
u_slope_gpt2_surprisal[3],0.02,0.021,-0.016,0.061,0.0,0.0,3203.013,2942.442,1.002
u_slope_gpt2_surprisal[4],-0.026,0.02,-0.062,0.01,0.0,0.0,2599.409,2453.403,1.001
u_slope_gpt2_surprisal[5],0.0,0.018,-0.033,0.037,0.0,0.0,4239.387,3190.345,1.001
u_slope_gpt2_surprisal[6],0.017,0.02,-0.017,0.057,0.0,0.0,3463.165,3267.584,1.001
u_slope_gpt2_surprisal[7],0.0,0.019,-0.034,0.04,0.0,0.0,4751.495,3379.718,1.002
u_slope_gpt2_surprisal[8],-0.006,0.018,-0.042,0.026,0.0,0.0,3600.246,2909.342,1.002
u_slope_gpt2_surprisal[9],0.012,0.019,-0.021,0.05,0.0,0.0,3539.579,2928.126,1.002
