,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,6.866,0.023,6.822,6.908,0.001,0.0,939.614,1514.217,1.003
beta_ngram_surprisal,0.014,0.008,-0.001,0.03,0.0,0.0,5084.925,2567.028,1.0
beta_gpt2_surprisal,0.105,0.01,0.086,0.124,0.0,0.0,2880.85,2409.588,1.001
beta_bert_base_uncased_surprisal,0.069,0.009,0.053,0.086,0.0,0.0,4178.311,2403.993,1.0
beta_t5_base_surprisal,-0.033,0.008,-0.049,-0.017,0.0,0.0,4413.016,2683.989,1.0
beta_gpt2_entropy,0.012,0.009,-0.004,0.028,0.0,0.0,4437.892,3310.558,1.0
beta_bert_base_uncased_entropy,0.098,0.008,0.082,0.113,0.0,0.0,4615.668,3041.938,1.001
beta_t5_base_entropy,0.023,0.008,0.008,0.037,0.0,0.0,6307.653,3108.777,1.001
beta_integration_cost,0.01,0.009,-0.005,0.028,0.0,0.0,3331.568,2468.743,1.002
u0_raw[0],0.47,0.485,-0.398,1.421,0.011,0.008,1961.778,2403.598,1.002
u0_raw[1],1.563,0.578,0.446,2.593,0.013,0.009,1929.584,2487.072,1.002
u0_raw[2],-0.67,0.502,-1.59,0.289,0.013,0.008,1614.409,2712.567,1.002
u0_raw[3],-0.207,0.48,-1.142,0.681,0.011,0.008,1846.066,2276.118,1.0
u0_raw[4],-1.552,0.577,-2.619,-0.498,0.015,0.01,1433.631,1995.994,1.004
u0_raw[5],-0.318,0.487,-1.317,0.523,0.012,0.008,1675.788,2287.458,1.001
u0_raw[6],0.708,0.495,-0.231,1.63,0.012,0.008,1865.404,2593.508,1.002
u0_raw[7],0.293,0.491,-0.59,1.244,0.011,0.008,1874.061,2844.898,1.002
u0_raw[8],-0.436,0.476,-1.367,0.408,0.013,0.008,1395.392,2275.451,1.004
u0_raw[9],0.037,0.495,-0.881,0.954,0.011,0.009,1848.098,2223.584,1.001
u_slope_raw_gpt2_surprisal[0],-0.755,0.906,-2.404,1.014,0.017,0.015,2954.269,2654.543,1.001
u_slope_raw_gpt2_surprisal[1],0.271,0.869,-1.384,1.899,0.013,0.014,4755.546,3392.859,1.002
u_slope_raw_gpt2_surprisal[2],0.18,0.843,-1.469,1.721,0.012,0.014,4938.344,3048.875,1.0
