,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,6.869,0.025,6.82,6.915,0.001,0.001,895.158,1509.695,1.005
beta_gpt2_surprisal,0.112,0.012,0.088,0.133,0.0,0.0,2399.519,2375.128,1.001
beta_gpt2_surprisal_lag1,0.042,0.009,0.025,0.058,0.0,0.0,4146.726,2885.779,1.001
beta_integration_cost,0.006,0.009,-0.011,0.023,0.0,0.0,4585.803,2828.306,1.002
beta_gpt2_entropy_reduction,-0.004,0.009,-0.02,0.012,0.0,0.0,5442.545,3069.449,1.003
beta_log_freq,0.067,0.011,0.047,0.088,0.0,0.0,3507.825,3132.724,1.002
beta_word_length,0.087,0.012,0.065,0.109,0.0,0.0,3006.089,2907.245,1.003
u0_raw[0],0.314,0.481,-0.559,1.262,0.012,0.008,1568.812,2114.575,1.003
u0_raw[1],1.707,0.598,0.622,2.824,0.017,0.009,1274.09,1847.691,1.002
u0_raw[2],-0.44,0.484,-1.308,0.505,0.012,0.009,1515.27,2169.438,1.004
u0_raw[3],-0.194,0.484,-1.047,0.767,0.011,0.009,1783.385,2404.365,1.002
u0_raw[4],-1.582,0.583,-2.762,-0.591,0.016,0.009,1376.949,1887.118,1.004
u0_raw[5],-0.362,0.482,-1.279,0.555,0.012,0.008,1551.202,2314.998,1.002
u0_raw[6],0.531,0.485,-0.295,1.528,0.012,0.008,1681.265,2230.583,1.002
u0_raw[7],0.335,0.495,-0.585,1.238,0.013,0.008,1461.805,2329.2,1.002
u0_raw[8],-0.486,0.48,-1.388,0.417,0.012,0.009,1609.253,2116.144,1.002
u0_raw[9],0.043,0.478,-0.891,0.935,0.013,0.009,1444.809,2407.435,1.003
u_slope_raw_gpt2_surprisal[0],-0.89,0.884,-2.573,0.758,0.017,0.015,2951.5,2375.421,1.001
u_slope_raw_gpt2_surprisal[1],0.416,0.854,-1.27,2.033,0.014,0.016,3623.506,2509.619,1.001
u_slope_raw_gpt2_surprisal[2],0.097,0.83,-1.601,1.55,0.012,0.016,4718.77,2880.962,1.0
u_slope_raw_gpt2_surprisal[3],0.494,0.862,-1.087,2.2,0.014,0.016,3970.04,2418.592,1.0
u_slope_raw_gpt2_surprisal[4],-0.629,0.856,-2.296,0.972,0.014,0.015,3871.898,2513.12,1.003
u_slope_raw_gpt2_surprisal[5],0.123,0.798,-1.335,1.681,0.012,0.014,4092.384,2672.421,1.0
u_slope_raw_gpt2_surprisal[6],0.372,0.849,-1.226,2.021,0.013,0.015,4002.52,2479.852,1.0
u_slope_raw_gpt2_surprisal[7],-0.196,0.819,-1.735,1.324,0.013,0.013,4170.865,2859.013,1.0
u_slope_raw_gpt2_surprisal[8],-0.081,0.811,-1.489,1.53,0.011,0.014,5288.992,2959.649,1.0
u_slope_raw_gpt2_surprisal[9],0.229,0.849,-1.267,1.945,0.013,0.015,4427.737,2900.726,1.001
u_slope_raw_integration_cost[0],-0.022,0.939,-1.682,1.782,0.013,0.016,4948.465,3015.869,1.0
u_slope_raw_integration_cost[1],0.073,0.926,-1.619,1.823,0.014,0.015,4656.713,3278.009,1.0
