,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,7.042,0.012,7.019,7.063,0.0,0.0,2139.195,1842.406,1.001
beta_gpt2_surprisal,0.096,0.012,0.072,0.119,0.0,0.0,2239.121,2299.579,1.001
beta_log_freq,0.042,0.009,0.025,0.058,0.0,0.0,4246.708,2972.262,1.0
beta_word_length,0.043,0.009,0.027,0.061,0.0,0.0,4295.838,2849.533,1.001
u0_raw[0],0.88,0.675,-0.362,2.192,0.012,0.012,3512.155,2797.012,1.001
u0_raw[1],1.401,0.717,0.054,2.758,0.011,0.014,4217.869,2527.68,1.004
u0_raw[2],-0.293,0.662,-1.557,0.944,0.009,0.012,4969.494,2902.523,1.002
u0_raw[3],-0.869,0.706,-2.258,0.4,0.011,0.013,4033.049,2733.107,1.001
u0_raw[4],-0.359,0.652,-1.687,0.815,0.011,0.014,3559.84,2032.43,1.0
u0_raw[5],-0.562,0.686,-1.883,0.703,0.012,0.013,3575.398,2479.591,1.0
u0_raw[6],0.163,0.697,-1.108,1.569,0.01,0.013,4598.8,2795.57,1.0
u0_raw[7],-0.491,0.725,-1.86,0.909,0.011,0.015,4524.927,2294.481,1.0
u0_raw[8],0.4,0.663,-0.801,1.726,0.01,0.012,4681.467,2823.593,1.0
u0_raw[9],-0.152,0.686,-1.471,1.11,0.011,0.013,4229.333,2809.256,1.001
u_slope_raw_gpt2_surprisal[0],-1.302,0.709,-2.698,-0.051,0.013,0.014,3223.498,2369.195,1.0
u_slope_raw_gpt2_surprisal[1],0.363,0.722,-0.975,1.779,0.011,0.014,4505.181,2409.18,1.002
u_slope_raw_gpt2_surprisal[2],0.227,0.687,-1.039,1.485,0.011,0.012,4180.926,3154.122,1.002
u_slope_raw_gpt2_surprisal[3],0.937,0.71,-0.375,2.293,0.011,0.014,3945.179,2399.499,1.0
u_slope_raw_gpt2_surprisal[4],-0.885,0.663,-2.215,0.259,0.011,0.013,3449.123,2909.233,1.0
u_slope_raw_gpt2_surprisal[5],-0.063,0.693,-1.397,1.228,0.011,0.012,4105.14,2476.777,1.0
u_slope_raw_gpt2_surprisal[6],0.592,0.709,-0.781,1.899,0.011,0.013,4421.677,2980.142,1.0
u_slope_raw_gpt2_surprisal[7],0.07,0.693,-1.272,1.351,0.01,0.012,5150.089,2693.185,1.0
u_slope_raw_gpt2_surprisal[8],-0.425,0.676,-1.621,0.89,0.011,0.012,3968.148,2868.128,1.001
u_slope_raw_gpt2_surprisal[9],0.544,0.689,-0.754,1.845,0.011,0.012,4224.816,2925.602,1.001
sigma_u0,0.03,0.013,0.006,0.055,0.0,0.0,1113.762,1205.115,1.002
sigma_slope_gpt2_surprisal,0.029,0.013,0.006,0.055,0.0,0.0,1135.219,1278.678,1.001
sigma_eps,0.713,0.005,0.703,0.721,0.0,0.0,6819.381,2603.206,1.0
u0[0],0.025,0.02,-0.009,0.063,0.0,0.0,2574.238,3062.965,1.0
u0[1],0.041,0.024,-0.003,0.083,0.001,0.0,2017.801,1503.042,1.001
u0[2],-0.008,0.019,-0.046,0.025,0.0,0.0,4110.922,2880.269,1.0
u0[3],-0.025,0.021,-0.067,0.008,0.0,0.0,2792.732,2922.16,1.001
u0[4],-0.01,0.018,-0.045,0.022,0.0,0.0,3429.72,2959.01,1.001
u0[5],-0.016,0.019,-0.054,0.019,0.0,0.0,3193.559,2984.634,1.001
u0[6],0.005,0.019,-0.031,0.04,0.0,0.0,3556.983,2951.29,1.0
u0[7],-0.014,0.02,-0.057,0.021,0.0,0.0,3990.902,2932.616,1.0
u0[8],0.011,0.018,-0.022,0.047,0.0,0.0,3947.909,2979.927,1.002
u0[9],-0.004,0.019,-0.042,0.03,0.0,0.0,4119.518,3124.19,1.0
u_slope_gpt2_surprisal[0],-0.037,0.022,-0.078,0.001,0.0,0.0,2408.27,1724.538,1.0
u_slope_gpt2_surprisal[1],0.01,0.02,-0.029,0.047,0.0,0.0,3680.382,3153.55,1.002
u_slope_gpt2_surprisal[2],0.007,0.019,-0.029,0.044,0.0,0.0,3749.15,3511.74,1.001
u_slope_gpt2_surprisal[3],0.027,0.021,-0.011,0.066,0.0,0.0,2867.062,2840.36,1.001
u_slope_gpt2_surprisal[4],-0.025,0.019,-0.062,0.009,0.0,0.0,2584.674,3134.466,1.0
u_slope_gpt2_surprisal[5],-0.002,0.019,-0.04,0.032,0.0,0.0,3835.022,3089.577,1.001
u_slope_gpt2_surprisal[6],0.017,0.02,-0.018,0.056,0.0,0.0,3308.643,3221.154,1.0
u_slope_gpt2_surprisal[7],0.002,0.019,-0.034,0.039,0.0,0.0,4584.325,3087.597,1.0
u_slope_gpt2_surprisal[8],-0.012,0.019,-0.047,0.022,0.0,0.0,3391.585,3215.369,1.0
u_slope_gpt2_surprisal[9],0.015,0.019,-0.018,0.056,0.0,0.0,3527.924,2860.191,1.001
