,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,7.046,0.014,7.018,7.07,0.0,0.0,1965.918,1667.386,1.004
beta_gpt2_surprisal,0.092,0.012,0.068,0.114,0.0,0.0,2189.062,2184.545,1.0
beta_gpt2_surprisal_lag1,0.034,0.007,0.021,0.047,0.0,0.0,6531.127,2838.959,1.004
beta_log_freq,0.05,0.009,0.031,0.067,0.0,0.0,3917.993,2997.174,1.0
beta_word_length,0.056,0.01,0.037,0.074,0.0,0.0,3756.377,3520.814,1.0
u0_raw[0],0.709,0.651,-0.544,1.948,0.011,0.013,3844.121,2506.393,1.002
u0_raw[1],1.544,0.701,0.24,2.822,0.012,0.013,3393.023,2240.609,1.0
u0_raw[2],-0.056,0.648,-1.249,1.152,0.01,0.015,4215.545,2606.227,1.0
u0_raw[3],-0.878,0.696,-2.202,0.435,0.012,0.014,3576.221,2614.639,1.001
u0_raw[4],-0.344,0.627,-1.559,0.852,0.011,0.011,3438.451,2330.929,1.001
u0_raw[5],-0.669,0.656,-1.961,0.515,0.011,0.011,3420.879,2812.347,1.001
u0_raw[6],0.142,0.663,-1.166,1.304,0.011,0.013,3988.133,2353.097,1.001
u0_raw[7],-0.496,0.686,-1.681,0.908,0.01,0.012,4844.63,3103.613,1.0
u0_raw[8],0.295,0.636,-0.855,1.499,0.012,0.013,3044.145,2275.586,1.003
u0_raw[9],-0.174,0.65,-1.417,1.01,0.011,0.012,3849.151,2786.359,1.001
u_slope_raw_gpt2_surprisal[0],-1.124,0.743,-2.531,0.259,0.014,0.015,3159.206,1829.112,1.001
u_slope_raw_gpt2_surprisal[1],0.4,0.757,-0.939,1.952,0.012,0.013,4058.769,3019.747,1.0
u_slope_raw_gpt2_surprisal[2],0.208,0.728,-1.131,1.633,0.011,0.014,4623.065,2706.642,1.0
u_slope_raw_gpt2_surprisal[3],0.738,0.794,-0.862,2.15,0.014,0.017,3465.333,2010.543,1.004
u_slope_raw_gpt2_surprisal[4],-0.985,0.723,-2.318,0.388,0.012,0.013,3596.056,2483.384,1.0
u_slope_raw_gpt2_surprisal[5],-0.007,0.738,-1.395,1.363,0.01,0.014,5206.278,3007.637,1.001
u_slope_raw_gpt2_surprisal[6],0.607,0.767,-0.861,2.027,0.012,0.015,4200.776,2519.251,1.001
u_slope_raw_gpt2_surprisal[7],0.043,0.762,-1.289,1.535,0.011,0.013,4861.319,2619.145,1.001
u_slope_raw_gpt2_surprisal[8],-0.236,0.701,-1.509,1.131,0.011,0.013,4141.226,2854.182,1.003
u_slope_raw_gpt2_surprisal[9],0.47,0.746,-0.971,1.838,0.011,0.013,4460.961,3085.273,1.001
sigma_u0,0.034,0.015,0.01,0.064,0.0,0.0,1011.702,1228.224,1.001
sigma_slope_gpt2_surprisal,0.026,0.014,0.001,0.05,0.0,0.0,953.33,742.569,1.004
sigma_eps,0.694,0.005,0.685,0.704,0.0,0.0,5749.595,2758.086,1.004
u0[0],0.023,0.021,-0.014,0.064,0.0,0.0,2979.53,2861.888,1.001
u0[1],0.051,0.027,0.0,0.098,0.001,0.0,1919.883,1172.954,1.001
u0[2],-0.002,0.02,-0.039,0.038,0.0,0.0,4083.723,2916.984,1.0
u0[3],-0.029,0.023,-0.072,0.015,0.0,0.0,2812.284,3049.831,1.001
u0[4],-0.011,0.02,-0.051,0.025,0.0,0.0,3372.732,3077.008,1.001
u0[5],-0.022,0.022,-0.063,0.017,0.0,0.0,3065.164,3159.584,1.001
u0[6],0.005,0.021,-0.038,0.043,0.0,0.0,4113.365,3302.343,1.001
u0[7],-0.016,0.022,-0.059,0.025,0.0,0.0,4054.283,3397.978,1.0
u0[8],0.01,0.02,-0.03,0.047,0.0,0.0,2891.465,2394.788,1.003
u0[9],-0.006,0.02,-0.044,0.034,0.0,0.0,3653.988,2562.7,1.0
u_slope_gpt2_surprisal[0],-0.03,0.022,-0.069,0.008,0.001,0.0,1660.338,2229.565,1.002
u_slope_gpt2_surprisal[1],0.011,0.019,-0.026,0.048,0.0,0.0,3357.414,3057.053,1.002
u_slope_gpt2_surprisal[2],0.006,0.018,-0.028,0.041,0.0,0.0,3732.478,2679.27,1.001
u_slope_gpt2_surprisal[3],0.02,0.021,-0.016,0.06,0.0,0.0,2256.068,3217.794,1.001
u_slope_gpt2_surprisal[4],-0.026,0.02,-0.067,0.005,0.0,0.0,1951.08,2895.825,1.001
u_slope_gpt2_surprisal[5],0.0,0.018,-0.034,0.037,0.0,0.0,4638.082,2831.926,1.001
u_slope_gpt2_surprisal[6],0.016,0.02,-0.019,0.056,0.0,0.0,2461.156,3112.04,1.001
u_slope_gpt2_surprisal[7],0.001,0.019,-0.039,0.035,0.0,0.0,4291.231,2838.96,1.001
u_slope_gpt2_surprisal[8],-0.006,0.017,-0.04,0.027,0.0,0.0,3329.48,2903.719,1.0
u_slope_gpt2_surprisal[9],0.013,0.019,-0.023,0.049,0.0,0.0,2788.555,3063.877,1.001
