,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,7.018,0.012,6.996,7.042,0.0,0.0,1763.037,1903.913,1.003
beta_bert_base_uncased_surprisal,0.084,0.006,0.072,0.094,0.0,0.0,4640.414,2550.924,1.001
beta_bert_base_uncased_entropy,0.101,0.006,0.091,0.111,0.0,0.0,5265.787,2756.691,1.002
u0_raw[0],1.264,0.627,0.151,2.557,0.013,0.012,2350.261,2353.119,1.001
u0_raw[1],0.93,0.615,-0.142,2.187,0.011,0.011,3348.996,2539.647,1.001
u0_raw[2],-0.391,0.584,-1.484,0.727,0.009,0.011,4069.703,2573.482,1.001
u0_raw[3],-1.296,0.632,-2.521,-0.112,0.011,0.011,3063.225,2637.963,1.001
u0_raw[4],-0.034,0.563,-1.021,1.086,0.01,0.009,3366.468,2940.174,1.001
u0_raw[5],-0.599,0.595,-1.753,0.499,0.01,0.01,3578.417,2985.824,1.002
u0_raw[6],0.532,0.593,-0.557,1.664,0.01,0.011,3669.896,2828.823,1.002
u0_raw[7],-0.607,0.634,-1.9,0.519,0.01,0.013,3810.318,2539.623,1.001
u0_raw[8],0.257,0.565,-0.821,1.285,0.01,0.009,3106.072,2686.989,1.0
u0_raw[9],-0.115,0.609,-1.203,1.097,0.01,0.012,3716.324,2844.119,1.0
sigma_u0,0.032,0.013,0.012,0.058,0.0,0.0,1025.585,1438.189,1.002
sigma_eps,0.721,0.004,0.713,0.728,0.0,0.0,5356.999,2809.347,1.001
u0[0],0.039,0.02,0.002,0.075,0.0,0.0,2449.462,1840.818,1.002
u0[1],0.029,0.019,-0.007,0.065,0.0,0.0,2771.145,2847.962,1.002
u0[2],-0.012,0.018,-0.043,0.024,0.0,0.0,3189.714,2570.3,1.001
u0[3],-0.04,0.02,-0.076,-0.001,0.0,0.0,2215.847,1778.866,1.001
u0[4],-0.001,0.017,-0.032,0.033,0.0,0.0,2651.405,2874.875,1.002
u0[5],-0.018,0.018,-0.054,0.013,0.0,0.0,2877.515,2342.245,1.001
u0[6],0.016,0.018,-0.017,0.051,0.0,0.0,3074.153,3300.976,1.002
u0[7],-0.019,0.019,-0.057,0.016,0.0,0.0,3009.984,2898.12,1.001
u0[8],0.008,0.017,-0.024,0.04,0.0,0.0,2634.088,2639.244,1.0
u0[9],-0.004,0.018,-0.036,0.032,0.0,0.0,2931.412,2698.27,1.001
