,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,7.043,0.012,7.02,7.066,0.0,0.0,1955.248,1882.613,1.003
beta_gpt2_surprisal,0.101,0.012,0.078,0.122,0.0,0.0,2069.959,2113.654,1.001
beta_gpt2_entropy,0.025,0.007,0.012,0.037,0.0,0.0,6822.51,2981.487,1.001
u0_raw[0],0.863,0.671,-0.439,2.085,0.012,0.013,3373.003,2877.333,1.001
u0_raw[1],1.344,0.729,-0.003,2.707,0.013,0.016,3352.551,1639.641,1.003
u0_raw[2],-0.304,0.678,-1.713,0.913,0.011,0.014,3851.823,2233.445,1.001
u0_raw[3],-0.889,0.684,-2.167,0.4,0.011,0.011,3660.697,3069.461,1.001
u0_raw[4],-0.376,0.669,-1.598,0.907,0.011,0.014,3555.569,2484.26,1.003
u0_raw[5],-0.61,0.669,-1.832,0.669,0.011,0.012,4135.773,2896.968,1.002
u0_raw[6],0.182,0.674,-1.087,1.429,0.011,0.012,4077.46,2880.968,1.002
u0_raw[7],-0.498,0.686,-1.782,0.824,0.011,0.013,3643.616,2802.459,1.003
u0_raw[8],0.404,0.646,-0.747,1.658,0.01,0.014,4119.238,2988.792,1.001
u0_raw[9],-0.132,0.689,-1.364,1.236,0.011,0.013,3926.369,2639.161,1.0
u_slope_raw_gpt2_surprisal[0],-1.234,0.739,-2.647,0.145,0.015,0.018,2724.85,1505.561,1.001
u_slope_raw_gpt2_surprisal[1],0.336,0.719,-0.898,1.829,0.012,0.014,3738.532,2538.426,1.002
u_slope_raw_gpt2_surprisal[2],0.242,0.682,-1.034,1.559,0.011,0.014,4024.17,2728.835,1.002
u_slope_raw_gpt2_surprisal[3],0.893,0.727,-0.41,2.359,0.012,0.016,3616.211,1778.604,1.001
u_slope_raw_gpt2_surprisal[4],-0.885,0.703,-2.114,0.508,0.012,0.013,3740.616,2660.821,1.002
u_slope_raw_gpt2_surprisal[5],-0.083,0.692,-1.313,1.272,0.01,0.013,4387.192,2451.565,1.002
u_slope_raw_gpt2_surprisal[6],0.586,0.699,-0.786,1.851,0.011,0.013,3901.892,2328.388,1.0
u_slope_raw_gpt2_surprisal[7],0.044,0.718,-1.347,1.383,0.011,0.013,4003.055,2594.295,1.0
u_slope_raw_gpt2_surprisal[8],-0.429,0.685,-1.728,0.842,0.011,0.014,4052.864,2833.644,1.0
u_slope_raw_gpt2_surprisal[9],0.513,0.711,-0.765,1.874,0.012,0.015,3624.351,2159.239,1.003
sigma_u0,0.031,0.014,0.003,0.055,0.0,0.0,1017.899,786.287,1.005
sigma_slope_gpt2_surprisal,0.028,0.014,0.003,0.053,0.0,0.0,851.289,665.886,1.004
sigma_eps,0.713,0.005,0.704,0.722,0.0,0.0,7449.991,2903.726,1.001
u0[0],0.026,0.02,-0.009,0.066,0.0,0.0,2418.679,3298.911,1.0
u0[1],0.04,0.024,-0.002,0.084,0.001,0.0,1972.385,1248.195,1.002
u0[2],-0.009,0.019,-0.047,0.027,0.0,0.0,3527.108,3077.088,1.001
u0[3],-0.027,0.022,-0.07,0.009,0.0,0.0,2273.818,3016.196,1.001
u0[4],-0.011,0.018,-0.047,0.023,0.0,0.0,3259.72,3083.411,1.002
u0[5],-0.018,0.02,-0.058,0.016,0.0,0.0,3321.281,3218.097,1.0
u0[6],0.006,0.02,-0.03,0.045,0.0,0.0,3665.138,2973.515,1.001
u0[7],-0.015,0.02,-0.052,0.023,0.0,0.0,3486.558,3397.881,1.001
u0[8],0.012,0.018,-0.022,0.047,0.0,0.0,3124.861,2988.2,1.002
u0[9],-0.004,0.019,-0.043,0.029,0.0,0.0,3523.818,2992.298,1.0
u_slope_gpt2_surprisal[0],-0.034,0.022,-0.072,0.005,0.001,0.0,1704.702,976.151,1.001
u_slope_gpt2_surprisal[1],0.009,0.019,-0.027,0.045,0.0,0.0,3541.041,2993.259,1.0
u_slope_gpt2_surprisal[2],0.007,0.018,-0.026,0.042,0.0,0.0,3489.115,3262.834,1.001
u_slope_gpt2_surprisal[3],0.025,0.021,-0.011,0.066,0.0,0.0,2471.34,2739.332,1.001
u_slope_gpt2_surprisal[4],-0.024,0.019,-0.061,0.008,0.0,0.0,2213.162,3213.091,1.002
u_slope_gpt2_surprisal[5],-0.002,0.018,-0.037,0.032,0.0,0.0,4157.001,2411.254,1.001
u_slope_gpt2_surprisal[6],0.017,0.019,-0.016,0.056,0.0,0.0,3232.4,3153.037,1.0
u_slope_gpt2_surprisal[7],0.001,0.019,-0.035,0.038,0.0,0.0,4121.044,3389.972,1.001
u_slope_gpt2_surprisal[8],-0.012,0.018,-0.048,0.019,0.0,0.0,3476.276,3037.083,1.0
u_slope_gpt2_surprisal[9],0.014,0.019,-0.021,0.05,0.0,0.0,3160.821,3392.673,1.001
