,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,7.023,0.012,7.0,7.044,0.0,0.0,1676.145,2215.709,1.001
beta_t5_base_surprisal,-0.049,0.006,-0.06,-0.038,0.0,0.0,4605.477,2578.378,1.0
beta_t5_base_entropy,0.027,0.005,0.017,0.037,0.0,0.0,5005.675,2713.367,1.003
u0_raw[0],1.312,0.606,0.172,2.424,0.011,0.01,2764.986,2733.485,1.001
u0_raw[1],0.786,0.615,-0.336,1.921,0.011,0.012,3181.148,2285.156,1.0
u0_raw[2],-0.428,0.56,-1.499,0.619,0.01,0.01,3210.589,3088.655,1.0
u0_raw[3],-1.344,0.603,-2.538,-0.258,0.01,0.009,3322.604,3033.873,1.0
u0_raw[4],0.119,0.535,-0.927,1.084,0.009,0.009,3299.744,2843.651,1.003
u0_raw[5],-0.561,0.583,-1.698,0.519,0.01,0.01,3437.494,2916.478,1.0
u0_raw[6],0.409,0.582,-0.715,1.447,0.01,0.01,3483.531,2626.589,1.001
u0_raw[7],-0.705,0.617,-1.84,0.42,0.01,0.011,3746.461,2991.998,1.001
u0_raw[8],0.372,0.55,-0.67,1.404,0.009,0.01,3496.495,2548.511,1.0
u0_raw[9],-0.151,0.588,-1.283,0.955,0.009,0.01,4110.613,3117.817,1.003
sigma_u0,0.034,0.012,0.013,0.056,0.0,0.0,1233.589,1832.873,1.003
sigma_eps,0.731,0.004,0.723,0.738,0.0,0.0,4682.322,2551.975,1.0
u0[0],0.041,0.019,0.007,0.079,0.0,0.0,2424.885,2818.03,1.0
u0[1],0.025,0.02,-0.009,0.065,0.0,0.0,2883.565,2706.859,1.0
u0[2],-0.014,0.018,-0.048,0.019,0.0,0.0,2710.215,2755.555,1.0
u0[3],-0.043,0.02,-0.081,-0.006,0.0,0.0,2559.629,2623.505,1.0
u0[4],0.004,0.017,-0.028,0.035,0.0,0.0,2863.133,2740.5,1.002
u0[5],-0.018,0.019,-0.052,0.019,0.0,0.0,2977.631,2688.356,1.001
u0[6],0.013,0.019,-0.02,0.049,0.0,0.0,2888.383,2850.225,1.001
u0[7],-0.022,0.02,-0.059,0.014,0.0,0.0,3050.063,2818.93,1.0
u0[8],0.011,0.017,-0.021,0.043,0.0,0.0,2939.012,3140.418,1.0
u0[9],-0.005,0.018,-0.041,0.029,0.0,0.0,3388.645,2942.081,1.001
