,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,6.865,0.022,6.823,6.908,0.001,0.0,996.14,1847.435,1.007
beta_gpt2_surprisal,0.13,0.011,0.11,0.15,0.0,0.0,2606.952,2310.996,1.001
beta_integration_cost,0.019,0.009,0.002,0.037,0.0,0.0,3708.504,2288.192,1.002
u0_raw[0],0.526,0.484,-0.388,1.425,0.012,0.007,1662.002,2645.18,1.004
u0_raw[1],1.592,0.572,0.536,2.668,0.015,0.008,1493.67,2325.71,1.003
u0_raw[2],-0.62,0.486,-1.531,0.293,0.011,0.008,1864.377,2395.165,1.002
u0_raw[3],-0.231,0.513,-1.142,0.794,0.012,0.009,1837.736,2514.515,1.002
u0_raw[4],-1.521,0.571,-2.597,-0.531,0.015,0.009,1522.847,2308.477,1.003
u0_raw[5],-0.333,0.495,-1.281,0.585,0.011,0.008,1881.499,2505.761,1.001
u0_raw[6],0.642,0.496,-0.293,1.566,0.012,0.007,1655.4,2380.141,1.003
u0_raw[7],0.29,0.509,-0.643,1.261,0.012,0.008,1688.553,2595.39,1.005
u0_raw[8],-0.337,0.489,-1.318,0.539,0.011,0.008,1816.589,2373.769,1.002
u0_raw[9],0.037,0.472,-0.812,0.963,0.011,0.007,1987.612,2754.076,1.003
u_slope_raw_gpt2_surprisal[0],-0.862,0.883,-2.484,0.808,0.016,0.015,3124.939,3024.777,1.001
u_slope_raw_gpt2_surprisal[1],0.317,0.852,-1.263,1.911,0.013,0.014,4147.363,3166.257,1.001
u_slope_raw_gpt2_surprisal[2],0.184,0.829,-1.411,1.719,0.013,0.015,4388.018,2642.414,1.002
u_slope_raw_gpt2_surprisal[3],0.579,0.896,-1.114,2.293,0.013,0.016,4616.969,3030.276,1.001
u_slope_raw_gpt2_surprisal[4],-0.494,0.84,-2.109,1.074,0.012,0.016,4767.806,2892.241,1.0
u_slope_raw_gpt2_surprisal[5],-0.004,0.826,-1.589,1.51,0.012,0.014,4601.496,2705.975,1.002
u_slope_raw_gpt2_surprisal[6],0.37,0.839,-1.234,1.981,0.013,0.015,4095.818,2900.114,1.001
u_slope_raw_gpt2_surprisal[7],-0.052,0.858,-1.69,1.504,0.013,0.015,4658.669,2762.234,1.001
u_slope_raw_gpt2_surprisal[8],-0.269,0.854,-1.947,1.272,0.013,0.015,4457.404,2720.349,1.0
u_slope_raw_gpt2_surprisal[9],0.229,0.848,-1.279,1.878,0.012,0.014,4985.648,2890.594,1.001
u_slope_raw_integration_cost[0],0.048,0.921,-1.643,1.774,0.013,0.015,4928.065,2878.221,1.0
u_slope_raw_integration_cost[1],0.002,0.893,-1.669,1.609,0.013,0.015,4672.49,2948.4,1.0
u_slope_raw_integration_cost[2],0.214,0.922,-1.508,1.893,0.014,0.016,4413.374,3116.316,1.002
u_slope_raw_integration_cost[3],0.217,0.917,-1.449,1.939,0.013,0.013,4644.446,3556.429,1.0
u_slope_raw_integration_cost[4],-0.325,0.926,-1.911,1.551,0.014,0.015,4106.53,2730.685,1.001
u_slope_raw_integration_cost[5],0.133,0.94,-1.591,1.949,0.014,0.016,4668.283,2964.354,1.003
u_slope_raw_integration_cost[6],-0.269,0.945,-2.055,1.487,0.013,0.015,5053.11,3084.83,1.001
u_slope_raw_integration_cost[7],-0.179,0.926,-1.856,1.666,0.014,0.016,4143.73,2616.943,1.001
u_slope_raw_integration_cost[8],0.088,0.925,-1.752,1.738,0.012,0.016,5537.533,2913.484,1.001
u_slope_raw_integration_cost[9],-0.006,0.927,-1.81,1.691,0.014,0.014,4534.565,3267.714,1.002
sigma_u0,0.065,0.02,0.032,0.103,0.001,0.0,1237.014,2060.603,1.002
sigma_slope_gpt2_surprisal,0.019,0.013,0.0,0.04,0.0,0.0,1374.859,1779.136,1.003
sigma_slope_integration_cost,0.011,0.009,0.0,0.026,0.0,0.0,1618.641,1550.364,1.003
sigma_eps,0.715,0.006,0.704,0.726,0.0,0.0,5627.462,3089.962,1.002
u0[0],0.032,0.03,-0.023,0.088,0.001,0.0,1673.651,2879.007,1.006
u0[1],0.098,0.032,0.038,0.158,0.001,0.0,1542.387,2635.344,1.004
u0[2],-0.038,0.03,-0.095,0.02,0.001,0.0,1642.464,2429.343,1.003
