model,predictor,mean,hdi_2.5,hdi_97.5,sig
baseline,ngram_surprisal,0.0012,-0.0029,0.005,False
deep_gpt2,gpt2_surprisal,-0.0025,-0.0064,0.0014,False
deep_bert,bert_base_uncased_surprisal,0.0005,-0.0034,0.0045,False
deep_t5,t5_base_surprisal,-0.0055,-0.0093,-0.0015,True
surprisal_vs_ic,gpt2_surprisal,-0.0034,-0.0081,0.0019,False
surprisal_vs_ic,integration_cost,0.0026,-0.0015,0.0069,False
surprisal_vs_entropy_gpt2,gpt2_surprisal,-0.0006,-0.0049,0.0037,False
surprisal_vs_entropy_gpt2,gpt2_entropy,-0.0068,-0.0108,-0.0027,True
surprisal_vs_entropy_bert,bert_base_uncased_surprisal,0.001,-0.0035,0.0053,False
surprisal_vs_entropy_bert,bert_base_uncased_entropy,-0.001,-0.0052,0.0032,False
surprisal_vs_entropy_t5,t5_base_surprisal,-0.0059,-0.0097,-0.0022,True
surprisal_vs_entropy_t5,t5_base_entropy,-0.0057,-0.0095,-0.0018,True
full,ngram_surprisal,-0.0016,-0.0054,0.0022,False
full,gpt2_surprisal,-0.0019,-0.0069,0.0033,False
full,bert_base_uncased_surprisal,0.0005,-0.004,0.0049,False
full,t5_base_surprisal,-0.0154,-0.0193,-0.0114,True
full,gpt2_entropy,-0.005,-0.0091,-0.0009,True
full,bert_base_uncased_entropy,0.004,-0.0003,0.0084,False
full,t5_base_entropy,-0.0057,-0.0095,-0.002,True
full,integration_cost,0.0024,-0.0018,0.0064,False
