,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.484,0.028,5.435,5.54,0.001,0.001,408.417,634.594,1.009
beta_ngram_surprisal,0.001,0.002,-0.003,0.005,0.0,0.0,1554.144,1316.975,1.002
u0_raw[0],0.406,0.251,-0.046,0.897,0.012,0.007,439.796,756.976,1.009
u0_raw[1],0.486,0.257,0.011,0.977,0.012,0.007,468.866,802.969,1.011
u0_raw[2],0.914,0.292,0.377,1.468,0.013,0.008,478.003,803.297,1.012
u0_raw[3],0.407,0.251,-0.049,0.9,0.012,0.007,452.3,717.923,1.011
u0_raw[4],-1.27,0.323,-1.872,-0.67,0.016,0.008,414.468,688.086,1.007
u0_raw[5],1.336,0.34,0.715,1.963,0.015,0.01,501.072,792.229,1.013
u0_raw[6],-0.144,0.24,-0.591,0.293,0.012,0.007,415.97,672.999,1.009
u0_raw[7],-0.509,0.254,-0.994,-0.054,0.013,0.007,400.475,598.62,1.009
u0_raw[8],-1.076,0.301,-1.619,-0.499,0.015,0.008,404.197,553.962,1.008
u0_raw[9],-0.979,0.293,-1.552,-0.456,0.015,0.008,407.993,600.017,1.008
u0_raw[10],-1.539,0.358,-2.201,-0.875,0.018,0.009,422.746,670.977,1.007
u0_raw[11],0.44,0.255,-0.027,0.911,0.012,0.007,463.326,776.053,1.009
u0_raw[12],0.213,0.243,-0.233,0.663,0.012,0.007,432.464,634.182,1.009
u0_raw[13],-0.379,0.248,-0.861,0.062,0.012,0.007,405.091,653.111,1.009
u0_raw[14],1.378,0.345,0.729,1.995,0.016,0.01,490.28,747.204,1.012
u0_raw[15],-0.564,0.255,-1.052,-0.107,0.013,0.007,407.92,683.26,1.01
u0_raw[16],1.629,0.379,0.909,2.314,0.017,0.011,499.895,703.647,1.012
u0_raw[17],-0.97,0.292,-1.516,-0.421,0.015,0.008,400.322,613.459,1.009
sigma_u0,0.122,0.024,0.082,0.167,0.001,0.001,514.568,859.739,1.002
sigma_eps,0.436,0.001,0.433,0.438,0.0,0.0,1475.598,1910.761,1.001
u0[0],0.048,0.029,-0.007,0.103,0.001,0.001,427.16,747.1,1.009
u0[1],0.057,0.029,0.002,0.112,0.001,0.001,451.278,780.224,1.008
u0[2],0.108,0.029,0.054,0.163,0.001,0.001,428.717,721.602,1.009
u0[3],0.048,0.029,-0.006,0.104,0.001,0.001,439.002,717.923,1.008
u0[4],-0.15,0.029,-0.203,-0.093,0.001,0.001,446.061,798.708,1.008
u0[5],0.157,0.029,0.104,0.212,0.001,0.001,438.554,698.916,1.008
u0[6],-0.017,0.029,-0.077,0.033,0.001,0.001,442.958,729.252,1.008
u0[7],-0.06,0.029,-0.117,-0.008,0.001,0.001,439.322,777.986,1.007
u0[8],-0.127,0.029,-0.183,-0.074,0.001,0.001,437.855,756.752,1.008
u0[9],-0.116,0.029,-0.167,-0.057,0.001,0.001,446.384,734.974,1.007
u0[10],-0.182,0.029,-0.239,-0.128,0.001,0.001,446.321,726.009,1.007
u0[11],0.052,0.029,-0.002,0.107,0.001,0.001,448.899,731.047,1.008
u0[12],0.025,0.029,-0.03,0.079,0.001,0.001,435.815,683.214,1.008
u0[13],-0.045,0.029,-0.102,0.007,0.001,0.001,446.499,804.891,1.008
u0[14],0.162,0.029,0.105,0.214,0.001,0.001,427.975,730.728,1.009
u0[15],-0.067,0.029,-0.117,-0.007,0.001,0.001,453.135,803.237,1.008
u0[16],0.192,0.029,0.141,0.248,0.001,0.001,424.896,689.983,1.009
u0[17],-0.115,0.029,-0.17,-0.06,0.001,0.001,445.042,748.383,1.008
