,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.484,0.027,5.428,5.531,0.001,0.001,454.133,612.192,1.006
beta_log_freq,0.0,0.003,-0.005,0.006,0.0,0.0,1565.299,1737.407,1.002
beta_word_length,0.006,0.003,-0.0,0.011,0.0,0.0,1566.69,1723.749,1.005
u0_raw[0],0.403,0.243,-0.018,0.888,0.011,0.007,504.033,723.348,1.006
u0_raw[1],0.48,0.249,0.023,0.955,0.011,0.007,521.027,719.17,1.005
u0_raw[2],0.91,0.282,0.369,1.445,0.012,0.007,539.33,837.077,1.007
u0_raw[3],0.405,0.245,-0.021,0.893,0.011,0.007,515.267,724.252,1.005
u0_raw[4],-1.265,0.334,-1.887,-0.646,0.017,0.011,372.723,583.585,1.012
u0_raw[5],1.33,0.334,0.681,1.948,0.014,0.008,554.147,867.584,1.008
u0_raw[6],-0.145,0.238,-0.602,0.289,0.011,0.007,441.082,666.268,1.005
u0_raw[7],-0.506,0.254,-0.952,-0.019,0.013,0.008,398.03,601.048,1.009
u0_raw[8],-1.072,0.311,-1.684,-0.522,0.016,0.01,376.647,588.436,1.011
u0_raw[9],-0.977,0.301,-1.531,-0.414,0.015,0.009,387.976,784.109,1.01
u0_raw[10],-1.533,0.373,-2.284,-0.887,0.019,0.012,369.966,631.368,1.013
u0_raw[11],0.439,0.248,-0.04,0.898,0.011,0.006,526.97,764.323,1.006
u0_raw[12],0.211,0.233,-0.208,0.662,0.011,0.006,483.857,738.583,1.005
u0_raw[13],-0.379,0.249,-0.829,0.097,0.012,0.007,425.089,704.891,1.006
u0_raw[14],1.372,0.338,0.717,1.989,0.015,0.008,542.656,845.223,1.009
u0_raw[15],-0.563,0.26,-1.041,-0.081,0.013,0.008,394.503,567.711,1.01
u0_raw[16],1.623,0.373,0.861,2.27,0.016,0.009,540.386,842.411,1.01
u0_raw[17],-0.965,0.3,-1.512,-0.404,0.015,0.009,387.097,630.132,1.011
sigma_u0,0.123,0.026,0.084,0.17,0.001,0.002,401.193,615.652,1.014
sigma_eps,0.436,0.001,0.433,0.438,0.0,0.0,1574.878,1674.971,1.005
u0[0],0.048,0.028,-0.001,0.105,0.001,0.001,476.369,721.53,1.006
u0[1],0.057,0.029,0.005,0.112,0.001,0.001,486.779,698.04,1.005
u0[2],0.108,0.028,0.058,0.164,0.001,0.001,479.083,759.892,1.005
u0[3],0.048,0.029,-0.003,0.105,0.001,0.001,490.056,725.629,1.005
u0[4],-0.15,0.028,-0.202,-0.093,0.001,0.001,481.007,709.864,1.006
u0[5],0.158,0.028,0.106,0.213,0.001,0.001,490.51,726.078,1.005
u0[6],-0.017,0.029,-0.067,0.042,0.001,0.001,490.47,720.906,1.005
u0[7],-0.06,0.028,-0.11,-0.003,0.001,0.001,482.183,763.138,1.006
u0[8],-0.127,0.028,-0.179,-0.073,0.001,0.001,483.275,695.814,1.006
u0[9],-0.116,0.029,-0.168,-0.06,0.001,0.001,507.705,724.599,1.004
u0[10],-0.181,0.029,-0.23,-0.123,0.001,0.001,491.283,719.139,1.006
u0[11],0.052,0.029,0.003,0.111,0.001,0.001,499.63,767.262,1.005
u0[12],0.025,0.028,-0.022,0.084,0.001,0.001,484.234,775.174,1.005
u0[13],-0.045,0.029,-0.1,0.008,0.001,0.001,499.219,700.819,1.005
u0[14],0.163,0.028,0.111,0.219,0.001,0.001,488.522,707.949,1.005
u0[15],-0.067,0.029,-0.118,-0.012,0.001,0.001,480.454,748.16,1.006
u0[16],0.192,0.028,0.139,0.246,0.001,0.001,479.11,676.285,1.006
u0[17],-0.114,0.029,-0.164,-0.057,0.001,0.001,502.702,754.768,1.006
