,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.486,0.028,5.439,5.541,0.001,0.001,351.614,526.763,1.009
beta_bert_base_uncased_surprisal,0.001,0.002,-0.003,0.004,0.0,0.0,1620.347,1746.279,1.001
u0_raw[0],0.447,0.248,-0.048,0.889,0.013,0.009,345.392,475.668,1.007
u0_raw[1],0.472,0.252,-0.007,0.933,0.014,0.01,339.051,470.913,1.007
u0_raw[2],0.916,0.282,0.389,1.432,0.016,0.01,326.431,631.059,1.004
u0_raw[3],0.361,0.245,-0.128,0.789,0.013,0.009,336.583,612.528,1.007
u0_raw[4],-1.332,0.314,-1.933,-0.785,0.016,0.008,382.297,799.117,1.008
u0_raw[5],1.329,0.326,0.729,1.93,0.018,0.011,318.858,610.897,1.006
u0_raw[6],-0.22,0.239,-0.674,0.207,0.012,0.008,393.764,582.651,1.004
u0_raw[7],-0.497,0.246,-0.954,-0.039,0.012,0.007,401.526,628.404,1.005
u0_raw[8],-1.025,0.282,-1.561,-0.518,0.014,0.007,402.458,751.321,1.007
u0_raw[9],-1.016,0.285,-1.559,-0.505,0.014,0.007,394.413,801.788,1.007
u0_raw[10],-1.53,0.339,-2.152,-0.903,0.018,0.008,356.876,929.519,1.009
u0_raw[11],0.488,0.255,0.013,0.965,0.014,0.009,359.133,598.841,1.005
u0_raw[12],0.258,0.24,-0.188,0.71,0.013,0.009,346.405,548.349,1.008
u0_raw[13],-0.527,0.25,-1.005,-0.075,0.012,0.007,407.019,611.261,1.005
u0_raw[14],1.285,0.321,0.681,1.875,0.018,0.011,325.484,616.164,1.004
u0_raw[15],-0.604,0.253,-1.062,-0.127,0.012,0.007,424.339,615.629,1.005
u0_raw[16],1.593,0.356,0.903,2.221,0.02,0.011,315.274,670.041,1.005
u0_raw[17],-0.995,0.282,-1.493,-0.449,0.014,0.007,395.561,730.322,1.007
sigma_u0,0.12,0.022,0.085,0.161,0.001,0.001,308.447,883.632,1.008
sigma_eps,0.435,0.001,0.433,0.438,0.0,0.0,1728.347,2013.767,1.002
u0[0],0.052,0.029,-0.004,0.104,0.001,0.001,377.893,463.745,1.007
u0[1],0.055,0.029,-0.001,0.105,0.002,0.001,369.162,466.862,1.008
u0[2],0.107,0.028,0.053,0.156,0.001,0.001,371.378,645.182,1.006
u0[3],0.042,0.029,-0.016,0.092,0.002,0.001,368.734,580.392,1.006
u0[4],-0.156,0.029,-0.208,-0.103,0.001,0.001,384.354,666.012,1.006
u0[5],0.155,0.029,0.099,0.204,0.001,0.001,384.853,546.851,1.005
u0[6],-0.026,0.029,-0.082,0.025,0.001,0.001,381.98,580.65,1.005
u0[7],-0.058,0.029,-0.115,-0.009,0.002,0.001,370.648,533.083,1.006
u0[8],-0.12,0.029,-0.177,-0.071,0.001,0.001,374.032,576.629,1.005
u0[9],-0.119,0.029,-0.173,-0.064,0.002,0.001,380.509,581.983,1.006
u0[10],-0.179,0.029,-0.232,-0.123,0.002,0.001,368.95,599.313,1.006
u0[11],0.057,0.029,0.0,0.108,0.002,0.001,375.501,604.017,1.006
u0[12],0.03,0.029,-0.025,0.081,0.002,0.001,369.6,567.042,1.008
u0[13],-0.062,0.029,-0.117,-0.009,0.001,0.001,390.128,610.567,1.005
u0[14],0.15,0.029,0.095,0.201,0.001,0.001,380.265,611.776,1.008
u0[15],-0.071,0.029,-0.127,-0.02,0.001,0.001,394.183,640.435,1.004
u0[16],0.186,0.028,0.132,0.237,0.001,0.001,366.593,601.233,1.006
u0[17],-0.117,0.029,-0.17,-0.064,0.001,0.001,386.777,547.892,1.008
