,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.478,0.029,5.424,5.533,0.001,0.001,409.601,825.087,1.005
beta_gpt2_surprisal,-0.002,0.002,-0.006,0.001,0.0,0.0,7592.022,3174.32,1.0
u0_raw[0],0.509,0.263,0.003,0.992,0.012,0.007,443.794,908.671,1.003
u0_raw[1],0.534,0.266,0.057,1.057,0.013,0.007,446.286,903.875,1.002
u0_raw[2],0.78,0.283,0.275,1.327,0.013,0.007,476.237,977.031,1.002
u0_raw[3],0.364,0.253,-0.131,0.821,0.012,0.006,425.335,910.479,1.003
u0_raw[4],-1.343,0.333,-1.967,-0.723,0.014,0.008,576.619,1020.63,1.005
u0_raw[5],1.356,0.348,0.719,2.013,0.015,0.008,542.158,1053.967,1.002
u0_raw[6],-0.015,0.245,-0.464,0.452,0.012,0.006,427.008,851.398,1.005
u0_raw[7],-0.556,0.259,-1.026,-0.048,0.012,0.007,461.386,881.133,1.005
u0_raw[8],-1.003,0.295,-1.587,-0.466,0.013,0.008,524.394,954.931,1.005
u0_raw[9],-0.948,0.294,-1.513,-0.402,0.013,0.008,528.925,974.385,1.006
u0_raw[10],-1.463,0.348,-2.101,-0.815,0.014,0.009,615.847,965.64,1.005
u0_raw[11],0.458,0.263,-0.055,0.927,0.012,0.006,461.096,919.496,1.002
u0_raw[12],0.305,0.252,-0.188,0.767,0.012,0.006,437.791,869.493,1.004
u0_raw[13],-0.467,0.257,-0.949,0.016,0.012,0.007,469.127,870.466,1.005
u0_raw[14],1.248,0.333,0.648,1.903,0.015,0.008,528.991,1069.694,1.002
u0_raw[15],-0.573,0.262,-1.097,-0.101,0.012,0.007,468.639,924.914,1.005
u0_raw[16],1.753,0.4,0.996,2.505,0.016,0.009,602.437,1174.956,1.002
u0_raw[17],-0.879,0.288,-1.399,-0.318,0.013,0.008,533.176,1018.273,1.004
u_slope_raw_gpt2_surprisal[0],0.104,0.956,-1.638,1.952,0.01,0.018,8466.24,2854.391,1.002
u_slope_raw_gpt2_surprisal[1],0.076,0.973,-1.754,1.878,0.011,0.018,7748.052,2814.658,1.002
