,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.483,0.027,5.432,5.538,0.002,0.001,311.005,496.469,1.016
beta_t5_base_surprisal,-0.006,0.002,-0.009,-0.001,0.0,0.0,1843.232,1547.6,1.003
u0_raw[0],0.481,0.253,0.024,0.953,0.013,0.006,393.752,727.724,1.006
u0_raw[1],0.504,0.256,0.045,1.018,0.013,0.006,390.302,824.259,1.006
u0_raw[2],0.951,0.291,0.408,1.501,0.014,0.007,427.406,884.014,1.002
u0_raw[3],0.392,0.25,-0.055,0.891,0.013,0.007,390.398,724.523,1.008
u0_raw[4],-1.312,0.331,-1.94,-0.683,0.019,0.009,313.982,562.298,1.005
u0_raw[5],1.367,0.339,0.742,2.013,0.016,0.009,438.612,820.954,1.003
u0_raw[6],-0.192,0.241,-0.656,0.244,0.014,0.007,302.859,597.139,1.016
u0_raw[7],-0.474,0.25,-0.934,0.003,0.014,0.007,314.907,552.136,1.014
u0_raw[8],-1.009,0.296,-1.564,-0.45,0.017,0.008,308.319,596.201,1.006
u0_raw[9],-0.995,0.297,-1.597,-0.47,0.017,0.008,315.082,715.445,1.007
u0_raw[10],-1.512,0.357,-2.155,-0.814,0.02,0.01,326.549,661.645,1.006
u0_raw[11],0.519,0.259,0.044,1.0,0.013,0.007,403.909,809.512,1.004
u0_raw[12],0.289,0.244,-0.163,0.747,0.013,0.007,367.001,852.193,1.008
u0_raw[13],-0.503,0.257,-0.976,-0.002,0.015,0.008,316.601,598.004,1.011
u0_raw[14],1.324,0.333,0.711,1.956,0.016,0.009,434.31,858.581,1.002
u0_raw[15],-0.58,0.26,-1.084,-0.092,0.015,0.008,313.074,495.965,1.013
u0_raw[16],1.634,0.373,0.934,2.322,0.018,0.01,432.991,839.884,1.003
u0_raw[17],-0.976,0.294,-1.535,-0.436,0.017,0.008,309.963,646.835,1.009
sigma_u0,0.12,0.022,0.082,0.162,0.001,0.001,399.704,802.387,1.012
sigma_eps,0.435,0.001,0.433,0.438,0.0,0.0,1639.46,1663.582,1.002
u0[0],0.056,0.028,-0.0,0.107,0.002,0.001,329.31,579.86,1.012
u0[1],0.058,0.029,0.005,0.114,0.002,0.001,329.741,526.255,1.011
u0[2],0.11,0.028,0.056,0.163,0.002,0.001,345.085,590.861,1.013
u0[3],0.045,0.029,-0.013,0.096,0.002,0.001,344.52,550.209,1.011
u0[4],-0.152,0.029,-0.211,-0.101,0.002,0.001,340.451,654.98,1.011
u0[5],0.158,0.028,0.105,0.213,0.002,0.001,356.962,658.487,1.012
u0[6],-0.022,0.029,-0.077,0.031,0.002,0.001,331.974,550.693,1.013
u0[7],-0.055,0.028,-0.107,0.0,0.002,0.001,340.268,565.051,1.012
u0[8],-0.117,0.029,-0.174,-0.065,0.002,0.001,332.142,487.336,1.012
u0[9],-0.115,0.029,-0.173,-0.065,0.002,0.001,334.534,641.824,1.012
u0[10],-0.175,0.029,-0.23,-0.118,0.002,0.001,356.098,628.238,1.01
u0[11],0.06,0.029,0.005,0.114,0.002,0.001,330.978,637.117,1.011
u0[12],0.033,0.029,-0.023,0.086,0.002,0.001,341.93,625.331,1.013
u0[13],-0.058,0.029,-0.112,-0.003,0.002,0.001,341.994,591.393,1.009
u0[14],0.153,0.028,0.098,0.207,0.002,0.001,345.719,568.168,1.015
u0[15],-0.067,0.029,-0.119,-0.009,0.002,0.001,341.606,537.818,1.011
u0[16],0.189,0.028,0.132,0.24,0.002,0.001,340.689,565.99,1.012
u0[17],-0.113,0.029,-0.17,-0.061,0.002,0.001,322.879,500.713,1.013
