,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.48,0.03,5.424,5.535,0.001,0.001,440.408,759.975,1.009
beta_gpt2_surprisal,-0.003,0.002,-0.007,0.002,0.0,0.0,5112.842,3138.627,1.003
beta_gpt2_entropy_reduction,-0.004,0.002,-0.007,0.0,0.0,0.0,8995.617,2989.583,1.001
beta_log_freq,0.002,0.003,-0.004,0.008,0.0,0.0,3948.245,2661.13,1.0
beta_word_length,0.005,0.003,-0.001,0.011,0.0,0.0,4178.268,2738.309,1.0
u0_raw[0],0.599,0.257,0.133,1.091,0.012,0.005,456.366,837.944,1.011
u0_raw[1],0.552,0.254,0.061,1.004,0.012,0.005,450.614,1020.038,1.012
u0_raw[2],0.856,0.277,0.364,1.39,0.013,0.006,463.627,908.858,1.011
u0_raw[3],0.379,0.244,-0.096,0.805,0.011,0.005,469.754,839.104,1.01
u0_raw[4],-1.374,0.353,-1.998,-0.695,0.014,0.007,611.769,1120.538,1.005
u0_raw[5],1.333,0.33,0.728,1.947,0.016,0.007,445.03,1234.721,1.009
u0_raw[6],0.094,0.239,-0.336,0.565,0.011,0.005,468.047,915.879,1.011
u0_raw[7],-0.385,0.251,-0.854,0.075,0.011,0.006,499.759,985.029,1.006
u0_raw[8],-1.093,0.318,-1.703,-0.519,0.013,0.007,587.177,1205.941,1.005
u0_raw[9],-0.955,0.303,-1.523,-0.401,0.013,0.006,561.751,1249.875,1.005
u0_raw[10],-1.431,0.36,-2.1,-0.775,0.015,0.007,611.009,1212.051,1.006
u0_raw[11],0.365,0.247,-0.104,0.82,0.011,0.005,487.768,990.688,1.011
u0_raw[12],0.316,0.243,-0.137,0.776,0.011,0.005,468.216,828.049,1.011
u0_raw[13],-0.504,0.263,-0.985,0.005,0.012,0.006,511.863,1134.354,1.007
u0_raw[14],1.263,0.321,0.673,1.863,0.015,0.007,457.591,1204.962,1.01
u0_raw[15],-0.535,0.263,-1.009,-0.031,0.012,0.006,514.289,991.061,1.007
u0_raw[16],1.619,0.368,0.935,2.298,0.017,0.008,477.031,1306.914,1.009
u0_raw[17],-0.989,0.308,-1.558,-0.404,0.013,0.006,568.565,1030.921,1.004
u_slope_raw_gpt2_surprisal[0],0.158,0.917,-1.544,1.857,0.011,0.018,6666.065,3023.301,1.0
u_slope_raw_gpt2_surprisal[1],0.45,0.94,-1.338,2.165,0.011,0.016,7825.105,3094.184,1.001
u_slope_raw_gpt2_surprisal[2],-0.482,0.943,-2.214,1.321,0.012,0.017,6708.941,2739.897,1.002
u_slope_raw_gpt2_surprisal[3],-0.23,0.904,-1.888,1.481,0.011,0.016,7005.077,2691.694,1.0
u_slope_raw_gpt2_surprisal[4],0.072,0.934,-1.7,1.793,0.009,0.017,9898.289,2647.486,1.001
u_slope_raw_gpt2_surprisal[5],-0.397,0.921,-2.174,1.281,0.011,0.016,7536.912,3224.005,1.001
u_slope_raw_gpt2_surprisal[6],0.359,0.932,-1.522,2.008,0.012,0.017,6420.263,3050.889,1.003
u_slope_raw_gpt2_surprisal[7],0.111,0.899,-1.668,1.687,0.01,0.017,7982.539,2546.228,1.001
u_slope_raw_gpt2_surprisal[8],-0.022,0.908,-1.729,1.696,0.01,0.018,8103.15,2677.081,1.0
u_slope_raw_gpt2_surprisal[9],0.12,0.906,-1.637,1.745,0.011,0.016,7223.701,2736.53,1.002
u_slope_raw_gpt2_surprisal[10],-0.476,0.963,-2.285,1.299,0.013,0.016,5812.096,2879.483,1.0
u_slope_raw_gpt2_surprisal[11],0.238,0.934,-1.461,2.041,0.011,0.016,6747.855,2443.428,1.0
u_slope_raw_gpt2_surprisal[12],-0.191,0.927,-1.836,1.673,0.011,0.019,7247.749,2643.454,1.001
u_slope_raw_gpt2_surprisal[13],0.09,0.937,-1.63,1.874,0.01,0.017,8061.818,2770.763,1.002
u_slope_raw_gpt2_surprisal[14],0.055,0.882,-1.556,1.786,0.01,0.016,8399.467,2826.896,1.004
u_slope_raw_gpt2_surprisal[15],0.417,0.952,-1.308,2.285,0.011,0.017,7075.86,2690.333,1.002
u_slope_raw_gpt2_surprisal[16],-0.396,0.889,-1.996,1.284,0.011,0.016,6544.962,2961.35,1.001
u_slope_raw_gpt2_surprisal[17],0.181,0.923,-1.645,1.843,0.01,0.017,8898.511,3022.374,1.002
sigma_u0,0.127,0.025,0.085,0.172,0.001,0.001,774.525,1320.102,1.003
sigma_slope_gpt2_surprisal,0.004,0.003,0.0,0.008,0.0,0.0,1823.816,1962.846,1.003
sigma_eps,0.435,0.001,0.433,0.438,0.0,0.0,8330.955,2390.917,1.0
u0[0],0.074,0.03,0.018,0.131,0.001,0.001,461.183,818.886,1.009
u0[1],0.068,0.031,0.01,0.125,0.001,0.001,460.651,962.309,1.01
u0[2],0.106,0.03,0.048,0.162,0.001,0.001,462.231,803.998,1.01
u0[3],0.047,0.03,-0.011,0.101,0.001,0.001,463.638,840.996,1.008
u0[4],-0.169,0.031,-0.226,-0.111,0.001,0.001,469.807,844.745,1.008
u0[5],0.164,0.031,0.105,0.22,0.001,0.001,464.793,943.224,1.008
u0[6],0.012,0.031,-0.043,0.072,0.001,0.001,458.792,853.766,1.01
u0[7],-0.047,0.03,-0.103,0.011,0.001,0.001,465.094,903.962,1.007
u0[8],-0.134,0.031,-0.191,-0.075,0.001,0.001,466.206,872.018,1.009
u0[9],-0.117,0.031,-0.17,-0.055,0.001,0.001,457.92,904.53,1.01
u0[10],-0.176,0.031,-0.234,-0.119,0.001,0.001,461.953,821.166,1.01
u0[11],0.045,0.031,-0.017,0.101,0.001,0.001,478.757,965.859,1.009
u0[12],0.039,0.031,-0.023,0.093,0.001,0.001,463.042,823.01,1.009
u0[13],-0.062,0.031,-0.124,-0.008,0.001,0.001,461.781,808.488,1.009
u0[14],0.156,0.03,0.101,0.214,0.001,0.001,462.978,908.353,1.008
u0[15],-0.065,0.031,-0.123,-0.007,0.001,0.001,462.788,879.895,1.007
u0[16],0.199,0.03,0.141,0.252,0.001,0.001,455.378,973.187,1.009
u0[17],-0.121,0.031,-0.177,-0.06,0.001,0.001,473.284,835.679,1.008
u_slope_gpt2_surprisal[0],0.001,0.004,-0.006,0.008,0.0,0.0,5549.424,3383.485,1.001
u_slope_gpt2_surprisal[1],0.002,0.004,-0.004,0.011,0.0,0.0,4688.845,2983.97,1.002
u_slope_gpt2_surprisal[2],-0.002,0.004,-0.011,0.004,0.0,0.0,4313.671,3390.879,1.001
u_slope_gpt2_surprisal[3],-0.001,0.004,-0.009,0.005,0.0,0.0,5197.406,3373.616,1.0
u_slope_gpt2_surprisal[4],0.0,0.004,-0.006,0.008,0.0,0.0,7234.176,3378.338,1.003
u_slope_gpt2_surprisal[5],-0.002,0.004,-0.01,0.004,0.0,0.0,4934.459,3270.24,1.0
u_slope_gpt2_surprisal[6],0.002,0.004,-0.005,0.01,0.0,0.0,4752.449,3389.282,1.001
