,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.48,0.028,5.427,5.532,0.001,0.001,390.642,734.602,1.004
beta_ngram_surprisal,-0.002,0.002,-0.005,0.002,0.0,0.0,9361.481,2801.496,1.001
beta_gpt2_surprisal,-0.002,0.003,-0.007,0.003,0.0,0.0,4960.802,3276.091,1.002
beta_bert_base_uncased_surprisal,0.001,0.002,-0.004,0.005,0.0,0.0,6013.572,3445.909,1.0
beta_t5_base_surprisal,-0.015,0.002,-0.019,-0.011,0.0,0.0,6982.876,3144.479,1.002
beta_gpt2_entropy,-0.005,0.002,-0.009,-0.001,0.0,0.0,6244.812,2377.495,1.001
beta_bert_base_uncased_entropy,0.004,0.002,-0.0,0.008,0.0,0.0,5974.597,2943.661,1.0
beta_t5_base_entropy,-0.006,0.002,-0.009,-0.002,0.0,0.0,9438.07,2744.755,1.0
beta_integration_cost,0.002,0.002,-0.002,0.006,0.0,0.0,6566.901,3188.932,1.002
u0_raw[0],0.495,0.251,0.039,0.972,0.012,0.005,435.436,1154.065,1.004
u0_raw[1],0.457,0.25,-0.032,0.903,0.012,0.005,441.132,1161.499,1.004
u0_raw[2],0.788,0.271,0.289,1.296,0.013,0.005,450.862,1186.353,1.005
u0_raw[3],0.323,0.244,-0.151,0.756,0.012,0.005,425.89,1063.143,1.004
u0_raw[4],-1.416,0.344,-2.069,-0.779,0.015,0.008,521.54,1016.5,1.01
u0_raw[5],1.236,0.317,0.674,1.868,0.014,0.006,494.086,1080.147,1.006
u0_raw[6],-0.052,0.236,-0.483,0.394,0.011,0.005,425.063,936.104,1.004
u0_raw[7],-0.498,0.253,-0.97,-0.025,0.012,0.006,448.539,867.389,1.005
u0_raw[8],-0.98,0.29,-1.54,-0.444,0.013,0.007,489.157,957.303,1.008
u0_raw[9],-0.993,0.297,-1.555,-0.451,0.013,0.007,485.316,810.161,1.008
u0_raw[10],-1.501,0.356,-2.18,-0.836,0.015,0.008,545.765,939.266,1.009
