,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.484,0.028,5.43,5.536,0.002,0.001,349.569,807.636,1.016
beta_gpt2_surprisal,-0.003,0.002,-0.007,0.001,0.0,0.0,7106.185,3134.005,1.003
beta_gpt2_surprisal_lag1,-0.004,0.002,-0.007,0.0,0.0,0.0,9044.277,2986.225,1.002
beta_integration_cost,0.002,0.003,-0.003,0.007,0.0,0.0,3784.941,2982.667,1.0
beta_gpt2_entropy_reduction,-0.001,0.002,-0.005,0.003,0.0,0.0,9086.258,3240.257,1.002
beta_log_freq,-0.004,0.003,-0.009,0.002,0.0,0.0,3925.512,3275.685,1.001
beta_word_length,0.002,0.003,-0.004,0.007,0.0,0.0,4076.616,3000.623,1.002
u0_raw[0],0.434,0.242,-0.025,0.886,0.012,0.006,388.235,932.507,1.012
u0_raw[1],0.581,0.255,0.125,1.081,0.013,0.006,401.253,943.895,1.012
u0_raw[2],0.773,0.266,0.294,1.294,0.013,0.006,441.945,942.522,1.011
u0_raw[3],0.309,0.238,-0.121,0.76,0.012,0.006,369.93,860.884,1.013
u0_raw[4],-1.332,0.331,-1.928,-0.688,0.016,0.007,447.68,917.211,1.015
u0_raw[5],1.33,0.327,0.756,1.984,0.014,0.007,534.77,988.899,1.008
u0_raw[6],-0.078,0.234,-0.503,0.374,0.012,0.006,373.88,939.242,1.017
u0_raw[7],-0.463,0.246,-0.906,0.004,0.013,0.006,348.121,885.569,1.021
u0_raw[8],-1.012,0.293,-1.538,-0.443,0.015,0.007,389.273,952.259,1.018
u0_raw[9],-0.96,0.293,-1.519,-0.412,0.014,0.007,417.413,887.779,1.017
u0_raw[10],-1.609,0.369,-2.296,-0.913,0.017,0.008,471.254,970.826,1.015
u0_raw[11],0.494,0.248,0.038,0.967,0.012,0.006,394.012,1020.586,1.012
u0_raw[12],0.388,0.241,-0.061,0.846,0.012,0.006,388.031,918.436,1.013
u0_raw[13],-0.527,0.253,-0.962,-0.028,0.013,0.006,396.468,1027.023,1.017
u0_raw[14],1.273,0.32,0.688,1.881,0.014,0.007,516.4,1001.046,1.008
u0_raw[15],-0.548,0.253,-1.023,-0.073,0.013,0.006,384.631,1015.94,1.016
u0_raw[16],1.529,0.354,0.915,2.224,0.015,0.008,532.071,1024.919,1.008
u0_raw[17],-0.992,0.292,-1.504,-0.402,0.014,0.007,423.396,892.067,1.016
u_slope_raw_gpt2_surprisal[0],0.005,0.955,-1.864,1.782,0.01,0.019,8920.093,2449.61,1.0
u_slope_raw_gpt2_surprisal[1],-0.014,0.966,-1.795,1.867,0.011,0.017,7690.618,3168.835,1.002
u_slope_raw_gpt2_surprisal[2],0.269,0.953,-1.42,2.186,0.011,0.018,7134.463,2787.095,1.001
u_slope_raw_gpt2_surprisal[3],-0.413,0.934,-2.189,1.314,0.012,0.015,6532.033,3217.158,1.0
u_slope_raw_gpt2_surprisal[4],-0.199,0.94,-1.899,1.619,0.01,0.018,8107.726,2890.091,1.003
u_slope_raw_gpt2_surprisal[5],-0.334,0.941,-2.115,1.401,0.011,0.016,7239.218,3220.417,1.0
u_slope_raw_gpt2_surprisal[6],0.211,0.975,-1.687,1.934,0.011,0.017,7206.776,2865.088,1.001
u_slope_raw_gpt2_surprisal[7],0.056,0.945,-1.785,1.747,0.01,0.017,8889.381,3054.087,1.0
u_slope_raw_gpt2_surprisal[8],0.047,0.94,-1.752,1.746,0.011,0.018,7421.733,2572.849,1.004
u_slope_raw_gpt2_surprisal[9],-0.019,0.937,-1.813,1.684,0.01,0.017,9051.987,3232.251,1.001
u_slope_raw_gpt2_surprisal[10],-0.359,0.995,-2.121,1.662,0.012,0.017,6823.172,2913.906,1.0
u_slope_raw_gpt2_surprisal[11],0.138,0.947,-1.646,1.875,0.011,0.016,7880.987,2643.833,1.003
u_slope_raw_gpt2_surprisal[12],-0.119,0.93,-1.857,1.616,0.01,0.017,9105.491,2831.123,1.0
u_slope_raw_gpt2_surprisal[13],0.099,0.973,-1.671,1.885,0.011,0.017,8078.902,2612.895,1.002
u_slope_raw_gpt2_surprisal[14],0.235,0.973,-1.644,1.987,0.012,0.018,7033.765,2437.647,1.006
u_slope_raw_gpt2_surprisal[15],0.317,0.982,-1.626,2.04,0.013,0.018,5963.225,2591.95,1.001
u_slope_raw_gpt2_surprisal[16],-0.117,0.92,-1.816,1.648,0.011,0.015,7037.264,3157.073,1.0
u_slope_raw_gpt2_surprisal[17],0.22,0.954,-1.432,2.184,0.011,0.016,7642.338,3231.895,1.0
