,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.477,0.029,5.419,5.532,0.001,0.001,430.775,948.605,1.008
beta_gpt2_surprisal,-0.003,0.002,-0.007,0.0,0.0,0.0,8232.513,3217.692,1.001
beta_log_freq,-0.006,0.003,-0.012,-0.001,0.0,0.0,4644.434,3380.287,1.0
beta_word_length,0.001,0.003,-0.005,0.007,0.0,0.0,4814.972,3064.333,0.999
u0_raw[0],0.52,0.263,0.009,0.987,0.013,0.007,428.554,819.832,1.008
u0_raw[1],0.544,0.265,0.009,1.019,0.013,0.006,430.348,852.274,1.007
u0_raw[2],0.796,0.285,0.289,1.36,0.013,0.007,464.001,868.945,1.007
u0_raw[3],0.375,0.254,-0.095,0.851,0.012,0.006,435.486,716.346,1.006
u0_raw[4],-1.342,0.335,-1.995,-0.732,0.014,0.006,586.491,1278.733,1.013
u0_raw[5],1.37,0.353,0.698,2.011,0.015,0.008,550.807,1162.215,1.009
u0_raw[6],-0.006,0.246,-0.47,0.452,0.012,0.006,453.562,754.108,1.007
u0_raw[7],-0.551,0.259,-1.047,-0.064,0.012,0.006,474.868,917.9,1.01
u0_raw[8],-0.999,0.295,-1.541,-0.437,0.013,0.006,542.822,1238.967,1.012
u0_raw[9],-0.943,0.292,-1.484,-0.396,0.012,0.006,556.157,1042.325,1.011
u0_raw[10],-1.46,0.349,-2.124,-0.831,0.014,0.006,609.265,1238.445,1.013
u0_raw[11],0.468,0.264,-0.031,0.954,0.012,0.006,456.936,848.424,1.007
u0_raw[12],0.31,0.25,-0.155,0.781,0.012,0.006,433.028,722.264,1.006
u0_raw[13],-0.462,0.255,-0.949,0.019,0.012,0.006,476.827,952.396,1.009
u0_raw[14],1.26,0.337,0.609,1.87,0.015,0.007,524.8,1062.723,1.008
u0_raw[15],-0.571,0.261,-1.069,-0.069,0.012,0.006,484.744,926.667,1.01
u0_raw[16],1.769,0.409,1.011,2.517,0.017,0.009,569.317,1226.998,1.011
u0_raw[17],-0.879,0.287,-1.383,-0.306,0.012,0.006,533.834,1063.792,1.01
u_slope_raw_gpt2_surprisal[0],0.09,0.946,-1.597,1.977,0.01,0.017,9308.757,2859.176,1.001
u_slope_raw_gpt2_surprisal[1],0.086,0.944,-1.675,1.825,0.01,0.016,9600.887,3027.499,1.002
u_slope_raw_gpt2_surprisal[2],-0.151,0.944,-1.881,1.677,0.01,0.017,8138.269,2817.478,1.0
u_slope_raw_gpt2_surprisal[3],-0.189,0.981,-2.069,1.602,0.011,0.019,7766.661,2791.088,0.999
u_slope_raw_gpt2_surprisal[4],0.164,0.96,-1.683,1.941,0.011,0.019,7416.383,2820.629,1.0
u_slope_raw_gpt2_surprisal[5],-0.098,0.938,-1.816,1.698,0.01,0.016,8999.89,2725.838,1.0
u_slope_raw_gpt2_surprisal[6],0.248,0.971,-1.611,2.05,0.01,0.017,8904.787,2995.099,1.0
u_slope_raw_gpt2_surprisal[7],0.064,0.928,-1.719,1.766,0.011,0.017,7817.606,3122.491,1.003
u_slope_raw_gpt2_surprisal[8],0.268,0.963,-1.468,2.126,0.01,0.016,8882.652,2438.433,1.002
u_slope_raw_gpt2_surprisal[9],-0.05,0.967,-1.76,1.906,0.011,0.02,8212.527,2452.017,1.002
u_slope_raw_gpt2_surprisal[10],-0.244,0.97,-2.05,1.586,0.01,0.017,8713.476,2827.192,1.002
u_slope_raw_gpt2_surprisal[11],-0.013,0.949,-1.758,1.807,0.01,0.017,8938.663,3032.167,1.003
u_slope_raw_gpt2_surprisal[12],0.093,0.967,-1.817,1.825,0.011,0.019,7870.838,2705.921,1.0
u_slope_raw_gpt2_surprisal[13],-0.045,0.952,-1.839,1.743,0.01,0.018,8240.943,2630.576,1.002
u_slope_raw_gpt2_surprisal[14],-0.007,0.937,-1.685,1.867,0.01,0.017,8607.816,2822.114,1.002
u_slope_raw_gpt2_surprisal[15],0.121,0.942,-1.648,1.906,0.01,0.018,8555.654,2951.645,1.001
u_slope_raw_gpt2_surprisal[16],-0.261,0.954,-2.066,1.552,0.011,0.017,6981.426,2755.661,1.0
u_slope_raw_gpt2_surprisal[17],-0.063,0.96,-1.937,1.696,0.011,0.018,7857.153,2854.313,1.0
sigma_u0,0.122,0.024,0.081,0.165,0.001,0.001,780.219,1446.253,1.014
sigma_slope_gpt2_surprisal,0.002,0.002,0.0,0.006,0.0,0.0,2717.203,2111.565,1.0
sigma_eps,0.434,0.001,0.431,0.436,0.0,0.0,9167.258,2959.611,1.001
u0[0],0.061,0.03,0.006,0.118,0.001,0.001,430.301,924.995,1.008
