,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.481,0.029,5.426,5.534,0.001,0.001,512.288,1021.161,1.009
beta_gpt2_surprisal,-0.002,0.002,-0.006,0.002,0.0,0.0,6348.166,3209.065,1.001
beta_gpt2_surprisal_lag1,0.002,0.002,-0.002,0.005,0.0,0.0,6716.737,2882.865,1.0
beta_log_freq,0.002,0.003,-0.004,0.008,0.0,0.0,4495.946,2892.955,1.002
beta_word_length,0.005,0.003,-0.001,0.011,0.0,0.0,4162.048,3250.942,1.001
u0_raw[0],0.596,0.26,0.118,1.075,0.011,0.006,549.071,1080.767,1.003
u0_raw[1],0.55,0.258,0.085,1.03,0.011,0.006,553.556,1027.992,1.003
u0_raw[2],0.852,0.28,0.34,1.35,0.012,0.006,561.585,1074.588,1.001
u0_raw[3],0.377,0.246,-0.09,0.811,0.01,0.006,547.15,1060.003,1.005
u0_raw[4],-1.38,0.337,-2.07,-0.791,0.014,0.007,587.472,1254.632,1.015
u0_raw[5],1.334,0.334,0.711,1.937,0.014,0.006,577.227,1242.887,1.0
u0_raw[6],0.092,0.24,-0.329,0.56,0.01,0.006,545.143,1089.479,1.007
u0_raw[7],-0.387,0.246,-0.841,0.075,0.01,0.006,566.122,1076.655,1.012
u0_raw[8],-1.099,0.304,-1.677,-0.548,0.013,0.007,575.956,1251.637,1.015
u0_raw[9],-0.963,0.293,-1.543,-0.455,0.012,0.006,573.138,1256.419,1.015
u0_raw[10],-1.439,0.345,-2.112,-0.815,0.014,0.007,594.666,1281.132,1.015
u0_raw[11],0.363,0.248,-0.088,0.816,0.011,0.006,530.036,1029.682,1.004
u0_raw[12],0.317,0.24,-0.132,0.747,0.01,0.006,543.239,1011.534,1.004
u0_raw[13],-0.507,0.253,-0.966,-0.021,0.011,0.006,561.575,1038.458,1.013
u0_raw[14],1.259,0.324,0.661,1.849,0.013,0.006,595.317,1116.425,1.001
u0_raw[15],-0.536,0.255,-1.031,-0.068,0.01,0.006,592.679,1210.727,1.013
u0_raw[16],1.618,0.369,0.952,2.301,0.015,0.007,608.789,1180.007,1.001
u0_raw[17],-0.995,0.293,-1.528,-0.425,0.012,0.007,586.128,1145.932,1.016
u_slope_raw_gpt2_surprisal[0],0.147,0.909,-1.501,1.936,0.01,0.021,8003.433,2313.249,1.002
u_slope_raw_gpt2_surprisal[1],0.459,0.948,-1.439,2.108,0.012,0.017,6629.007,2883.65,1.003
u_slope_raw_gpt2_surprisal[2],-0.464,0.921,-2.199,1.217,0.012,0.015,6264.89,3112.244,1.0
u_slope_raw_gpt2_surprisal[3],-0.267,0.895,-1.905,1.478,0.012,0.017,6052.688,2934.073,1.001
u_slope_raw_gpt2_surprisal[4],0.074,0.892,-1.725,1.627,0.009,0.015,9132.619,2965.668,1.001
u_slope_raw_gpt2_surprisal[5],-0.411,0.96,-2.105,1.46,0.012,0.02,6688.265,2537.237,1.0
u_slope_raw_gpt2_surprisal[6],0.352,0.923,-1.357,2.072,0.011,0.015,7696.043,3290.207,1.003
u_slope_raw_gpt2_surprisal[7],0.101,0.905,-1.514,1.857,0.01,0.016,7475.977,3063.882,1.001
u_slope_raw_gpt2_surprisal[8],-0.007,0.932,-1.866,1.665,0.009,0.019,9658.632,2608.431,1.001
u_slope_raw_gpt2_surprisal[9],0.112,0.923,-1.645,1.835,0.011,0.02,7723.194,2367.985,1.004
u_slope_raw_gpt2_surprisal[10],-0.483,0.969,-2.367,1.239,0.013,0.017,5910.753,2981.091,1.0
u_slope_raw_gpt2_surprisal[11],0.236,0.908,-1.42,1.941,0.011,0.015,6794.675,2814.973,1.002
u_slope_raw_gpt2_surprisal[12],-0.225,0.932,-2.014,1.539,0.012,0.018,6517.099,2496.392,1.003
u_slope_raw_gpt2_surprisal[13],0.075,0.939,-1.661,1.841,0.011,0.017,7846.859,2764.938,1.0
u_slope_raw_gpt2_surprisal[14],0.038,0.88,-1.603,1.671,0.01,0.016,8362.901,3209.324,1.0
u_slope_raw_gpt2_surprisal[15],0.416,0.931,-1.365,2.148,0.011,0.017,7313.85,2402.069,1.003
u_slope_raw_gpt2_surprisal[16],-0.374,0.901,-2.101,1.278,0.012,0.016,5266.852,2401.698,1.001
u_slope_raw_gpt2_surprisal[17],0.175,0.924,-1.582,1.895,0.01,0.016,8116.971,3088.382,1.001
sigma_u0,0.127,0.024,0.087,0.171,0.001,0.001,579.87,1319.894,1.007
sigma_slope_gpt2_surprisal,0.004,0.002,0.0,0.008,0.0,0.0,1718.26,1774.495,1.001
sigma_eps,0.435,0.001,0.433,0.438,0.0,0.0,8629.312,2856.758,1.0
u0[0],0.073,0.03,0.018,0.13,0.001,0.001,542.43,1073.673,1.009
u0[1],0.067,0.03,0.009,0.12,0.001,0.001,547.301,1190.131,1.009
u0[2],0.105,0.03,0.049,0.16,0.001,0.001,547.763,1093.929,1.008
u0[3],0.046,0.03,-0.013,0.099,0.001,0.001,550.242,1077.855,1.009
u0[4],-0.169,0.03,-0.224,-0.113,0.001,0.001,557.383,1080.938,1.009
u0[5],0.164,0.03,0.109,0.22,0.001,0.001,531.394,1065.762,1.008
u0[6],0.011,0.03,-0.046,0.067,0.001,0.001,548.22,1082.143,1.008
u0[7],-0.047,0.03,-0.102,0.01,0.001,0.001,543.938,1092.61,1.008
u0[8],-0.135,0.03,-0.19,-0.078,0.001,0.001,551.332,1097.647,1.009
u0[9],-0.118,0.031,-0.174,-0.059,0.001,0.001,548.796,1128.211,1.008
u0[10],-0.177,0.03,-0.231,-0.118,0.001,0.001,555.676,1175.41,1.008
u0[11],0.044,0.031,-0.014,0.1,0.001,0.001,533.182,1061.594,1.009
u0[12],0.039,0.03,-0.017,0.094,0.001,0.001,544.964,1104.17,1.008
u0[13],-0.062,0.03,-0.119,-0.007,0.001,0.001,541.169,1021.968,1.008
u0[14],0.154,0.03,0.096,0.207,0.001,0.001,541.681,1097.119,1.01
u0[15],-0.066,0.03,-0.125,-0.011,0.001,0.001,555.1,1104.128,1.009
u0[16],0.198,0.03,0.142,0.252,0.001,0.001,548.538,1145.564,1.009
u0[17],-0.122,0.03,-0.181,-0.067,0.001,0.001,558.294,1109.839,1.009
u_slope_gpt2_surprisal[0],0.001,0.003,-0.006,0.008,0.0,0.0,7259.561,3247.796,1.0
u_slope_gpt2_surprisal[1],0.002,0.004,-0.005,0.011,0.0,0.0,4401.37,3443.621,1.001
u_slope_gpt2_surprisal[2],-0.002,0.004,-0.011,0.004,0.0,0.0,4328.821,3314.518,1.0
u_slope_gpt2_surprisal[3],-0.001,0.004,-0.009,0.005,0.0,0.0,4994.583,3287.548,1.001
u_slope_gpt2_surprisal[4],0.0,0.004,-0.007,0.007,0.0,0.0,7336.768,3834.991,1.002
u_slope_gpt2_surprisal[5],-0.002,0.004,-0.011,0.004,0.0,0.0,4576.265,3069.925,1.001
u_slope_gpt2_surprisal[6],0.002,0.004,-0.005,0.01,0.0,0.0,5068.67,3582.907,1.0
u_slope_gpt2_surprisal[7],0.001,0.003,-0.006,0.008,0.0,0.0,7171.67,3451.676,1.0
u_slope_gpt2_surprisal[8],-0.0,0.004,-0.008,0.006,0.0,0.0,7542.844,3332.79,1.0
u_slope_gpt2_surprisal[9],0.001,0.004,-0.007,0.008,0.0,0.0,6028.557,2963.436,1.0
u_slope_gpt2_surprisal[10],-0.002,0.004,-0.011,0.005,0.0,0.0,3787.491,3158.08,1.0
u_slope_gpt2_surprisal[11],0.001,0.004,-0.005,0.009,0.0,0.0,5650.532,3434.361,1.0
u_slope_gpt2_surprisal[12],-0.001,0.004,-0.009,0.006,0.0,0.0,5669.657,3273.145,1.001
u_slope_gpt2_surprisal[13],0.0,0.004,-0.007,0.007,0.0,0.0,6644.801,3022.036,1.0
