,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.484,0.027,5.431,5.534,0.001,0.001,477.759,753.824,1.011
beta_bert_base_uncased_surprisal,0.001,0.002,-0.003,0.005,0.0,0.0,1697.116,1804.401,1.001
beta_bert_base_uncased_entropy,-0.001,0.002,-0.005,0.003,0.0,0.0,1861.736,1734.557,1.001
u0_raw[0],0.47,0.248,-0.001,0.939,0.011,0.007,495.985,759.421,1.005
u0_raw[1],0.495,0.251,0.01,0.962,0.011,0.007,492.842,735.177,1.006
u0_raw[2],0.938,0.291,0.39,1.493,0.013,0.007,477.83,778.265,1.005
u0_raw[3],0.383,0.245,-0.077,0.839,0.011,0.007,490.256,745.472,1.006
u0_raw[4],-1.306,0.308,-1.88,-0.729,0.014,0.007,474.466,1051.562,1.017
u0_raw[5],1.35,0.338,0.668,1.933,0.015,0.008,484.685,1038.463,1.005
u0_raw[6],-0.194,0.229,-0.633,0.223,0.01,0.006,486.245,872.955,1.011
u0_raw[7],-0.475,0.238,-0.904,-0.01,0.011,0.006,451.203,843.867,1.014
u0_raw[8],-1.002,0.274,-1.505,-0.49,0.013,0.007,443.806,990.038,1.018
u0_raw[9],-0.991,0.277,-1.463,-0.439,0.013,0.007,446.514,1053.966,1.018
u0_raw[10],-1.504,0.333,-2.104,-0.845,0.016,0.008,448.353,1219.083,1.018
u0_raw[11],0.509,0.255,0.026,0.997,0.011,0.007,491.815,819.937,1.005
u0_raw[12],0.283,0.238,-0.17,0.733,0.011,0.007,497.709,786.952,1.007
u0_raw[13],-0.502,0.241,-0.94,-0.045,0.011,0.006,493.33,853.605,1.013
u0_raw[14],1.308,0.334,0.709,1.961,0.015,0.008,489.54,991.521,1.006
u0_raw[15],-0.58,0.245,-1.023,-0.119,0.011,0.006,497.595,985.74,1.015
u0_raw[16],1.616,0.373,0.921,2.279,0.017,0.009,473.736,1039.136,1.005
u0_raw[17],-0.974,0.274,-1.502,-0.471,0.012,0.006,515.332,1071.661,1.016
sigma_u0,0.121,0.023,0.084,0.162,0.001,0.001,465.432,944.712,1.012
sigma_eps,0.435,0.001,0.433,0.438,0.0,0.0,1839.8,1805.631,1.001
u0[0],0.055,0.028,0.004,0.11,0.001,0.001,517.52,888.315,1.009
u0[1],0.057,0.028,0.008,0.116,0.001,0.001,513.693,846.519,1.01
u0[2],0.109,0.028,0.059,0.166,0.001,0.001,515.939,864.485,1.009
u0[3],0.044,0.028,-0.008,0.098,0.001,0.001,508.073,922.81,1.01
u0[4],-0.153,0.028,-0.205,-0.098,0.001,0.001,522.954,946.566,1.009
u0[5],0.158,0.028,0.106,0.214,0.001,0.001,530.133,973.407,1.009
u0[6],-0.023,0.028,-0.073,0.035,0.001,0.001,515.432,968.877,1.01
u0[7],-0.056,0.028,-0.111,-0.002,0.001,0.001,504.126,862.34,1.01
u0[8],-0.118,0.028,-0.175,-0.068,0.001,0.001,521.867,920.241,1.01
u0[9],-0.116,0.029,-0.166,-0.057,0.001,0.001,517.373,950.855,1.01
u0[10],-0.176,0.028,-0.232,-0.123,0.001,0.001,516.355,877.965,1.01
u0[11],0.059,0.029,0.005,0.114,0.001,0.001,510.845,925.337,1.009
u0[12],0.033,0.028,-0.019,0.086,0.001,0.001,510.903,896.199,1.01
u0[13],-0.059,0.028,-0.114,-0.006,0.001,0.001,524.116,873.242,1.01
u0[14],0.153,0.028,0.096,0.203,0.001,0.001,521.344,870.679,1.01
u0[15],-0.068,0.028,-0.12,-0.013,0.001,0.001,516.48,900.003,1.01
u0[16],0.189,0.028,0.137,0.244,0.001,0.001,501.27,905.718,1.01
u0[17],-0.114,0.028,-0.168,-0.061,0.001,0.001,547.921,892.162,1.009
