,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.479,0.03,5.424,5.537,0.001,0.001,476.976,977.148,1.005
beta_gpt2_surprisal,-0.001,0.002,-0.005,0.004,0.0,0.0,6346.617,2206.916,1.003
beta_gpt2_entropy,-0.007,0.002,-0.011,-0.003,0.0,0.0,8192.273,2920.423,1.002
u0_raw[0],0.5,0.265,0.014,1.01,0.011,0.006,539.725,999.916,1.003
u0_raw[1],0.522,0.267,0.014,1.026,0.011,0.006,545.387,1049.219,1.002
u0_raw[2],0.774,0.285,0.259,1.312,0.012,0.006,585.957,1102.35,1.002
u0_raw[3],0.35,0.256,-0.125,0.84,0.011,0.006,529.095,940.727,1.004
u0_raw[4],-1.352,0.34,-1.982,-0.71,0.015,0.008,516.153,1020.597,1.011
u0_raw[5],1.344,0.346,0.705,1.991,0.013,0.007,673.82,1418.661,1.002
u0_raw[6],-0.023,0.249,-0.488,0.447,0.011,0.006,496.72,1026.894,1.005
u0_raw[7],-0.57,0.267,-1.07,-0.078,0.012,0.007,472.088,978.016,1.008
u0_raw[8],-1.013,0.303,-1.571,-0.442,0.014,0.008,496.129,945.019,1.01
u0_raw[9],-0.963,0.301,-1.499,-0.396,0.014,0.007,502.319,915.591,1.01
u0_raw[10],-1.471,0.358,-2.104,-0.779,0.015,0.008,538.966,1108.278,1.01
u0_raw[11],0.447,0.265,-0.04,0.953,0.011,0.006,539.262,1002.571,1.003
u0_raw[12],0.294,0.257,-0.181,0.787,0.011,0.006,519.123,920.033,1.003
u0_raw[13],-0.476,0.265,-0.967,0.021,0.012,0.007,476.154,999.315,1.007
u0_raw[14],1.239,0.331,0.641,1.864,0.013,0.006,671.533,1402.359,1.002
u0_raw[15],-0.585,0.271,-1.098,-0.084,0.012,0.007,498.776,1089.734,1.007
u0_raw[16],1.745,0.395,0.988,2.446,0.015,0.007,739.276,1477.219,1.002
u0_raw[17],-0.892,0.294,-1.435,-0.353,0.013,0.007,502.035,950.325,1.008
u_slope_raw_gpt2_surprisal[0],0.121,0.951,-1.739,1.792,0.011,0.018,7619.892,2912.515,1.002
u_slope_raw_gpt2_surprisal[1],0.079,0.953,-1.77,1.869,0.011,0.018,8109.793,2644.359,1.001
u_slope_raw_gpt2_surprisal[2],-0.166,0.955,-1.905,1.645,0.011,0.016,7434.988,2690.734,1.001
u_slope_raw_gpt2_surprisal[3],-0.167,0.936,-2.029,1.426,0.01,0.017,9007.695,2687.133,1.0
u_slope_raw_gpt2_surprisal[4],0.188,0.955,-1.675,1.946,0.01,0.017,9648.44,2895.152,1.0
