,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.484,0.026,5.435,5.534,0.001,0.001,472.147,729.726,1.009
beta_t5_base_surprisal,-0.006,0.002,-0.009,-0.002,0.0,0.0,2144.226,2317.222,1.003
beta_t5_base_entropy,-0.006,0.002,-0.009,-0.002,0.0,0.0,2092.155,1908.15,1.003
u0_raw[0],0.471,0.248,0.027,0.945,0.011,0.007,474.902,778.657,1.009
u0_raw[1],0.495,0.25,0.04,0.979,0.012,0.006,473.34,850.245,1.008
u0_raw[2],0.943,0.287,0.403,1.48,0.014,0.007,451.144,854.098,1.007
u0_raw[3],0.383,0.244,-0.091,0.828,0.011,0.006,472.91,854.831,1.007
u0_raw[4],-1.326,0.323,-1.908,-0.69,0.014,0.009,509.899,802.748,1.009
u0_raw[5],1.363,0.337,0.735,2.0,0.016,0.009,460.886,776.263,1.006
u0_raw[6],-0.202,0.233,-0.634,0.238,0.01,0.006,507.078,839.65,1.009
u0_raw[7],-0.489,0.246,-0.954,-0.025,0.011,0.007,514.66,846.0,1.008
u0_raw[8],-1.022,0.289,-1.56,-0.471,0.013,0.008,512.494,922.195,1.008
u0_raw[9],-1.009,0.288,-1.524,-0.432,0.012,0.008,534.147,879.682,1.007
u0_raw[10],-1.529,0.349,-2.159,-0.838,0.015,0.009,514.745,880.616,1.008
u0_raw[11],0.51,0.255,0.06,1.021,0.012,0.007,479.259,847.342,1.008
u0_raw[12],0.278,0.238,-0.137,0.755,0.011,0.006,486.322,813.606,1.009
u0_raw[13],-0.517,0.251,-0.987,-0.046,0.011,0.007,537.716,896.935,1.008
u0_raw[14],1.318,0.332,0.705,1.939,0.016,0.009,452.845,792.092,1.007
u0_raw[15],-0.593,0.251,-1.067,-0.133,0.011,0.007,527.94,868.412,1.008
u0_raw[16],1.629,0.37,0.99,2.365,0.018,0.01,445.142,742.013,1.006
u0_raw[17],-0.988,0.288,-1.551,-0.469,0.012,0.007,532.163,906.822,1.009
sigma_u0,0.119,0.023,0.083,0.164,0.001,0.001,460.469,916.071,1.006
sigma_eps,0.435,0.001,0.432,0.438,0.0,0.0,1664.505,2018.348,1.003
u0[0],0.054,0.027,0.003,0.104,0.001,0.001,502.771,808.507,1.009
u0[1],0.057,0.028,0.006,0.107,0.001,0.001,515.479,867.46,1.008
u0[2],0.109,0.027,0.057,0.158,0.001,0.001,502.311,910.936,1.008
u0[3],0.044,0.028,-0.008,0.095,0.001,0.001,501.046,798.967,1.007
u0[4],-0.153,0.028,-0.205,-0.102,0.001,0.001,500.503,750.49,1.009
u0[5],0.157,0.028,0.102,0.206,0.001,0.001,514.791,897.531,1.008
u0[6],-0.023,0.027,-0.076,0.028,0.001,0.001,508.566,833.948,1.009
u0[7],-0.057,0.028,-0.105,-0.002,0.001,0.001,506.554,832.86,1.008
u0[8],-0.118,0.028,-0.169,-0.066,0.001,0.001,500.234,770.938,1.008
u0[9],-0.117,0.028,-0.167,-0.064,0.001,0.001,530.44,903.684,1.007
u0[10],-0.177,0.028,-0.233,-0.127,0.001,0.001,521.479,856.871,1.009
u0[11],0.059,0.028,0.005,0.11,0.001,0.001,520.93,935.321,1.008
u0[12],0.032,0.027,-0.018,0.084,0.001,0.001,513.555,827.231,1.009
u0[13],-0.06,0.028,-0.111,-0.008,0.001,0.001,526.881,945.653,1.008
u0[14],0.152,0.027,0.101,0.204,0.001,0.001,503.552,784.475,1.009
u0[15],-0.069,0.028,-0.119,-0.016,0.001,0.001,509.957,875.241,1.008
u0[16],0.188,0.027,0.137,0.237,0.001,0.001,496.243,833.679,1.009
u0[17],-0.114,0.028,-0.17,-0.065,0.001,0.001,522.56,923.043,1.008
