,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.481,0.029,5.427,5.536,0.001,0.001,438.865,645.177,1.01
beta_gpt2_surprisal,-0.003,0.003,-0.008,0.001,0.0,0.0,3465.749,2565.898,1.0
beta_integration_cost,0.003,0.002,-0.001,0.007,0.0,0.0,6386.36,3192.358,1.001
u0_raw[0],0.484,0.258,-0.009,0.972,0.012,0.006,465.685,1005.974,1.012
u0_raw[1],0.454,0.257,-0.045,0.926,0.012,0.006,464.364,1014.67,1.012
u0_raw[2],0.782,0.281,0.25,1.303,0.013,0.007,485.674,1048.158,1.012
u0_raw[3],0.322,0.247,-0.142,0.799,0.011,0.006,463.753,902.212,1.011
u0_raw[4],-1.416,0.337,-2.067,-0.807,0.013,0.007,668.222,1148.273,1.005
u0_raw[5],1.227,0.331,0.616,1.859,0.015,0.007,512.136,1061.713,1.014
u0_raw[6],-0.056,0.24,-0.501,0.391,0.011,0.006,465.695,770.019,1.009
u0_raw[7],-0.497,0.253,-0.963,-0.02,0.011,0.005,517.907,710.346,1.006
u0_raw[8],-0.988,0.29,-1.521,-0.452,0.012,0.006,594.362,1085.084,1.005
u0_raw[9],-0.993,0.29,-1.548,-0.471,0.012,0.006,596.392,994.341,1.006
u0_raw[10],-1.497,0.35,-2.155,-0.857,0.013,0.007,672.578,1237.258,1.005
u0_raw[11],0.603,0.27,0.1,1.118,0.012,0.006,497.462,1062.384,1.013
u0_raw[12],0.292,0.247,-0.155,0.767,0.012,0.006,456.903,882.558,1.012
u0_raw[13],-0.498,0.254,-0.991,-0.037,0.011,0.005,537.973,697.452,1.006
u0_raw[14],1.284,0.336,0.625,1.898,0.015,0.007,519.984,1127.749,1.014
u0_raw[15],-0.558,0.258,-1.045,-0.087,0.011,0.006,524.912,729.826,1.007
u0_raw[16],1.697,0.389,0.969,2.42,0.016,0.008,566.616,1162.597,1.013
u0_raw[17],-0.932,0.284,-1.463,-0.404,0.012,0.006,597.909,999.07,1.005
u_slope_raw_gpt2_surprisal[0],0.164,0.83,-1.305,1.751,0.01,0.015,6734.012,2687.047,1.0
u_slope_raw_gpt2_surprisal[1],-0.39,0.853,-1.927,1.237,0.011,0.013,6446.925,3392.444,1.0
u_slope_raw_gpt2_surprisal[2],-0.192,0.845,-1.86,1.33,0.012,0.015,5379.774,2866.124,1.001
u_slope_raw_gpt2_surprisal[3],-0.646,0.842,-2.181,0.981,0.011,0.019,5603.304,2589.939,1.0
